"deputat","tvo","winner","likelihood","proposed","fraction","age","gender.x","spread"
"Іванісов Роман Валерійович",153,0,0.35985612921944,"політична партія слуга народу",NA,41,"M",0
"Дехтярчук Олександр Володимирович",154,1,0.475117685250933,"самовисування","партії блок петра порошенка",48,"M",0.109963278503916
"Луценко Ігор Вікторович",154,0,0.365154406747017,"політична партія всеукраїнське обєднання батьківщина","політичної партії всеукраїнське обєднання батьківщина у верховній раді україни",41,"M",0
"Яніцький Василь Петрович",155,1,0.533324442271465,"самовисування","партії блок петра порошенка",46,"M",0.304249997341496
"Войціцька Вікторія Михайлівна",155,0,0.229074444929969,"політична партія голос","політичної партії обєднання самопоміч",45,"F",0
"Литвиненко Сергій Анатолійович",156,1,0.871085085476523,"політична партія слуга народу",NA,51,"M",0.8278599699105
"Данильчук Олександр Юрійович",156,0,0.0432251155660223,"самовисування",NA,60,"M",0
"Медуниця Олег Вячеславович",157,1,0.480443550082015,"самовисування","політичної партії народний фронт",48,"M",0.0698570118666449
"Рябуха Тетяна Василівна",157,0,0.41058653821537,"політична партія слуга народу",NA,35,"F",0
"Васильєв Ігор Сергійович",158,1,0.491503366681914,"політична партія слуга народу",NA,35,"M",0.0635897319927988
"Сугоняко Олександр Леонідович",158,0,0.427913634689115,"самовисування","партії блок петра порошенка",61,"M",0
"Деркач Андрій Леонідович",159,1,0.549877068916398,"самовисування",NA,52,"M",0.177974120904157
"Шевченко Дмитро Станіславович СН",159,0,0.37190294801224,"політична партія слуга народу",NA,42,"M",0
"Молоток Ігор Федорович",160,1,0.506202605358648,"самовисування","воля народу",52,"M",0.0864949869614944
"Сахнюк Тетяна Володимирівна",160,0,0.419707618397154,"політична партія слуга народу",NA,23,"F",0
"Гузенко Максим Васильович",161,1,0.517420371954932,"політична партія слуга народу",NA,38,"M",0.313277998509316
"Свирид Анатолій Олексійович",161,0,0.204142373445617,"самовисування",NA,41,"M",0
"Задорожній Микола Миколайович",162,1,0.847799489859193,"політична партія слуга народу",NA,35,"M",0.784813358920227
"Лозовий Іван Іванович",162,0,0.0629861309389668,"самовисування",NA,58,"M",0
"Барна Степан Степанович",163,1,0.429440614343649,"політична партія європейська солідарність",NA,40,"M",0.167202577429379
"Пастух Тарас Тимофійович",163,0,0.262238036914271,"політична партія обєднання самопоміч","політичної партії обєднання самопоміч",41,"M",0
"Головко Михайло Йосифович",164,1,0.448218583114572,"політична партія всеукраїнське обєднання свобода",NA,36,"M",0.0262720041113736
"Василів Ігор Володимирович",164,0,0.421946579003198,"політична партія слуга народу",NA,40,"M",0
"Юрик Тарас Зіновійович",165,1,0.676728889760297,"політична партія європейська солідарність","партії блок петра порошенка",39,"M",0.494814236484239
"Репела Петро Йосипович",165,0,0.181914653276058,"політична партія всеукраїнське обєднання батьківщина",NA,49,"M",0
"Люшняк Микола Володимирович",166,1,0.643738666150203,"самовисування","партії блок петра порошенка",45,"M",0.487677705562844
"Сопель Ігор Михайлович",166,0,0.156060960587359,"політична партія слуга народу",NA,45,"M",0
"Барна Олег Степанович",167,1,0.596877292950691,"політична партія європейська солідарність","партії блок петра порошенка",52,"M",0.34761403983008
"Гевко Володимир Леонідович",167,0,0.249263253120611,"політична партія слуга народу",NA,44,"M",0
"Писаренко Валерій Володимирович",168,1,0.619088426542606,"самовисування","партія відродження",39,"M",0.266940227695526
"Мезенцева Марія Сергіївна",168,0,0.35214819884708,"політична партія слуга народу",NA,30,"F",0
"Грановський Олександр Михайлович",169,1,0.363921793868184,"самовисування","партії блок петра порошенка",40,"M",0.0307920153796046
"Кірш Олександр Вікторович",169,0,0.33312977848858,"самовисування","політичної партії народний фронт",58,"M",0
"Одарченко Андрій Миколайович",170,1,0.522070339825021,"політична партія слуга народу",NA,41,"M",0.0626694908382069
"Святаш Дмитро Володимирович",170,0,0.459400848986814,"політична партія опозиційна платформа  за життя","партія відродження",48,"M",0
"Кінзбурська Вікторія Олександрівна",171,1,0.939325474551338,"політична партія слуга народу",NA,39,"F",0.920426874938442
"Кушнарьов Сергій Петрович",171,0,0.0188985996128963,"самовисування",NA,57,"M",0
"Мисик Володимир Юрійович",172,1,0.574489589158824,"самовисування","партія відродження",54,"M",0.175134201672011
"Здебський Юрій Вікторович",172,0,0.399355387486813,"політична партія слуга народу",NA,47,"M",0
"Денисенко Анатолій Петрович",173,1,0.535249223717969,"самовисування",NA,48,"M",0.091692087710655
"Бакумов Олександр Сергійович",173,0,0.443557136007314,"політична партія слуга народу",NA,30,"M",0
"Фельдман Олександр Борисович",174,1,0.544004197309767,"самовисування","воля народу",59,"M",0.109889850923371
"Алєксєйчук Вікторія Іванівна",174,0,0.434114346386396,"політична партія слуга народу",NA,42,"F",0
"Пивоваров Євген Павлович",175,1,0.79296359627971,"політична партія слуга народу",NA,41,"M",0.624310592870729
"Кацуба Володимир Михайлович",175,0,0.168653003408981,"політична партія опозиційний блок","партія відродження",62,"M",0
"Счисльонок Олександр Васильович",176,1,0.392713707835997,"політична партія слуга народу",NA,57,"M",0.0822343786499986
"Новицький Дмитро Володимирович",176,0,0.310479329185999,"політична партія опозиційна платформа  за життя",NA,35,"M",0
"Любота Дмитро Валерійович",177,1,0.704704457752235,"політична партія слуга народу",NA,38,"M",0.561313490044088
"Остапчук Віктор Миколайович",177,0,0.143390967708147,"політична партія опозиційний блок","партія відродження",64,"M",0
"Літвінов Олександр Миколайович",178,1,0.617565608230479,"політична партія слуга народу",NA,47,"M",0.266621376796421
"Добкін Дмитро Маркович",178,0,0.350944231434058,"політична партія опозиційний блок","політичної партії опозиційний блок у верховній раді україни восьмого скликання",44,"M",0
"Гіршфельд Анатолій Мусійович",179,1,0.519959109900163,"самовисування","воля народу",62,"M",0.0520526455871301
"Кучер Олексій Володимирович",179,0,0.467906464313033,"політична партія слуга народу",NA,34,"M",0
"Біловол Олександр Миколайович",180,1,0.572943223629281,"самовисування","партія відродження",57,"M",0.16898620425149
"Красов Олексій Ігорович",180,0,0.40395701937779,"політична партія слуга народу",NA,32,"M",0
"Микиша Дмитро Сергійович",181,1,0.887624038375495,"політична партія слуга народу",NA,34,"M",0.846961173918372
"Кошеленко Віталій Анатолійович",181,0,0.0406628644571232,"самовисування",NA,47,"M",0
"Павліш Павло Васильович",182,1,0.639970183963109,"політична партія слуга народу",NA,40,"M",0.310532435979929
"Співаковський Олександр Володимирович",182,0,0.32943774798318,"самовисування","партії блок петра порошенка",62,"M",0
"Вагнєр Вікторія Олександрівна",183,1,0.850930448389866,"політична партія слуга народу",NA,38,"F",0.804221159976794
"Кирилов Юрій Євгенович",183,0,0.0467092884130722,"політична партія європейська солідарність",NA,39,"M",0
"Репілевський Данило Едуардович",184,1,0.535082308363577,"політична партія слуга народу",NA,32,"M",0.133182310480047
"Вінник Іван Юлійович",184,0,0.401899997883529,"самовисування","партії блок петра порошенка",40,"M",0
"Іванов Володимир Ілліч",185,1,0.563843685943458,"політична партія слуга народу",NA,37,"M",0.259349592154548
"Хлань Сергій Володимирович",185,0,0.30449409378891,"самовисування","партії блок петра порошенка",47,"M",0
"Ковальов Олексій Іванович",186,1,0.627363955897699,"політична партія слуга народу",NA,30,"M",0.338895658728383
"Негой Федір Федорович",186,0,0.288468297169317,"самовисування","партії блок петра порошенка",61,"M",0
"Мельник Сергій Іванович",187,1,0.650225653268703,"самовисування","партії блок петра порошенка",54,"M",0.350406963009228
"Стефанчук Микола Олексійович",187,0,0.299818690259475,"політична партія слуга народу",NA,38,"M",0
"Лабазюк Сергій Петрович",188,1,0.913684703866396,"самовисування","воля народу",39,"M",0.878480061400664
"Кліщ Віктор Васильович",188,0,0.0352046424657316,"самовисування",NA,57,"M",0
"Шинькович Андрій Васильович",189,1,0.71903456565006,"самовисування","партії блок петра порошенка",43,"M",0.596762707860501
"Яцков Борис Олександрович",189,0,0.122271857789558,"самовисування",NA,53,"M",0
"Мацола Роман Миколайович",190,1,0.775069569168601,"самовисування","партії блок петра порошенка",45,"M",0.596211894371507
"Жмеренецький Олексій Сергійович",190,0,0.178857674797094,"політична партія слуга народу",NA,33,"M",0
"Бондар Віктор Васильович",191,1,0.889888875686129,"самовисування","партія відродження",44,"M",0.845345246154997
"Потапова Марина Валеріївна",191,0,0.0445436295311322,"політична партія слуга народу",NA,45,"F",0
"Герега Олександр Володимирович",192,1,0.844702746328841,"самовисування",NA,52,"M",0.726210492090516
"Гуменюк Василь Васильович",192,0,0.118492254238324,"політична партія слуга народу",NA,30,"M",0
"Мельниченко Володимир Володимирович",193,1,0.879558939133551,"самовисування","партії блок петра порошенка",54,"M",0.816939013504602
"Посітко Михайло Володимирович",193,0,0.0626199256289487,"політична партія всеукраїнське обєднання свобода",NA,34,"M",0
"Шпак Любов Олександрівна",194,1,0.776766663941919,"політична партія слуга народу",NA,39,"F",0.67805293712989
"Рубан Сергій Леонідович",194,0,0.0987137268120286,"політична партія європейська солідарність",NA,32,"M",0
"Арсенюк Олег Олексійович",195,1,0.725573838298903,"політична партія слуга народу",NA,33,"M",0.579442442832117
"Квітка Віктор Володимирович",195,0,0.146131395466786,"самовисування",NA,53,"M",0
"Бобов Геннадій Борисович",196,1,0.749174389507531,"самовисування","партія відродження",54,"M",0.523306135597299
"Стріхарський Андрій Петрович",196,0,0.225868253910232,"політична партія слуга народу",NA,38,"M",0
"Голуб Владислав Володимирович",197,1,0.709343753849249,"самовисування",NA,36,"M",0.4468889288386
"Скічко Олександр Олександрович",197,0,0.262454825010649,"політична партія слуга народу",NA,28,"M",0
"Рудик Сергій Ярославович",198,1,0.863971432533258,"самовисування","партії блок петра порошенка",49,"M",0.806787885074188
"Кармазін Юрій Анатолійович",198,0,0.0571835474590701,"самовисування",NA,62,"M",0
"Ничипоренко Валентин Миколайович",199,1,0.562472023073398,"самовисування",NA,58,"M",0.241262574838299
"Заліщук Світлана Петрівна",199,0,0.321209448235099,"самовисування",NA,37,"F",0
"Яценко Антон Володимирович",200,1,0.864759063134139,"самовисування","партія відродження",42,"M",0.81417985353878
"Воронцова Олена Володимирівна",200,0,0.0505792095953595,"політична партія слуга народу",NA,38,"F",0
"Продан Оксана Петрівна",201,1,0.336303972381678,"самовисування","партії блок петра порошенка",45,"F",0.0242756148154579
"Лис Олена Георгіївна",201,0,0.31202835756622,"політична партія слуга народу",NA,48,"F",0
"Рибак Іван Петрович",202,1,0.59817219305418,"самовисування","партії блок петра порошенка",41,"M",0.273164334439331
"Заремський Максим Валентинович",202,0,0.325007858614848,"політична партія слуга народу",NA,28,"M",0
"Тіміш Григорій Іванович",203,1,0.470601767780717,"самовисування","партії блок петра порошенка",49,"M",0.049596637300253
"Мазурашу Георгій Георгійович",203,0,0.421005130480464,"політична партія слуга народу",NA,48,"M",0
"Бурбак Максим Юрійович",204,1,0.525987523632001,"самовисування","політичної партії народний фронт",43,"M",0.118330351313826
"Божик Валерій Іванович",204,0,0.407657172318175,"політична партія слуга народу",NA,48,"M",0
"Куліч Валерій Петрович",205,1,0.548256246614852,"самовисування",NA,46,"M",0.268309302302838
"Семінський Олег Валерійович",205,0,0.279946944312013,"політична партія слуга народу",NA,46,"M",0
"Микитась Максим Вікторович",206,1,0.561208897067119,"самовисування","воля народу",39,"M",0.204794611471101
"Поляков Антон Едуардович",206,0,0.356414285596018,"політична партія слуга народу",NA,32,"M",0
"Євлахов Анатолій Сергійович",207,1,0.675103432398964,"самовисування","партії блок петра порошенка",38,"M",0.469120506040843
"Зуєв Максим Сергійович",207,0,0.205982926358122,"політична партія слуга народу",NA,37,"M",0
"Давиденко Валерій Миколайович",208,1,0.674346412904878,"самовисування","партії блок петра порошенка",46,"M",0.462683250563627
"Панченко Антон Олександрович",208,0,0.211663162341251,"політична партія слуга народу",NA,24,"M",0
"Кодола Олександр Михайлович",209,1,0.798615592439098,"самовисування","політичної партії народний фронт",37,"M",0.700990348726725
"Зуб Валерій Олексійович",209,0,0.0976252437123736,"політична партія слуга народу",NA,49,"M",0
"Дмитренко Олег Миколайович",210,1,0.709877111770931,"самовисування","партії блок петра порошенка",46,"M",0.556678205191563
"Пахомов Дмитро Анатолійович",210,0,0.153198906579368,"політична партія слуга народу",NA,33,"M",0
"Юрченко Олександр Миколайович",211,1,0.67387387136186,"політична партія слуга народу",NA,31,"M",0.533010740656071
"Козак Тарас Мирославович",211,0,0.14086313070579,"політична партія голос",NA,49,"M",0
"Сташук Віталій Филимонович",212,1,0.546140900337854,"самовисування","політичної партії народний фронт",47,"M",0.197233167698558
"Перебийніс Максим Вікторович",212,0,0.348907732639296,"політична партія слуга народу",NA,45,"M",0
"Дубнов Артем Васильович",213,1,0.44773443471287,"політична партія слуга народу",NA,31,"M",0.00272648812792786
"Береза Борислав Юхимович",213,0,0.445007946584943,"самовисування",NA,45,"M",0
"Швець Сергій Федорович",214,1,0.613370162939525,"політична партія слуга народу",NA,43,"M",0.504008202446262
"Маляревич Олесь Вікторович",214,0,0.109361960493263,"політична партія європейська солідарність",NA,40,"M",0
"Яременко Богдан Васильович",215,1,0.636314330131732,"політична партія слуга народу",NA,48,"M",0.413648298033844
"Іллєнко Андрій Юрійович",215,0,0.222666032097889,"політична партія всеукраїнське обєднання свобода",NA,32,"M",0
"Супруненко Олександр Іванович",216,1,0.546013934570494,"самовисування","воля народу",48,"M",0.22791185024981
"Забуранна Леся Валентинівна",216,0,0.318102084320683,"політична партія слуга народу",NA,38,"F",0
"Безугла Маряна Володимирівна",217,1,0.670310917198027,"політична партія слуга народу",NA,31,"F",0.510421934442491
"Костенко Людмила Василівна",217,0,0.159888982755536,"політична партія європейська солідарність",NA,40,"F",0
"Гурін Дмитро Олександрович",218,1,0.77441888694806,"політична партія слуга народу",NA,37,"M",0.682256252907236
"Коновал Тарас Павлович",218,0,0.092162634040824,"самовисування",NA,39,"M",0
"Третьяков Олександр Юрійович",219,1,0.575952984794948,"самовисування","партії блок петра порошенка",49,"M",0.254411673537972
"Тищенко Микола Миколайович",219,0,0.321541311256976,"політична партія слуга народу",NA,47,"M",0
"Лещенко Сергій Анатолійович",220,1,0.732966116835584,"самовисування",NA,39,"M",0.556938532795436
"Бондар Ганна Вячеславівна",220,0,0.176027584040148,"політична партія слуга народу",NA,44,"F",0
"Ємець Леонід Олександрович",221,1,0.592815490384796,"політична партія голос","політичної партії народний фронт",40,"M",0.429012943389302
"Терентьєв Михайло Олександрович",221,0,0.163802546995494,"політична партія європейська солідарність",NA,34,"M",0
"Андрієвський Дмитро Йосипович",222,1,0.526638770068961,"самовисування","партії блок петра порошенка",52,"M",0.10651995154879
"Грищук Роман Павлович",222,0,0.420118818520172,"політична партія слуга народу",NA,30,"M",0
"Пташник Вікторія Юріївна",223,1,0.42106712776289,"політична партія голос",NA,36,"F",0.11566102845602
"Левченко Юрій Володимирович",223,0,0.30540609930687,"політична партія всеукраїнське обєднання свобода",NA,35,"M",0
