"deputat","tvo","winner","likelihood","proposed","fraction","age","gender.x","spread"
"Дідич Валентин Володимирович",40,0,0.433353052381416,"самовисування",NA,62,"M",0
"Петренко Анастасія Леонідівна",45,1,0.424688645838258,"політична партія опозиційна платформа  за життя",NA,33,"F",0.251137979003446
"Кюрджиєв Георгій Тимофійович",45,0,0.173550666834812,"політична партія слуга народу",NA,37,"M",0
"Матейченко Костянтин Володимирович",46,1,0.893975199271814,"самовисування","політичної партії народний фронт",49,"M",0.828767112112419
"Христенко Федір Володимирович",46,0,0.0652080871593947,"політична партія опозиційна платформа  за життя",NA,36,"M",0
"Недава Олег Анатолійович",47,1,0.549399872266098,"самовисування",NA,50,"M",0.118159813093721
"Солод Юрій Васильович",47,0,0.431240059172377,"політична партія опозиційна платформа  за життя","політичної партії опозиційний блок у верховній раді україни восьмого скликання",47,"M",0
"Єфімов Максим Вікторович",48,1,0.908341487997148,"самовисування","партії блок петра порошенка",45,"M",0.871012641891225
"Васілі Євген Ігорович",48,0,0.037328846105923,"політична партія слуга народу",NA,39,"M",0
"Гнатенко Валерій Сергійович",49,1,0.361490631138759,"політична партія опозиційна платформа  за життя",NA,52,"M",0.115875084306478
"Медведюк Василь Антонович",49,0,0.245615546832281,"самовисування",NA,49,"M",0
"Сахарова Катерина Михайлівна",50,1,0.245781402869003,"політична партія опозиційна платформа  за життя",NA,65,"F",0.0227374611597762
"Аксьонов Андрій Анатолійович",50,0,0.223043941709226,"самовисування",NA,48,"M",0
"Мотрій Олександр Володимирович",50,0,0.223043941709226,"самовисування",NA,48,"M",0
"Савченко Надія Вікторівна",51,1,0.617563567821454,"політична партія громадськополітична платформа надії савченко",NA,38,"F",0.342260973464798
"Веселова Наталія Василівна",51,0,0.275302594356656,"політична партія сила людей",NA,44,"F",0
"Рибак Ігор Анатолійович",52,1,0.389535793777044,"самовисування",NA,48,"M",0.0532323928440676
"Погодін Олег Васильович",52,0,0.336303400932976,"політична партія опозиційна платформа  за життя",NA,46,"M",0
"Новинський Вадим Владиславович",57,1,0.471278311079014,"політична партія опозиційний блок","політичної партії опозиційний блок у верховній раді україни восьмого скликання",56,"M",0.101028211753407
"Салгалов Вячеслав Сергійович",57,0,0.370250099325607,"політична партія слуга народу",NA,39,"M",0
"Романюк Віктор Валерійович",58,1,0.508667821261151,"політична партія слуга народу",NA,32,"M",0.284426477050308
"Онацький Валерій Анатолійович",58,0,0.224241344210843,"самовисування",NA,45,"M",0
"Сажко Сергій Миколайович",59,1,0.84478035514876,"самовисування","політичної партії опозиційний блок у верховній раді україни восьмого скликання",50,"M",0.749347232473103
"Мороз Володимир Вікторович",59,0,0.0954331226756565,"політична партія опозиційна платформа  за життя",NA,52,"M",0
"Лубінець Дмитро Валерійович",60,1,0.851438663513571,"самовисування",NA,38,"M",0.796292030003931
"Марчевський Артем Павлович",60,0,0.0551466335096403,"політична партія опозиційна платформа  за життя",NA,31,"M",0
"Герасименко Ігор Леонідович",62,1,0.543358753656948,"політична партія слуга народу",NA,35,"M",0.152700959927209
"Розенблат Борислав Соломонович",62,0,0.390657793729739,"самовисування",NA,50,"M",0
"Ревега Олександр Васильович",63,1,0.515052556000974,"самовисування","партії блок петра порошенка",53,"M",0.088633831951353
"Кицак Богдан Вікторович",63,0,0.426418724049621,"політична партія слуга народу",NA,27,"M",0
"Арешонков Володимир Юрійович",64,1,0.440974990619271,"самовисування","партії блок петра порошенка",62,"M",0.111717494378576
"Пашинський Сергій Володимирович",64,0,0.329257496240695,"самовисування","політичної партії народний фронт",53,"M",0
"Костюк Дмитро Сергійович",65,1,0.476553201698272,"політична партія слуга народу",NA,26,"M",0.0599391611261398
"Литвин Володимир Михайлович",65,0,0.416614040572132,"самовисування",NA,63,"M",0
"Дзюблик Павло Володимирович",66,1,0.598096277014985,"самовисування","політичної партії народний фронт",40,"M",0.33668919081132
"Грищенко Тетяна Миколаївна",66,0,0.261407086203665,"політична партія слуга народу",NA,40,"F",0
"Кузьміних Сергій Володимирович",67,1,0.515974624405367,"політична партія слуга народу",NA,36,"M",0.0803133473068767
"Развадовський Віктор Йосипович",67,0,0.43566127709849,"самовисування","партія відродження",60,"M",0
"Горват Роберт Іванович",68,1,0.360907574668179,"самовисування","партії блок петра порошенка",50,"M",0.04107611181761
"Пекарь Олександр Вікторович",68,0,0.319831462850569,"політична партія слуга народу",NA,27,"M",0
"Токар Едгар Володимирович",69,1,0.537973096280193,"політична партія слуга народу",NA,32,"M",0.134409808543125
"Балога Віктор Іванович",69,0,0.403563287737068,"політична партія єдиний центр",NA,56,"M",0
"Лаба Михайло Михайлович",70,1,0.425858659628498,"політична партія слуга народу",NA,44,"M",0.0358715705150155
"Балога Іван Іванович",70,0,0.389987089113482,"політична партія єдиний центр",NA,53,"M",0
"Грабар Сергій Володимирович",71,1,0.504484109640057,"політична партія слуга народу",NA,34,"M",0.0712617417140627
"Лунченко Валерій Валерійович",71,0,0.433222367925995,"самовисування","політичної партії народний фронт",37,"M",0
"Петьовка Василь Васильович",72,1,0.501739936196275,"самовисування","воля народу",52,"M",0.0488230684685247
"Носа Вадим Іванович",72,0,0.452916867727751,"політична партія слуга народу",NA,32,"M",0
"Брензович Василь Іванович",73,1,0.407786084740391,"самовисування","партії блок петра порошенка",55,"M",0.123573693113435
"Балога Павло Іванович",73,0,0.284212391626956,"політична партія єдиний центр",NA,42,"M",0
"Сабашук Петро Павлович",74,1,0.608627405992472,"самовисування","партії блок петра порошенка",62,"M",0.259081021276628
"Касай Геннадій Олександрович",74,0,0.349546384715844,"політична партія слуга народу",NA,47,"M",0
"Соха Роман Васильович",75,1,0.898212551092593,"політична партія слуга народу",NA,44,"M",0.871856202466733
"Бєлий Микола Іванович",75,0,0.0263563486258601,"політична партія європейська солідарність",NA,38,"M",0
"Шевченко Євгеній Володимирович",76,1,0.937405347161214,"політична партія слуга народу",NA,47,"M",0.917591979247089
"Солдатов Анатолій Борисович",76,0,0.0198133679141249,"самовисування",NA,39,"M",0
"Штепа Сергій Сергійович",77,1,0.502183145024591,"політична партія слуга народу",NA,29,"M",0.01564057561484
"Богуслаєв Вячеслав Олександрович",77,0,0.486542569409751,"самовисування","воля народу",81,"M",0
"Боговін Віталій Вікторович",78,1,0.531722788075568,"політична партія слуга народу",NA,50,"M",0.151586565936823
"Пономарьов Олександр Сергійович",78,0,0.380136222138745,"політична партія опозиційна платформа  за життя","воля народу",57,"M",0
"Яцик Юлія Григорівна",79,1,0.486973843496043,"політична партія слуга народу",NA,40,"F",0.0147734328806647
"Бандуров Володимир Володимирович",79,0,0.472200410615378,"політична партія опозиційна платформа  за життя","воля народу",46,"M",0
"Гладкий Дмитро Вікторович",80,1,0.493390328020301,"політична партія слуга народу",NA,32,"M",0.039622610357398
"Балицький Євген Віталійович",80,0,0.453767717662903,"самовисування","політичної партії опозиційний блок у верховній раді україни восьмого скликання",50,"M",0
"Валентиров Сергій Васильович",81,1,0.501616749657254,"політична партія опозиційна платформа  за життя","партії блок петра порошенка",41,"M",0.0323403257716816
"Мельник Павло Вікторович",81,0,0.469276423885572,"політична партія слуга народу",NA,35,"M",0
"Кривохатько Вадим Вікторович",82,1,0.544470495872853,"самовисування",NA,57,"M",0.145530750313034
"Нікітіна Марина Вікторівна",82,0,0.398939745559819,"політична партія слуга народу",NA,33,"F",0
"Шевченко Олександр Леонідович",83,1,0.716387490221336,"самовисування",NA,48,"M",0.520069811354985
"Сторожук Андрій Леонідович",83,0,0.196317678866351,"політична партія слуга народу",NA,27,"M",0
"Довбенко Михайло Володимирович",84,1,0.457264889249247,"політична партія європейська солідарність","партії блок петра порошенка",65,"M",0.101469261315315
"Фріс Ігор Павлович",84,0,0.355795627933931,"політична партія слуга народу",NA,46,"M",0
"Шевченко Віктор Леонідович",85,1,0.427605322346229,"самовисування",NA,39,"M",0.107412654379118
"Насалик Ігор Степанович",85,0,0.32019266796711,"самовисування",NA,57,"M",0
"Дирів Анатолій Борисович",86,1,0.612945844024694,"самовисування","політичної партії народний фронт",49,"M",0.400715074832603
"Матусевич Олександр Борисович",86,0,0.212230769192091,"політична партія слуга народу",NA,45,"M",0
"Андрійович Зіновій Мирославович",87,1,0.623291020831734,"політична партія слуга народу",NA,47,"M",0.466312346255665
"Голіней Юрій Дмитрович",87,0,0.156978674576069,"політична партія європейська солідарність",NA,42,"M",0
"Іванчук Андрій Володимирович",88,1,0.470453942029441,"самовисування","політичної партії народний фронт",46,"M",0.22428815173052
"Тимошенко Юрій Володимирович",88,0,0.246165790298921,"самовисування",NA,58,"M",0
"Соловей Юрій Ігорович",89,1,0.388028869504471,"політична партія удар український демократичний альянс за реформи віталія кличка","партії блок петра порошенка",41,"M",0.0346753068543537
"Книшук Петро Васильович",89,0,0.353353562650117,"політична партія всеукраїнське обєднання батьківщина",NA,59,"M",0
"Мепарішвілі Хвича Нодарович",90,1,0.729018613159785,"політична партія європейська солідарність","політичної партії народний фронт",47,"M",0.492792382379155
"Нестерчук Юрій Вікторович",90,0,0.23622623078063,"політична партія слуга народу",NA,55,"M",0
"Сольвар Руслан Миколайович",91,1,0.634431929370047,"самовисування","партії блок петра порошенка",48,"M",0.316274196093825
"Дунда Олег Андрійович",91,0,0.318157733276223,"політична партія слуга народу",NA,39,"M",0
"Гудзенко Віталій Іванович",92,1,0.740816714113831,"самовисування","партії блок петра порошенка",48,"M",0.532611651624486
"Колюх Валерій Вікторович",92,0,0.208205062489345,"політична партія слуга народу",NA,46,"M",0
"Мамчур Юлій Валерійович",93,1,0.407757718611533,"самовисування","партії блок петра порошенка",48,"M",0.00723913823773709
"Кривошея Геннадій Григорович",93,0,0.400518580373796,"самовисування","політичної партії народний фронт",42,"M",0
"Романюк Віктор Миколайович",94,1,0.280142074528356,"самовисування","політичної партії народний фронт",44,"M",0.000246219064386155
"Кононенко Ігор Віталійович",94,0,0.27989585546397,"самовисування",NA,54,"M",0
"Гаврилюк Михайло Віталійович",95,1,0.406830255507887,"самовисування","політичної партії народний фронт",40,"M",0.0789752755257913
"Немировський Андрій Валентинович",95,0,0.327854979982095,"самовисування","партії блок петра порошенка",36,"M",0
"Москаленко Ярослав Миколайович",96,1,0.58138066219024,"самовисування","воля народу",44,"M",0.195916052500327
"ВасилевськаСмаглюк Ольга Михайлівна",96,0,0.385464609689913,"політична партія слуга народу",NA,34,"F",0
"Різаненко Павло Олександрович",97,1,0.596770650718436,"політична партія голос","партії блок петра порошенка",44,"M",0.234041720291305
"Галушко Микола Леонідович",97,0,0.362728930427132,"політична партія слуга народу",NA,40,"M",0
"Міщенко Сергій Григорович",98,1,0.685064675770824,"самовисування",NA,48,"M",0.392535215495639
"Бунін Сергій Валерійович",98,0,0.292529460275185,"політична партія слуга народу",NA,48,"M",0
"Дануца Олександр Анатолійович",99,1,0.347770764258634,"політична партія слуга народу",NA,39,"M",0.0249307916546984
"Горбунов Олександр Володимирович",99,0,0.322839972603936,"самовисування","політичної партії народний фронт",50,"M",0
"Мурдій Ігор Юрійович",100,1,0.492841848991953,"політична партія слуга народу",NA,37,"M",0.0253255849062843
"Березкін Станіслав Семенович",100,0,0.467516264085669,"самовисування","партія відродження",60,"M",0
"Поляков Максим Анатолійович",101,1,0.722965820314179,"самовисування","політичної партії народний фронт",37,"M",0.574731084290833
"Кузбит Юрій Михайлович",101,0,0.148234736023346,"політична партія слуга народу",NA,42,"M",0
"Довгий Олесь Станіславович",102,1,0.482240995090471,"самовисування","воля народу",39,"M",0.0230106699917897
"Петрощук Артем Васильович",102,0,0.459230325098681,"політична партія слуга народу",NA,36,"M",0
"Воронько Олег Євгенійович",103,1,0.896297049329262,"політична партія слуга народу",NA,45,"M",0.868799850537256
"Бездуган Віталій Васильович",103,0,0.0274971987920058,"самовисування",NA,38,"M",0
"Дамченко Роман Анатолійович",103,0,0.0274971987920058,"самовисування",NA,38,"M",0
"Татарка Сергій Миколайович",105,1,0.298649081823522,"самовисування",NA,57,"M",0.0887309176249804
"Медведчук Сергій Володимирович",105,0,0.209918164198541,"політична партія опозиційна платформа  за життя",NA,60,"M",0
"Черниш Валерій Сергійович",106,1,0.559700078769984,"політична партія опозиційна платформа  за життя",NA,46,"M",0.280598082059465
"Кузнєцов Олексій Олександрович",106,0,0.279101996710519,"політична партія слуга народу",NA,40,"M",0
"Рибалка Сергій Вікторович",107,1,0.881648469957583,"самовисування","радикальної партії олега ляшка",41,"M",0.815268485740745
"Щеглаков Едуард Іванович",107,0,0.0663799842168376,"політична партія опозиційна платформа  за життя",NA,48,"M",0
"Чернецов Олександр Іванович",112,1,0.419761736057504,"політична партія опозиційна платформа  за життя",NA,60,"M",0.206480525717781
"Місінкевич Ярослав Петрович",112,0,0.213281210339723,"політична партія слуга народу",NA,31,"M",0
"Курило Віталій Семенович",113,1,0.773824355743149,"самовисування","партії блок петра порошенка",62,"M",0.621898523856163
"Струк Володимир Олексійович",113,0,0.151925831886985,"самовисування",NA,55,"M",0
"Шахов Сергій Володимирович",114,1,0.887610971104751,"самовисування","воля народу",44,"M",0.819635991260431
"Мошенський Валерій Захарович",114,0,0.0679749798443201,"самовисування",NA,62,"M",0
"Хміль Михайло Михайлович",115,1,0.628842585010498,"самовисування","політичної партії народний фронт",46,"M",0.442874568874052
"Піпа Наталія Романівна",115,0,0.185968016136446,"політична партія голос",NA,36,"F",0
"Княжицький Микола Леонідович",116,1,0.548173146363934,"політична партія європейська солідарність","політичної партії народний фронт",51,"M",0.36550747093211
"Мельник Ростислав Леонідович",116,0,0.182665675431824,"політична партія слуга народу",NA,41,"M",0
"Юринець Оксана Василівна",117,1,0.567431149668809,"самовисування","партії блок петра порошенка",41,"F",0.373750250523317
"Фединяк Роман Анатолійович",117,0,0.193680899145492,"політична партія слуга народу",NA,24,"M",0
"Дубневич Богдан Васильович",118,1,0.612733275301692,"самовисування","партії блок петра порошенка",57,"M",0.473270171281293
"Федецький Артем Андрійович",118,0,0.139463104020399,"політична партія слуга народу",NA,34,"M",0
"Бондар Михайло Леонтійович",119,1,0.666563885786691,"політична партія європейська солідарність","політичної партії народний фронт",46,"M",0.563812134808534
"Шиба Олег Ярославович",119,0,0.102751750978157,"політична партія голос",NA,44,"M",0
"Дубневич Ярослав Васильович",120,1,0.57310432910709,"самовисування","партії блок петра порошенка",50,"M",0.328309491192628
"Елейко Тарас Васильович",120,0,0.244794837914462,"політична партія голос",NA,46,"M",0
"Задорожний Михайло Леонович",121,1,0.401317917415249,"політична партія європейська солідарність",NA,53,"M",0.0354375897906738
"Матківський Богдан Миронович",121,0,0.365880327624575,"політична партія громадянська позиція",NA,39,"M",0
"Самардак Ігор Степанович",122,1,0.444506036962793,"політична партія європейська солідарність",NA,38,"M",0.207664202909173
"Рибчинський Євген Юрійович",122,0,0.23684183405362,"політична партія всеукраїнське обєднання батьківщина","політичної партії всеукраїнське обєднання батьківщина у верховній раді україни",50,"M",0
"Батенко Тарас Іванович",123,1,0.394885779519996,"самовисування",NA,45,"M",0.0410017421442503
"Дуда Олег Романович",123,0,0.353884037375746,"політична партія європейська солідарність",NA,43,"M",0
"Семерак Остап Михайлович",124,1,0.390853373456145,"самовисування",NA,47,"M",0.0948826773354387
"Мусій Олег Степанович",124,0,0.295970696120706,"політична партія громадянська позиція",NA,54,"M",0
"Лопушанський Андрій Ярославович",125,1,0.637142255165067,"самовисування","партії блок петра порошенка",57,"M",0.498302757577728
"Яворський Микола Миколайович",125,0,0.138839497587339,"політична партія слуга народу",NA,38,"M",0
"Кіт Андрій Богданович",126,1,0.618944544887529,"самовисування","партії блок петра порошенка",48,"M",0.447901046269191
