"Прізвище, ім'я та по батькові кандидата в депутати","Основні відомості","Висування","Передвиборна програма","Дата реєстрації кандидатом","Дата та підстава скасування реєстрації кандидата","tvo"
"КозловЮрій Романович","народився 28 квiтня 1967 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, головний інженер, ТОВ ""Гражданпроект 2010"", член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Дніпропетровську, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","23.09.2014","","28"
"КолесніковОлексій Володимирович","народився 8 квiтня 1985 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Дніпропетровську, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","28.09.2014","","28"
"КуліченкоІван Іванович","народився 7 липня 1955 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Дніпропетровський міський голова, безпартійний, проживає в місті Дніпропетровську, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","","27.09.2014","","28"
"МельниковаОльга Валентинівна","народилася 13 грудня 1959 року в селі Великовеселе Врадіївського району Миколаївської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, начальник відділу організаційного забезпечення діяльності рад виконавчого апарату, Дніпропетровська обласна рада, безпартійнa, проживає в місті Дніпропетровську, судимість відсутня, суб’єкт висування – Політична партія ""Опозиційний блок"".","Політична партія ""Опозиційний блок""","","29.09.2014","13.10.2014звернення із заявою про відмову балотуватися","28"
"МорозенкоЄвгеній Вадимович","народився 19 листопада 1958 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Дніпропетровську, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","28"
"СухановСергій Анатолійович","народився 13 жовтня 1976 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, КП ""Центр підтримки малого та середнього бізнесу"", безпартійний, проживає в місті Дніпропетровську, судимість відсутня, суб’єкт висування – Партія Сергія Тігіпка ""Сильна Україна"".","Партія Сергія Тігіпка ""Сильна Україна""","","22.09.2014","","28"
"ХарченкоВолодимир Вікторович","народився 29 серпня 1957 року в смт Касторне Касторенського району Курської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова правління – директор, ПАТ ""Український НДІТМ"", член Політичної партії ""НАРОДНИЙ ФРОНТ"", проживає в місті Дніпропетровську, судимість відсутня, суб’єкт висування – Політична партія ""НАРОДНИЙ ФРОНТ"".","Політична партія ""НАРОДНИЙ ФРОНТ""","","23.09.2014","10.10.2014звернення із заявою про відмову балотуватися","28"
"ШвачкоАндрій Валерійович","народився 28 березня 1977 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, ТОВ ""НВК ""БУДІНВЕСТПРОЕКТ"", член Комуністичної партії України, проживає в селі Степанівка Перша Приазовського району Запорізької області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","26.09.2014","","28"
"ЯцукВладислав Миколайович","народився 8 сiчня 1983 року в місті Пологи Запорізької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, старший викладач кафедри експлуатації машино-тракторного парку, Дніпропетровський державний аграрно-економічний університет, безпартійний, проживає в місті Дніпропетровську, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП"".","ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП""","","29.09.2014","","28"
"БордовськаВіра Семенівна","народилася 15 листопада 1955 року в місті Дніпропетровську, громадянка України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, тимчасово не працює, член Комуністичної партії України, проживає в селі Новоолександрівка Дніпропетровського району Дніпропетровської області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","26.09.2014","","29"
"ГребенюкТетяна Валеріївна","народилася 14 серпня 1972 року в місті Дніпропетровську, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, керівник, самодіяльний колектив Будинку науки і техніки ДП ""Придніпровська залізниця"", безпартійнa, проживає в місті Дніпропетровську, судимість відсутня, суб’єкт висування – Політична партія ""Опозиційний блок"".","Політична партія ""Опозиційний блок""","","29.09.2014","13.10.2014звернення із заявою про відмову балотуватися","29"
"ДзозМикола Оникійович","народився 31 липня 1947 року в селі Гречено Петриківського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, ТОВ ""Завод нових технологій"", член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Дніпропетровську, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","23.09.2014","","29"
"КлименкоАнатолій Володимирович","народився 26 травня 1961 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""НАРОДНИЙ ФРОНТ"", проживає в місті Дніпропетровську, судимість відсутня, суб’єкт висування – Політична партія ""НАРОДНИЙ ФРОНТ"".","Політична партія ""НАРОДНИЙ ФРОНТ""","","23.09.2014","","29"
"КупрійВіталій Миколайович","народився 20 серпня 1973 року в місті Дніпродзержинську Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови правління, ГО ""Дніпродзержинська Правозахисна Спілка"", безпартійний, проживає в місті Дніпродзержинськ Дніпропетровської області, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","","27.09.2014","","29"
"МоскаленкоРоман Анатолійович","народився 1 сiчня 1978 року в селі Пологи Пологівського району Запорізької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""АТОМБУДГРУП"", безпартійний, проживає в смт Ювілейне Дніпропетровського району Дніпропетровської області, судимість відсутня, самовисування.","Самовисування","","25.09.2014","","29"
"МоскалецьМихайло Миколайович","народився 31 жовтня 1972 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Дніпропетровську, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","28.09.2014","","29"
"ПисаревськийКостянтин Іванович","народився 25 серпня 1959 року в селі Смирнове Куйбишевського району Запорізької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в смт Ювілейне Дніпропетровського району Дніпропетровської області, судимість відсутня, самовисування.","Самовисування","","18.09.2014","","29"
"ПрокудінОлександр Геннадійович","народився 19 жовтня 1962 року в місті Алма-Ата, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Дніпропетровську, судимість відсутня, суб’єкт висування – Українська партія ""Зелена планета"".","Українська партія ""Зелена планета""","","28.09.2014","","29"
"ШвецьМикола Антонович","народився 6 вересня 1955 року в місті П’ятихатки Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Дніпропетровський благодійний фонд ""Люди. Події. Час"", безпартійний, проживає в місті Дніпропетровську, судимість відсутня, самовисування.","Самовисування","","11.09.2014","","29"
"ШинкевичВіктор Геннадійович","народився 16 травня 1964 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, ПрАТ ""Будіндустрія"", безпартійний, проживає в смт Кіровське Дніпропетровського району Дніпропетровської області, судимість відсутня, суб’єкт висування – Партія Сергія Тігіпка ""Сильна Україна"".","Партія Сергія Тігіпка ""Сильна Україна""","","22.09.2014","","29"
"БенькоСвітлана Георгіївна","народилася 27 серпня 1962 року в місті Івано-Франківську, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, головний лікар, КЗ ""Дніпродзержинська міська лікарня № 4"", безпартійнa, проживає в місті Дніпродзержинськ Дніпропетровської області, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","30"
"ГолоснийМаксим Ігоревич","народився 4 жовтня 1981 року в місті Дніпродзержинськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, менеджер з маркетингу та розвитку, ТОВ ""Українська великовантажна техніка"", безпартійний, проживає в селі Єлизаветівка Петриківського району Дніпропетровської області, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","30"
"ГузенкоКостянтин Олександрович","народився 21 листопада 1966 року в селі Зелений Клин Томаківського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, заступник голови Комітету Верховної Ради України з питань правової політики, безпартійний, проживає в місті Дніпродзержинськ Дніпропетровської області, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","30"
"ГурськаМарина Гарріївна","народилася 8 сiчня 1967 року в місті Дніпродзержинськ Дніпропетровської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, начальник, Управління надання муніципальних послуг та розвитку підприємництва Дніпродзержинської міської ради, безпартійнa, проживає в місті Дніпродзержинськ Дніпропетровської області, судимість відсутня, суб’єкт висування – Політична партія ""Опозиційний блок"".","Політична партія ""Опозиційний блок""","","29.09.2014","13.10.2014звернення із заявою про відмову балотуватися","30"
"ДегтярьовЮрій Володимирович","народився 5 липня 1970 року в місті Дніпродзержинськ Дніпропетровської  області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора, Дніпропетровський обласний центр зайнятості, член Політичної партії ""НАРОДНИЙ ФРОНТ"", проживає в місті Дніпродзержинськ Дніпропетровської області, судимість відсутня, суб’єкт висування – Політична партія ""НАРОДНИЙ ФРОНТ"".","Політична партія ""НАРОДНИЙ ФРОНТ""","","23.09.2014","","30"
