"Прізвище, ім'я та по батькові кандидата в депутати","Основні відомості","Висування","Передвиборна програма","Дата реєстрації кандидатом","Дата та підстава скасування реєстрації кандидата","tvo"
"БазелюкВолодимир Васильович","народився 13 квiтня 1980 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","11"
"БерезовськийВ’ячеслав Миколайович","народився 11 серпня 1963 року в смт Крижопіль Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, приватна фірма ""Лев"", член політичної партії Конгрес Українських Націоналістів, проживає в смт Крижопіль Вінницької області, судимість відсутня, суб’єкт висування – політична партія Конгрес Українських Націоналістів.","політична партія Конгрес Українських Націоналістів","","30.09.2014","","11"
"БригаОльга Геннадіївна","народилася 2 червня 1976 року в місті Одесі, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійнa, проживає в селі Щаслива Липовецького району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Опозиційний блок"".","Політична партія ""Опозиційний блок""","","29.09.2014","","11"
"ГригоревськаЛюдмила Миколаївна","народилася 7 липня 1973 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, завідувач неврологічного відділення, Міська клінічна лікарня № 1 міста Вінниці, безпартійнa, проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","11"
"ДобровольськийВіталій Олександрович","народився 28 липня 1951 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора, ПП ""Експертно-науково-дослідний центр ""Експертиза"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","29.09.2014","08.10.2014звернення із заявою про відмову балотуватися","11"
"ДомбровськийОлександр Георгійович","народився 7 липня 1962 року в місті Калинівка Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","","27.09.2014","","11"
"ЗєрщиковОлександр Володимирович","народився 20 сiчня 1985 року в селищі Кріпенське міста Антрацит Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, юрист, ТОВ ""Вінницький обласний автоучбовий комбінат"", безпартійний, проживає в селі Агрономічне Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Об’єднання ""САМОПОМІЧ"".","Політична партія ""Об’єднання ""САМОПОМІЧ""","","25.09.2014","","11"
"КозловаТетяна Анатоліївна","народилася 13 грудня 1972 року в місті Луцьку Волинської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, юрисконсульт, ТОВ ""Легат"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","11"
"МаксимчукБорис Анатолійович","народився 20 березня 1978 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, доцент, Вінницький державний педагогічний університет імені Михайла Коцюбинського, член Політичної партії ""Європейська партія України"", проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","11"
"МатищукСтаніслав Вадимович","народився 11 вересня 1987 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, другий секретар, Вінницький районний комітет Комуністичної партії України, член Комуністичної партії України, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","26.09.2014","","11"
"МельникОлександр Володимирович","народився 5 сiчня 1963 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, ТОВ ""Поліграфічний центр ""Енозіс"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","11"
"ПаризькийІгор Володимирович","народився 20 сiчня 1973 року в селі Дашкiвці Лiтинського району Вiнницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Української республіканської партії, проживає в селі Ксаверівка Вінницького району Вінницької області, судимість відсутня, самовисування.","Самовисування","","19.09.2014","","11"
"ПетькоМаксим Григорович","народився 2 листопада 1977 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""ТАУ-Поділля"", безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","28.09.2014","","11"
"ПогребнякВалентина Іванівна","народилася 17 сiчня 1968 року в селі Бохоники Вінницького району Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійнa, проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","11"
"ПоплавськийОлександр Анатолійович","народився 3 грудня 1985 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, помічник-консультант народного депутата України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","24.09.2014","","11"
"ПоповичМихайло Миколайович","народився 11 лютого 1952 року в селі Вища Кропивна Немирівського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, ТОВ  ""ХАЙТЕК СИСТЕМИ"" група, член політичної партії ""Праведність"", проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","11"
"РябоконьОлексій Володимирович","народився 21 березня 1977 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ"".","ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ""","","26.09.2014","","11"
"СобенкоНадія Богданівна","народилася 23 квiтня 1979 року в місті Рогатин Івано-Франківської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, редактор, ТОВ ""УНІАН"", безпартійнa, проживає в місті Львові, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","11"
"СолейкоНаталія Петрівна","народилася 21 лютого 1952 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови, Вінницька обласна рада, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","23.09.2014","","11"
"АлєксєнцеваАлла Ростиславівна","народилася 26 жовтня 1961 року в смт Тиврів Вінницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійнa, проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","09.10.2014","","12"
"БолтакМикола Миколайович","народився 17 жовтня 1951 року в селі Іванівка Вінницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова правління, Вінницька обласна Асоціація споживачів, безпартійний, проживає в селі Іванівка Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ"".","ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ""","","26.09.2014","","12"
"БондарчукІван Миколайович","народився 3 квiтня 1944 року в селі Старосілля Лугінського району Житомирської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, член Комуністичної партії України, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","26.09.2014","","12"
"ДідурВалентин Григорович","народився 16 вересня 1970 року в місті Кам’янець-Подільський Хмельницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Партія Сергія Тігіпка ""Сильна Україна"".","Партія Сергія Тігіпка ""Сильна Україна""","","22.09.2014","","12"
"КостиркоДмитро Олександрович","народився 22 листопада 1979 року в місті Прип’ять Чорнобильського району Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – Політична партія ""Опозиційний блок"" .","Політична партія ""Опозиційний блок""","","29.09.2014","","12"
"ЛіцькийВасиль Олексійович","народився 22 грудня 1962 року в селі Цекинівка Могилів-Подільського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, Стрижавський дитячий будинок-інтернат, безпартійний, проживає в смт Стрижавка Вінницької області, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","12"
"МайстерЛюдмила Анатоліївна","народилася 13 грудня 1980 року в місті Вінниці, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, асистент кафедри, Вінницький торговельно-економічний інститут Київського національного торговельно-економічного університету, безпартійнa, проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","12"
"ПеребийнісВолодимир Анатолійович","народився 31 серпня 1980 року в селі Каришків Барськоно району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, інспектор відділу кадрів, ТОВ ""Мастер Клін"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","12"
"ПетровськийСергій Вікторович","народився 26 вересня 1975 року в місті Ямпіль Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Ямпіль Вінницької області, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","12"
"ПорошенкоОлексій Петрович","народився 6 березня 1985 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник генерального директора із зовнішньоекономічної діяльності, ПрАТ ""Продовольча компанія ""Поділля"", член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"", проживає в місті Києві, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","","27.09.2014","","12"
"СичВолодимир Володимирович","народився 26 листопада 1982 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","28.09.2014","","12"
"СітарськийСергій Миколайович","народився 11 липня 1968 року в місті Арциз Одеської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Вінницька районна рада, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в селі Агрономічне Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","23.09.2014","","12"
"СлободянюкОлександр Анатолійович","народився 2 листопада 1984 року в смт Вороновиця Вінницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, виконавчий директор, ПСП ""Сонечко"", безпартійний, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Політична партія ""Об’єднання ""САМОПОМІЧ"".","Політична партія ""Об’єднання ""САМОПОМІЧ""","","25.09.2014","","12"
"ІсаковІгор Анатолійович","народився 5 серпня 1973 року в селі Павлівка Калинівського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта незакінчена вища, проходить військову службу за призовом під час мобілізації, заступник командира взводу, 24 батальйон територіальної оборони ""Айдар"", безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","13"
"КатеринчукМикола Дмитрович","народився 19 листопада 1967 року в селі Лугове Тальменського району Алтайського краю, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","","27.09.2014","","13"
"КуцОлег Миколайович","народився 7 липня 1987 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","13"
"МустяСергій Олександрович","народився 6 жовтня 1985 року в місті Первомайськ Миколаївської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""Де Юре Консалтинг"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","13"
"ПавловФедір Петрович","народився 18 листопада 1971 року в хуторі Кастирка Костянтинівського району Ростовської області, Росія, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, фізична особа – підприємець, безпартійний, проживає в місті Козятин Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Опозиційний блок"".","Політична партія ""Опозиційний блок""","","29.09.2014","","13"
"ПрохоровСергій Валерійович","народився 29 вересня 1974 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник відділу реєстрації та видачі дозвільних документів, Інспекція державного архітектурно-будівельного контролю у Вінницькій області, член Радикальної Партії Олега Ляшка, проживає в місті Вінниці, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","28.09.2014","","13"
"ФілімоноваІрина Іванівна","народилася 11 грудня 1985 року в смт Березне Рівненської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Аграрної партії України, проживає в місті Березне Рівненської області, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","13"
"ЮрчишинПетро Васильович","народився 13 липня 1958 року в місті Антрацит Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, агропромислове науково-виробниче підприємство ""Візит"", безпартійний, проживає в місті Хмільник Вінницької області, судимість відсутня, самовисування.","Самовисування","","25.09.2014","","13"
"ЯремчукЮрій Якович","народився 31 травня 1972 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","16.09.2014","","13"
"БабичГеннадій Федорович","народився 8 травня 1969 року в місті Вінниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, ЗАТ ""Агрофірма ""Крим"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","14"
"БілоіванВолодимир Олександрович","народився 2 квiтня 1964 року в місті Коростишев Житомирської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Тиврівська районна державна адміністрація, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","23.09.2014","","14"
"ГрошовенкоОлександр Ілліч","народився 2 вересня 1960 року в селі Сошанськ Козятинського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, юрисконсульт, ПАТ ""Вінницяобленерго"", безпартійний, проживає в місті Козятин Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""Опозиційний блок"".","Політична партія ""Опозиційний блок""","","29.09.2014","","14"
"ДикийМикола Борисович","народився 12 червня 1972 року в селі Городище Літинського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в смт Літин Вінницької області, судимість відсутня, самовисування.","Самовисування","","16.09.2014","","14"
"ЖеребнюкВіктор Миколайович","народився 21 липня 1970 року в місті Нововолинськ Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Жмеринка Вінницької області, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","14"
"КостенкоОлександра Анатоліївна","народилася 1 серпня 1980 року в місті Новосибірську, Росія, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""Сила Людей"", проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","14"
"ЛогуновДенис Борисович","народився 9 серпня 1988 року в смт Якимівка Запорізької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, другий секретар, Жмеринський районний комітет Комуністичної партії України, член Комуністичної партії України, проживає в місті Жмеринка Вінницької області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","26.09.2014","","14"
"МартинюкАнатолій Григорович","народився 6 квiтня 1982 року в місті Бар Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник командира роти, батальйон спеціального призначення Національної гвардії України, безпартійний, проживає в місті Бар Вінницької області, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","14"
"МацюкБорис Петрович","народився 9 листопада 1959 року в селі Мартинівка Барського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора, ТОВ ""Інкор"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","04.09.2014","","14"
"МельничукІван Іванович","народився 8 лютого 1969 року в місті Коломия Івано-Франківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Літинська районна державна адміністрація, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"", проживає в смт Літин Вінницької області, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","","27.09.2014","","14"
"МолдованВіталій Вікторович","народився 3 квiтня 1975 року в селі Тарасівка Жмеринського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Жмеринка Вінницької області, судимість відсутня, самовисування.","Самовисування","","16.09.2014","","14"
"МорозовСергій Миколайович","народився 6 вересня 1972 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, суддя, Господарський суд міста Києва, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","14"
"НовогребелецьВасиль Володимирович","народився 16 червня 1961 року в селі Кіровка Калинівського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Радикальної Партії Олега Ляшка, проживає в селі Слобода Носковецька Жмеринського району Вінницької області, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","28.09.2014","","14"
"ОнопенкоВасиль Васильович","народився 10 квiтня 1949 року в селі Великі Крушлинці Вінницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, суддя, Верховний Суд України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","24.09.2014","","14"
"ПогребнякВалерій Миколайович","народився 2 лютого 1961 року в селі Комсомольське Козятинського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, МП ""Вікторія"", безпартійний, проживає в місті Бар Вінницької області, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","14"
"ФазиловСервер Шакірович","народився 10 вересня 1977 року в місті Янгіюль Ташкентської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, тимчасово не працює, безпартійний, проживає в селі Балки Білогірського району Автономної Республіки Крим, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","14"
"ЧумакСергій Вікторович","народився 5 грудня 1968 року в селі Троїцьке Заларинського району Іркутської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної партії ""ПРАВИЙ СЕКТОР"", проживає в смт Стрижавка Вінницького району Вінницької області, судимість відсутня, суб’єкт висування – Політична партія ""ПРАВИЙ СЕКТОР"".","Політична партія ""ПРАВИЙ СЕКТОР""","","27.09.2014","","14"
"ШпакОлександр Григорович","народився 3 сiчня 1952 року в селі Рокитне Рокитнянського району Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, віце-президент, концерн ""Укрросметал"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","22.09.2014","27.09.2014звернення із заявою про відмову балотуватися","14"
"БанахАнатолій Станіславович","народився 31 серпня 1972 року в селі Гибалівка Шаргородського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Шаргород Вінницької області, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","28.09.2014","","15"
"ВовкВасиль Васильович","народився 29 червня 1959 року в селі  Руданське  Шаргородського району  Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник Головного слідчого управління, Служба безпеки України, безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – Політична партія ""НАРОДНИЙ ФРОНТ"".","Політична партія ""НАРОДНИЙ ФРОНТ""","","23.09.2014","","15"
"ЖмудСергій Володимирович","народився 6 березня 1972 року в смт Томашпіль Томашпільського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в смт Томашпіль Вінницької області, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","15"
"ІльченкоКостянтин Степанович","народився 17 липня 1982 року в місті Винниці, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","15"
