"tvo","1. Кількість виборців","2. Взяли участь","3. Недійсних бюлетенів","Богословська","Бродський","Гриценко","Костенко","Литвин","Мороз","Пабат","Противсіх","Ратушняк","Рябоконь","Симоненко","Супрун","Тимошенко","Тігіпко","Тягнибок","Ющенко","Янукович","Яценюк","4. Не підтр. жодного"
"172",232045,150805,2508,999,56,1258,117,1759,500,364,121,82,47,7350,156,16189,37508,1076,2016,66252,8683,3764
"173",185479,116223,1794,845,41,917,113,1346,588,341,93,75,23,5428,207,12646,27637,734,1548,51888,7093,2866
"174",120792,78296,970,524,29,604,55,814,216,131,64,63,20,3321,47,8020,17335,493,924,37937,4804,1925
"175",116671,74880,1161,527,23,573,88,791,278,191,56,43,33,3407,39,8702,17629,475,943,33633,4392,1896
"176",167708,107385,1679,679,52,778,109,1172,277,259,106,65,27,4639,75,13390,23863,724,1472,48356,6862,2801
"177",163871,103292,1419,462,51,933,145,2095,754,238,115,92,34,4733,323,12288,16742,586,1502,51287,7572,1921
"178",150847,102461,1615,515,54,599,75,1546,461,161,114,63,22,5321,308,8318,12942,335,1469,62250,4911,1382
"179",161248,108033,1347,651,51,925,132,1467,487,279,150,74,36,6836,181,8885,11100,410,2024,66113,4950,1935
"180",151432,103715,1270,814,59,829,73,1248,440,289,128,43,28,4437,137,8512,11062,414,1209,64932,6033,1758
"181",155120,102186,1215,611,74,1016,100,1767,766,237,119,43,33,5961,262,10501,10381,379,1537,60271,5130,1783
"182",128025,85955,1313,340,54,918,140,2118,586,214,122,72,35,4111,187,10644,11012,384,1451,44604,5965,1682
"183",178689,110166,1615,530,47,767,100,1070,176,166,131,65,21,4161,210,10621,20926,655,1722,56600,8238,2345
"184",156333,91247,1535,337,55,1412,79,1913,203,88,115,55,38,5488,111,20816,17490,950,1429,30537,5982,2614
"185",189653,112024,1784,442,77,1740,102,2055,228,144,140,59,37,6274,149,23878,23555,1111,1816,38455,6772,3206
"186",149899,94911,1299,349,74,542,123,2337,250,95,162,71,24,7479,98,18580,13105,685,2225,38933,6158,2322
"187",160311,94971,1564,280,75,937,109,2337,179,115,163,76,28,7175,206,20454,12790,596,1529,38220,6044,2094
"188",111656,72900,1253,296,65,449,133,2018,260,112,132,52,31,7325,70,12030,9300,355,1676,31356,4307,1680
"189",117237,72378,1004,212,57,375,64,1603,144,64,104,45,33,7596,49,8321,7238,349,1407,39870,2660,1183
"190",203091,140561,2673,281,70,3428,273,3685,310,169,179,103,37,2933,193,53828,28464,3426,3549,17828,15726,3406
"191",128108,96174,1641,147,104,1071,415,7082,590,89,239,101,53,2762,204,42162,9159,1127,3226,14161,10413,1428
"192",142174,104669,2318,206,137,1121,526,4400,594,107,287,119,71,3072,266,43783,12557,1642,3502,14952,13239,1770
"193",169459,114514,2015,462,120,1370,1474,4307,527,131,336,102,54,3150,294,51160,13012,1870,4177,17588,10036,2329
"194",142307,100629,2369,227,98,817,897,5266,621,141,340,102,53,2717,374,40284,10270,1289,4012,16743,12395,1614
"195",145136,96349,2172,196,61,1467,360,3857,395,109,225,90,47,3134,265,34744,14133,2013,2904,16774,11362,2041
"196",136509,95160,2452,213,129,2144,812,5005,423,137,259,124,41,2980,508,33762,11308,1359,3124,15886,12765,1729
"197",182645,108959,1620,262,95,3873,349,3151,731,182,199,100,30,3304,149,40997,20390,1732,2970,17621,7996,3208
"198",121595,73121,1015,205,54,2974,164,1909,446,113,108,66,24,2451,94,24024,14865,1380,1735,13993,5183,2318
"199",129554,85772,1668,188,78,2461,353,3046,750,75,256,89,41,2762,1155,38884,7973,851,3949,13872,5268,2053
"200",166390,114527,2606,304,88,2217,584,4527,1281,141,295,120,44,3810,199,52041,11957,1048,3361,20334,7078,2492
"201",137102,86107,1372,269,56,2329,299,4004,888,129,215,96,37,3701,146,31202,11477,1046,2958,17630,5814,2439
"202",163891,108371,1744,205,78,4436,429,4794,1077,100,330,92,52,3536,265,48576,9867,1134,5244,17160,6856,2396
"203",160545,104408,1967,187,98,1977,372,3959,957,85,238,121,38,3904,214,45066,11245,1443,3067,17661,9243,2566
"204",187124,113823,2411,228,52,1889,164,1561,426,61,148,51,21,2217,139,32221,16739,1917,5938,19874,24758,3008
"205",193421,121750,2760,213,99,902,341,3340,575,83,336,82,63,921,412,46038,7583,1483,14339,16929,22862,2389
"206",145415,87449,2714,228,118,498,293,2197,1105,63,177,70,43,1059,336,23616,6620,633,6031,26450,13885,1313
"207",176091,111546,2835,312,94,749,526,3062,1208,76,388,81,44,2097,460,38554,7545,1134,8108,19845,22242,2186
"208",229500,149533,2068,585,81,4910,390,3410,837,222,218,71,42,6869,263,44060,27836,1503,2625,36038,12209,5297
"209",119029,79360,1331,231,87,615,306,2572,497,94,203,72,35,4260,519,32508,10470,379,1434,18492,3448,1807
"210",119799,80062,1471,204,78,620,298,1910,468,74,177,53,25,2462,509,41437,8571,580,1748,14273,3644,1460
"211",155297,99356,1857,193,61,1129,281,3662,633,158,191,64,38,3707,237,49403,12111,733,2752,15006,4934,2206
"212",147882,101042,1489,222,101,2880,422,3580,1106,142,261,117,68,3761,308,52126,9768,1190,2436,12971,5668,2426
"213",134399,93246,1479,307,92,587,538,3826,931,119,353,100,39,5564,861,38045,11695,502,1871,20821,3509,2007
"214",170654,110829,1487,260,141,3890,316,2813,406,275,183,92,79,2946,187,38809,20568,2546,5035,16410,9989,4397
"215",265623,179201,2515,348,156,5517,350,4375,429,289,293,139,87,3179,302,65191,37383,3239,6047,26781,15347,7234
"216",285260,190543,2037,444,152,5239,454,4723,397,311,344,135,77,3739,391,72425,35783,3564,6573,28877,16604,8270
"217",270749,177905,2436,378,153,5243,374,5078,598,329,264,135,102,5081,288,63670,32637,3163,6271,28608,16022,7075
"218",232918,160565,2121,308,150,4815,523,3738,405,237,266,124,74,3724,158,58565,29977,2999,6033,25896,13839,6613
"219",93542,60594,811,132,51,2380,144,1386,239,98,90,76,58,2478,120,18236,11751,1127,3090,11535,4610,2182
"220",147113,97145,1242,194,95,2799,229,2314,346,145,140,75,75,2425,175,36697,17436,1934,3528,14319,8993,3984
"221",258545,171994,1964,348,141,5308,401,4005,444,468,248,142,95,4062,289,66257,30736,3526,6237,24402,15833,7088
"222",248191,161160,2161,409,161,5020,367,3739,425,227,305,134,101,4040,232,52156,32772,3118,5925,29511,13621,6736
"223",184894,120420,1583,281,136,4020,285,3798,384,174,226,134,78,4117,179,39311,22042,2419,5395,21300,9733,4825
"224",137530,91919,1285,2053,35,507,53,1449,320,196,91,57,33,8963,359,5984,13792,264,703,51796,1766,2213
"225",172408,112226,1768,2665,42,589,51,1577,252,352,98,38,33,11086,463,7336,17092,339,827,62727,2232,2659
"Zakordony",428348,32015,335,114,34,868,34,404,80,43,58,75,41,297,28,7443,3574,1055,5044,9468,2399,621
