deputat,tvo,winner,likelihood,proposed,fraction,age,gender,spread
Лучков Євгеній Петрович,100,0,0.0199815969696641,unaffiliated,NA,39,M,-0.447534667116005
Поляков Максим Анатолійович,101,1,0.722965820314179,народний фронт,політичної партії народний фронт,37,M,0.574731084290833
Кузбит Юрій Михайлович,101,0,0.148234736023346,слуга народу,NA,42,M,0
Флоря Андрій Володимирович,101,0,0.0707848197858891,unaffiliated,NA,48,M,-0.0774499162374571
Довгий Олесь Станіславович,102,1,0.482240995090471,воля народу,воля народу,39,M,0.0230106699917897
Петрощук Артем Васильович,102,0,0.459230325098681,слуга народу,NA,36,M,0
Лібега Сергій Миколайович,102,0,0.0162534864491512,батьківщина,NA,37,M,-0.44297683864953
Воронько Олег Євгенійович,103,1,0.896297049329262,слуга народу,NA,45,M,0.868799850537256
Бездуган Віталій Васильович,103,0,0.0274971987920058,unaffiliated,NA,38,M,0
Дамченко Роман Анатолійович,103,0,0.0274971987920058,unaffiliated,NA,38,M,0
Татарка Сергій Миколайович,105,1,0.298649081823522,unaffiliated,NA,57,M,0.0887309176249804
Медведчук Сергій Володимирович,105,0,0.209918164198541,опозиційна платформа за життя,NA,60,M,0
Кобзар Сергій Олегович,105,0,0.177714152640112,слуга народу,NA,35,M,-0.0322040115584293
Черниш Валерій Сергійович,106,1,0.559700078769984,опозиційна платформа за життя,NA,46,M,0.280598082059465
Кузнєцов Олексій Олександрович,106,0,0.279101996710519,слуга народу,NA,40,M,0
Москаль Геннадій Геннадійович,106,0,0.0764434185351328,unaffiliated,NA,69,M,-0.202658578175387
Рибалка Сергій Вікторович,107,1,0.881648469957583,радикальна партія,радикальної партії олега ляшка,41,M,0.815268485740745
Щеглаков Едуард Іванович,107,0,0.0663799842168376,опозиційна платформа за життя,NA,48,M,0
Сорокін Олександр Олексійович,107,0,0.0197525807242507,слуга народу,NA,43,M,-0.046627403492587
Чернецов Олександр Іванович,112,1,0.419761736057504,опозиційна платформа за життя,NA,60,M,0.206480525717781
Місінкевич Ярослав Петрович,112,0,0.213281210339723,слуга народу,NA,31,M,0
Зеленський Сергій Олександрович,112,0,0.119018638810852,unaffiliated,NA,47,M,-0.094262571528871
Курило Віталій Семенович,113,1,0.773824355743149,БПП,БПП,62,M,0.621898523856163
Струк Володимир Олексійович,113,0,0.151925831886985,народний фронт,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",55,M,0
Лукашев Олександр Анатолійович,113,0,0.0394507278270996,опозиційна платформа за життя,NA,43,M,-0.112475104059886
Шахов Сергій Володимирович,114,1,0.887610971104751,воля народу,воля народу,44,M,0.819635991260431
Мошенський Валерій Захарович,114,0,0.0679749798443201,unaffiliated,NA,62,M,0
Мойсєєв Максим Сергійович,114,0,0.0200915555425672,слуга народу,NA,33,M,-0.0478834243017529
Хміль Михайло Михайлович,115,1,0.628842585010498,народний фронт,політичної партії народний фронт,46,M,0.442874568874052
Піпа Наталія Романівна,115,0,0.185968016136446,голос,NA,36,F,0
Шубка Катерина Павлівна,115,0,0.0750633060049938,слуга народу,NA,34,F,-0.110904710131452
Княжицький Микола Леонідович,116,1,0.548173146363934,європейська солідарність,політичної партії народний фронт,51,M,0.36550747093211
