"tvo","candidate","perc_for","votes_for"
"1","Богословська",1.5707635009311,1687
"2","Богословська",1.67684440472644,1351
"3","Богословська",1.12627481893876,1143
"4","Богословська",0.914574123458558,1022
"5","Богословська",1.21536307929062,1311
"6","Богословська",1.3803100970629,1314
"7","Богословська",2.64346717374339,2405
"8","Богословська",1.35689664605789,992
"9","Богословська",0.918943640250582,864
"10","Богословська",1.03554997908825,1238
"11","Богословська",0.252979921143196,333
"12","Богословська",0.235117990844793,245
"13","Богословська",0.186782000018134,206
"14","Богословська",0.18716577540107,210
"15","Богословська",0.286715229058588,320
"16","Богословська",0.20378233659044,239
"17","Богословська",0.224432358078207,248
"18","Богословська",0.234270086944589,239
"19","Богословська",0.139214131617281,151
"20","Богословська",0.116887860708633,144
"21","Богословська",0.144099679011493,167
"22","Богословська",0.104220492025819,119
"23","Богословська",0.130573401477162,163
"24","Богословська",0.3093751086289,267
"25","Богословська",0.359448672970667,417
"26","Богословська",0.351827705588777,313
"27","Богословська",0.305664222191474,243
"28","Богословська",0.329741272284849,332
"29","Богословська",0.315703788445461,287
"30","Богословська",0.491093986862052,622
"31","Богословська",0.562375423165754,711
"32","Богословська",0.571712278273429,760
"33","Богословська",0.545230065543614,658
"34","Богословська",0.428251488501666,392
"35","Богословська",0.386944091761027,448
"36","Богословська",0.734069816265365,1014
"37","Богословська",0.498219309970929,533
"38","Богословська",0.345486026829781,427
"39","Богословська",0.545652560455192,491
"40","Богословська",0.339499898353324,334
"41","Богословська",0.685632793359418,750
"42","Богословська",1.03625401610408,1045
"43","Богословська",0.897365998409052,1004
"44","Богословська",0.850738421832433,1068
"45","Богословська",0.723822640498871,946
"46","Богословська",0.608400608400608,728
"47","Богословська",1.08530796352105,1102
"48","Богословська",0.772807181930947,866
"49","Богословська",0.52660250590158,580
"50","Богословська",0.823386196868765,974
"51","Богословська",0.893971497402258,924
"52","Богословська",0.744427881885292,839
"53","Богословська",0.484910547557376,483
"54","Богословська",0.304047634129347,288
"55","Богословська",0.432707410747763,427
"56","Богословська",0.463745457618524,439
"57","Богословська",0.617186263649312,741
"58","Богословська",2.21005508495731,2656
"59","Богословська",2.37016548237875,2982
"60","Богословська",0.577674092684219,676
"61","Богословська",0.95201896798248,1052
"62","Богословська",0.474152771629531,482
"63","Богословська",0.261636494070979,372
"64","Богословська",0.274389207924156,323
"65","Богословська",0.425505781614641,485
"66","Богословська",0.193308281543576,214
"67","Богословська",0.264387894811388,280
"68","Богословська",0.203708488184908,205
"69","Богословська",0.258625148709461,250
"70","Богословська",0.515840833854049,388
"71","Богословська",0.227299280927041,214
"72","Богословська",0.198578180229556,200
"73","Богословська",0.140482075332193,133
"74","Богословська",0.263506272457921,209
"75","Богословська",0.639539531537293,720
"76","Богословська",1.08024283435983,1226
"77","Богословська",0.831672732662506,1010
"78","Богословська",0.774627129635088,657
"79","Богословська",0.855771049715794,950
"80","Богословська",0.993831944713557,1231
"81","Богословська",0.622165419673208,701
"82","Богословська",1.13103023774717,1323
"83","Богословська",0.590409150901892,671
"84","Богословська",0.101128029729996,123
"85","Богословська",0.0660269767362094,77
"86","Богословська",0.0331558115921006,48
"87","Богословська",0.0512310079334875,70
"88","Богословська",0.0674324512858671,58
"89","Богословська",0.0826651235843598,70
"90","Богословська",0.0704048877698357,59
"91","Богословська",0.228689623026277,314
"92","Богословська",0.208536693584169,141
"93","Богословська",0.131788611067847,110
"94","Богословська",0.148497232551575,121
"95","Богословська",0.188779659995783,188
"96","Богословська",0.188452194446337,249
"97","Богословська",0.175338031493408,156
"98","Богословська",0.219626096203936,285
"99","Богословська",0.158944225026491,198
"100","Богословська",0.197441487392538,240
"101","Богословська",0.176176086883802,158
"102","Богословська",0.192939105710321,171
"103","Богословська",0.270353417173968,290
"104","Богословська",0.355245030505806,361
"105","Богословська",0.484315491852261,543
"106","Богословська",0.469616540735123,514
"107","Богословська",0.379738756754457,357
"108","Богословська",0.47215349044741,582
"109","Богословська",0.253327723720605,283
"110","Богословська",0.38124460286255,415
"111","Богословська",0.240568412807937,258
"112","Богословська",0.310774367535636,363
"113","Богословська",0.422698932685195,440
"114","Богословська",0.313474297656164,369
"115","Богословська",0.315094993115217,373
"116","Богословська",0.339932013597281,306
"117","Богословська",0.109771459420551,122
"118","Богословська",0.0848536274925753,72
"119","Богословська",0.121443442054129,98
"120","Богословська",0.0973934977578475,139
"121","Богословська",0.07520796140844,99
"122","Богословська",0.0556387326508315,55
"123","Богословська",0.0531806393332751,73
"124","Богословська",0.0580092814850376,87
"125","Богословська",0.044026285322941,54
"126","Богословська",0.0495358704313928,69
"127","Богословська",0.0678613419185822,86
"128","Богословська",0.0589381751937258,88
"129","Богословська",0.526895484178251,708
"130","Богословська",0.468867890633421,522
"131","Богословська",0.274258600237248,289
"132","Богословська",0.342008783407392,264
"133","Богословська",0.288343489181487,256
"134","Богословська",0.322338919748314,271
"135","Богословська",0.344779118126121,417
"136","Богословська",0.316295118568384,374
"137","Богословська",0.349258052841115,386
"138","Богословська",0.321022210625361,406
"139","Богословська",0.201365785326563,161
"140","Богословська",0.22867085068042,184
"141","Богословська",0.257567893133808,263
"142","Богословська",0.306453092042919,401
"143","Богословська",0.288614264130477,298
"144","Богословська",0.249723666434683,244
"145","Богословська",0.44529262086514,399
"146","Богословська",0.332814049001558,282
"147","Богословська",0.34994967121664,372
"148","Богословська",0.370488832027294,417
"149","Богословська",0.253766374450842,253
"150","Богословська",0.28751847373371,321
"151","Богословська",0.343264533732342,312
"152","Богословська",0.242041669893889,250
"153","Богословська",0.245248313917842,232
"154","Богословська",0.124965829655953,160
"155","Богословська",0.110418802744696,126
"156","Богословська",0.111423129333645,148
"157","Богословська",0.222698005876102,285
"158","Богословська",0.129823656200328,156
"159","Богословська",0.18688830964442,304
"160","Богословська",0.151245448093726,130
"161","Богословська",0.330406051647683,342
"162","Богословська",0.298610066811317,278
"163","Богословська",0.128034142437983,120
"164","Богословська",0.16744164997907,148
"165","Богословська",0.135827319292389,166
"166","Богословська",0.114091359194041,159
"167","Богословська",0.078231503284174,101
"168","Богословська",0.0569841156777548,80
"169","Богословська",0.0562239964016642,65
"170","Богословська",0.60772604766686,690
"171","Богословська",0.781178387737434,767
"172","Богословська",0.662444879148569,999
"173","Богословська",0.727050583791504,845
"174","Богословська",0.669255134361909,524
"175","Богословська",0.703792735042735,527
"176","Богословська",0.632304325557573,679
"177","Богословська",0.447275684467335,462
"178","Богословська",0.502630269077991,515
"179","Богословська",0.602593651939685,651
"180","Богословська",0.784843079593116,814
"181","Богословська",0.597929266239994,611
"182","Богословська",0.395555814088767,340
"183","Богословська",0.481092169998003,530
"184","Богословська",0.369327210757614,337
"185","Богословська",0.3945583089338,442
"186","Богословська",0.367712909989358,349
"187","Богословська",0.294826841878047,280
"188","Богословська",0.406035665294925,296
"189","Богословська",0.292906684351599,212
"190","Богословська",0.19991320494305,281
"191","Богословська",0.152847963066941,147
"192","Богословська",0.196810899120083,206
"193","Богословська",0.403444120369562,462
"194","Богословська",0.225581094912997,227
"195","Богословська",0.203427124308503,196
"196","Богословська",0.223833543505675,213
"197","Богословська",0.240457419763397,262
"198","Богословська",0.280357216121224,205
"199","Богословська",0.219185748262836,188
"200","Богословська",0.26543959066421,304
"201","Богословська",0.312402011450869,269
"202","Богословська",0.189164998016074,205
"203","Богословська",0.1791050494215,187
"204","Богословська",0.200311009198492,228
"205","Богословська",0.174948665297741,213
"206","Богословська",0.260723393063385,228
"207","Богословська",0.279705233715239,312
"208","Богословська",0.39121799201514,585
"209","Богословська",0.291078629032258,231
"210","Богословська",0.254802528040768,204
"211","Богословська",0.19425097628729,193
"212","Богословська",0.219710615387661,222
"213","Богословська",0.329236642858675,307
"214","Богословська",0.234595638325709,260
"215","Богословська",0.194195344892049,348
"216","Богословська",0.233018268842204,444
"217","Богословська",0.212472949045839,378
"218","Богословська",0.191822626350699,308
"219","Богословська",0.217843350826815,132
"220","Богословська",0.199701477173298,194
"221","Богословська",0.202332639510681,348
"222","Богословська",0.253785058327128,409
"223","Богословська",0.233349941870121,281
"224","Богословська",2.23348817981049,2053
