"Прізвище, ім'я та по батькові кандидата в депутати","Основні відомості","Висування","Передвиборна програма","Дата реєстрації кандидатом","Дата та підстава скасування реєстрації кандидата","tvo","gender","age","job","city"
"Калетнік Григорій Миколайович","народився 2 травня 1949 року в селі Клембівка Ямпільського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, голова Комітету Верховної Ради України з питань аграрної політики та земельних відносин, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","22.09.2014","","18","M",70,"народний депутат України","проживає в місті Києві"
"Качур Олександр Вікторович","народився 22 листопада 1985 року в місті Немирів Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Немирівський міський голова, безпартійний, проживає в місті Немирів Вінницької області, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","28.09.2014","","18","M",34,"Немирівський міський голова","проживає в місті Немирів Вінницької області"
"Куровський Станіслав Євгенович","народився 30 листопада 1956 року в селі Жорнище Іллінецького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","17.09.2014","","18","M",63,"пенсіонер","проживає в місті Києві"
"Лобода Дмитро Анатолійович","народився 22 червня 1970 року в селі Встречний Білібінського району Магаданської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник, представництво ""КК БІОРЕСУРСІЗ ЛІМІТЕД"" в Україні, безпартійний, проживає в місті Запоріжжі, судимість відсутня, самовисування.","Самовисування","","19.09.2014","26.09.2014звернення із заявою про відмову балотуватися","18","M",49,"керівник","проживає в місті Запоріжжі"
"Мельник Микола Євтихійович","народився 17 квiтня 1943 року в селі Липівка Томашпільського району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, член Партії ""Справедливість"", проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","17.09.2014","","18","M",76,"пенсіонер","проживає в місті Києві"
"Невесенко Олексій Володимирович","народився 21 липня 1986 року в місті Черкасах, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, помічник президента, експерт, заступник начальника відділу сертифікації та декларування товарів, Черкаська торгово-промислова палата, безпартійний, проживає в місті Черкасах, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","18","M",33,"помічник президента","проживає в місті Черкасах"
"Плис Валерій Віталійович","народився 21 листопада 1979 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, генеральний директор, ТОВ ""Київ Ін Буд"", безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – Політична партія ""Опозиційний блок"".","Політична партія ""Опозиційний блок""","","29.09.2014","","18","M",40,"генеральний директор","проживає в місті Києві"
"Формагей Володимир Євгенович","народився 8 лютого 1953 року в селі Пісочин Липовецького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, член Комуністичної партії України, проживає в місті Липовець Вінницької області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","26.09.2014","","18","M",66,"пенсіонер","проживає в місті Липовець Вінницької області"
"Якименко Костянтин Вячеславович","народився 29 лютого 1976 року в місті Житомирі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Вінниці, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","23.09.2014","","18","M",43,"фізична особа – підприємець","проживає в місті Вінниці"
"Буторін Олексій Олексійович","народився 10 вересня 1978 року в місті Володимир-Волинський Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Моторний В.І.З."", безпартійний, проживає в місті Нововолинськ Волинської області, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","19","M",41,"директор","проживає в місті Нововолинськ Волинської області"
