"Прізвище, ім'я та по батькові кандидата в депутати","Основні відомості","Висування","Передвиборна програма","Дата реєстрації кандидатом","Дата та підстава скасування реєстрації кандидата","tvo","gender","age","job","city"
"Гуславський Володимир Станіславович","народився 30 вересня 1959 року в місті Міусинськ Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перебуває у розпорядженні Міністерства внутрішніх справ України, безпартійний, проживає в місті Луганську, судимість відсутня, самовисування.","Самовисування","","23.09.2014","","112","M",60,"перебуває у розпорядженні Міністерства внутрішніх справ України","проживає в місті Луганську"
"Іоффе Юлій Якович","народився 10 грудня 1940 року в місті Луганську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","112","M",79,"народний депутат України","проживає в місті Києві"
"Калічак Павло Васильович","народився 14 лютого 1991 року в селі Лішня Дрогобицького району Львівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, юрист, ТОВ ""Опрон-Україна"", безпартійний, проживає в місті Дрогобич Львівської області, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","112","M",28,"юрист","проживає в місті Дрогобич Львівської області"
"Касак Артем Андрійович","народився 3 жовтня 1988 року в місті Ірпінь Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Ірпінь Київської області, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","112","M",31,"тимчасово не працює","проживає в місті Ірпінь Київської області"
"Квашук Олександр Іванович","народився 5 грудня 1976 року в місті Сквира Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, покрівельник, ТОВ ""Познякижитлобуд"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","112","M",43,"покрівельник","проживає в місті Києві"
"Козак Євгенія Олександрівна","народилася 19 сiчня 1982 року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","112","F",37,"тимчасово не працює","проживає в місті Києві"
"Козюберда Костянтин Григорійович","народився 18 лютого 1957 року в місті Рубіжне Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в місті Рубіжне Луганської області, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","112","M",62,"пенсіонер","проживає в місті Рубіжне Луганської області"
"Кондратюк Юрій Олександрович","народився 16 лютого 1984 року в місті Тальне Черкаської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Миронівка Київської області, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","112","M",35,"тимчасово не працює","проживає в місті Миронівка Київської області"
"Курінний Кирило Анатолійович","народився 17 червня 1987 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, спеціаліст І категорії, Управління праці та соціального захисту населення Шевченківської районної в місті Києві державної адміністрації, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","112","M",32,"спеціаліст І категорії","проживає в місті Києві"
"Ландік Володимир Іванович","народився 27 грудня 1949 року в м. Часів-Яр Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова правління, Луганська обласна спілка споживчих товариств, безпартійний, проживає в місті Луганську, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","112","M",70,"голова правління","проживає в місті Луганську"
"Малюга Михайло Сергійович","народився 25 березня 1983 року в місті Львові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Львові, судимість відсутня, самовисування.","Самовисування","","16.09.2014","","112","M",36,"тимчасово не працює","проживає в місті Львові"
"Марухняк Мар’яна Богданівна","народилася 26 серпня 1984 року в місті Львові, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в місті Львові, судимість відсутня, самовисування.","Самовисування","","15.09.2014","","112","F",35,"тимчасово не працює","проживає в місті Львові"
"Мельник Віктор Іванович","народився 30 серпня 1977 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","23.09.2014","","112","M",42,"тимчасово не працює","проживає в місті Києві"
"Морозов Геннадій Вікторович","народився 29 сiчня 1969 року в місті Луганську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""ВІГОС-ЛТД"", безпартійний, проживає в місті Луганську, судимість відсутня, суб’єкт висування – Партія Сергія Тігіпка ""Сильна Україна"".","Партія Сергія Тігіпка ""Сильна Україна""","","22.09.2014","","112","M",50,"директор","проживає в місті Луганську"
"Ніколаєнко Любов Федорівна","народилася 7 сiчня 1968 року в селі Пилятин Козелецького району Чернігівської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійнa, проживає в місті Ірпінь Київської області, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","112","F",51,"фізична особа – підприємець","проживає в місті Ірпінь Київської області"
"Пелішенко Кирило Олегович","народився 17 червня 1982 року в місті Львові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Львові, судимість відсутня, самовисування.","Самовисування","","16.09.2014","","112","M",37,"фізична особа – підприємець","проживає в місті Львові"
"Пляцун Олег Володимирович","народився 13 жовтня 1972 року в місті Донецьку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор з економічних питань, ТОВ ""Євростек"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","112","M",47,"директор з економічних питань","проживає в місті Києві"
"Попова Ольга Миколаївна","народилася 16 серпня 1990 року в місті Харкові, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, провідний документознавець загального відділу, ДП ""НАЕК ""Енергоатом"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","19.09.2014","","112","F",29,"провідний документознавець загального відділу","проживає в місті Києві"
"Реброва Валентина Олександрівна","народилася 18 листопада 1988 року в місті Миколаєві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови відділу, молодіжна громадська організація ""Одна надія"", безпартійнa, проживає в місті Миколаєві, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","112","F",31,"заступник голови відділу","проживає в місті Миколаєві"
"Романовський Олександр Олександрович","народився 18 березня 1981 року в місті Рубіжне Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови, Луганська обласна державна адміністрація, безпартійний, проживає в місті Рубіжне Луганської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","23.09.2014","","112","M",38,"заступник голови","проживає в місті Рубіжне Луганської області"
"Савкін Євген Євгенович","народився 2 сiчня 1987 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник відділу, ТОВ ""Вудекспорт-трейд"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","112","M",32,"начальник відділу","проживає в місті Києві"
"Сербенюк Юрій Миколайович","народився 6 травня 1973 року в смт Муровані Курилівці Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, фізична особа – підприємець, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","112","M",46,"фізична особа – підприємець","проживає в місті Києві"
"Скнарь Юрій Іванович","народився 19 сiчня 1962 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","112","M",57,"фізична особа – підприємець","проживає в місті Києві"
"Таранов Олексій Анатолійович","народився 25 березня 1979 року в місті Красний Луч Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, військовослужбовець, Збройні сили України, безпартійний, проживає в місті Лутугіне Луганської області, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","28.09.2014","","112","M",40,"військовослужбовець","проживає в місті Лутугіне Луганської області"
"Тасюк Микола Валерійович","народився 18 лютого 1990 року в місті Сімферополі Кримської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТЕК ""Європа – транс ЛТД"", безпартійний, проживає в місті Львові, судимість відсутня, самовисування.","Самовисування","","16.09.2014","","112","M",29,"директор","проживає в місті Львові"
"Ткаченко Віталій Олександрович","народився 13 сiчня 1979 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, фізична особа – підприємець, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","112","M",40,"фізична особа – підприємець","проживає в місті Києві"
"Толстоухова Наталія Вікторівна","народилася 2 жовтня 1979 року в місті Макіївка Донецької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, лікар-стоматолог-терапевт стоматологічного відділення, філія № 4 комунального некомерційного підприємства ""Консультативно-діагностичний центр"" Шевченківського району міста Києва, безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","24.09.2014","","112","F",40,"лікар-стоматолог-терапевт стоматологічного відділення","проживає в місті Києві"
"Томенко Роман Олександрович","народився 4 липня 1975 року в місті Херсоні, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, фотограф, Центральний РАГС міста Києва, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","112","M",44,"фотограф","проживає в місті Києві"
"Труш Тетяна Петрівна","народилася 1 серпня 1978 року в селі Кобижча Бобровицького району Чернігівської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","23.09.2014","","112","F",41,"тимчасово не працює","проживає в місті Києві"
"Урбанська Дар’я Владиславівна","народилася 30 березня 1986 року в місті Дніпропетровську, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, вихователь, благодійна організація ""Місто щасливих дітей"", безпартійнa, проживає в місті Дніпропетровську, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","112","F",33,"вихователь","проживає в місті Дніпропетровську"
"Філь Сергій Олександрович","народився 7 лютого 1981 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"", проживає в місті Києві, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","","27.09.2014","","112","M",38,"тимчасово не працює","проживає в місті Києві"
"Хижняк Ілля Андрійович","народився 6 травня 1991 року в місті Артемівськ Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","112","M",28,"фізична особа – підприємець","проживає в місті Києві"
"Цибуля Юрій Геннадійович","народився 26 лютого 1973 року в місті Рубіжне Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Рубіжне Луганської області, судимість відсутня, самовисування.","Самовисування","","22.09.2014","","112","M",46,"фізична особа – підприємець","проживає в місті Рубіжне Луганської області"
"Чаус Тарас Романович","народився 16 жовтня 1988 року в місті Львові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Львові, судимість відсутня, самовисування.","Самовисування","","16.09.2014","","112","M",31,"фізична особа – підприємець","проживає в місті Львові"
"Чередніченко Сергій Олегович","народився 12 квiтня 1989 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, консультант, ТОВ ""Телесвіт"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","112","M",30,"консультант","проживає в місті Києві"
"Черненко Валентина Анатоліївна","народилася 13 серпня 1984 року в місті Миронівка Київської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, провідний економіст відділу кредитування юридичних осіб управління активних операцій, АТ ""БАНК ЗОЛОТІ ВОРОТА"", безпартійнa, проживає в місті Бровари Київської області, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","112","F",35,"провідний економіст відділу кредитування юридичних осіб управління активних операцій","проживає в місті Бровари Київської області"
"Якимчук Ірина Володимирівна","народилася 20 вересня 1983 року в селі Старосілля Городищенського району Черкаської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, головний спеціаліст відділу взаємодії із засобами масової інформації Управління забезпечення діяльності міністра, Міністерство енергетики та вугільної промисловості України, безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","23.09.2014","","112","F",36,"головний спеціаліст відділу взаємодії із засобами масової інформації Управління забезпечення діяльності міністра","проживає в місті Києві"
"Ярмолюк Ілона Олександрівна","народилася 17 березня 1986 року в смт Ланівці Лановецького району Тернопільської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","112","F",33,"фізична особа – підприємець","проживає в місті Києві"
"Вербов Володимир Володимирович","народився 31 липня 1966 року в місті Львові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, незалежний судовий експерт, безпартійний, проживає в місті Львові, судимість відсутня, самовисування.","Самовисування","","17.09.2014","","113","M",53,"незалежний судовий експерт","проживає в місті Львові"
"Гацько Анатолій Анатолійович","народився 4 жовтня 1965 року в місті Луганську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник, Державна екологічна інспекція у Луганській області, проходить військову службу за призовом під час мобілізації, безпартійний, проживає в місті Луганську, судимість відсутня, самовисування.","Самовисування","","17.09.2014","","113","M",54,"начальник","проживає в місті Луганську"
"Голенко Валерій Миколайович","народився 6 травня 1958 року в місті Міллерово Ростовської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Луганська обласна рада, безпартійний, проживає в місті Луганську, судимість відсутня, суб’єкт висування – Політична партія ""Опозиційний блок"" .","Політична партія ""Опозиційний блок""","","28.09.2014","","113","M",61,"голова","проживає в місті Луганську"
"Живага Володимир Миколайович","народився 14 грудня 1971 року в місті Старобільськ Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник генерального директора, СТОВ ""Сільгоспхімія"", безпартійний, проживає в місті Старобільськ Луганської області, судимість відсутня, самовисування.","Самовисування","","26.09.2014","","113","M",48,"заступник генерального директора","проживає в місті Старобільськ Луганської області"
"Кірічок Юрій Олександрович","народився 30 вересня 1974 року в селі Петрівка Сватівського району Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""ТЕКТОР ПЛЮС"", безпартійний, проживає в місті Сватове Луганської області, судимість відсутня, суб’єкт висування – Партія Сергія Тігіпка ""Сильна Україна"".","Партія Сергія Тігіпка ""Сильна Україна""","","22.09.2014","","113","M",45,"директор","проживає в місті Сватове Луганської області"
"Красносельський Дмитро Валерійович","народився 2 травня 1979 року в місті Луганську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Кремінська районна державна адміністрація, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Луганську, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","23.09.2014","","113","M",40,"голова","проживає в місті Луганську"
"Курило Віталій Семенович","народився 2 лютого 1957 року в селищі Білокуракине Білокуракинського району Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, ректор, Луганський національний університет імені Тараса Шевченка, безпартійний, проживає в місті Луганську, судимість відсутня, самовисування.","Самовисування","","09.09.2014","","113","M",62,"ректор","проживає в місті Луганську"
"Морошан Віктор Михайлович","народився 9 сiчня 1959 року в місті Караганда, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, заступник командира роти, батальйон спеціального призначення Національної гвардії України, безпартійний, проживає в місті Луганську, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","113","M",60,"заступник командира роти","проживає в місті Луганську"
"Радченко Ігор Олександрович","народився 23 вересня 1967 року в місті Рубіжне Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови, Рада адвокатів Луганської області, проходить військову службу за призовом під час мобілізації, безпартійний, проживає в місті Рубіжне Луганської області, судимість відсутня, самовисування.","Самовисування","","18.09.2014","","113","M",52,"заступник голови","проживає в місті Рубіжне Луганської області"
"Рибалко Євген Вікторович","народився 4 вересня 1965 року в місті Сватове Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Сватівський міський голова, безпартійний, проживає в місті Сватове Луганської області, судимість відсутня, суб’єкт висування – Радикальна Партія Олега Ляшка.","Радикальна Партія Олега Ляшка","","28.09.2014","","113","M",54,"Сватівський міський голова","проживає в місті Сватове Луганської області"
"Саяпін Ігор Олегович","народився 20 березня 1971 року в місті Сватове Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, фізична особа –  підприємець, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Сватове Луганської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".","політична партія Всеукраїнське об’єднання ""Свобода""","","29.09.2014","","113","M",48,"фізична особа –  підприємець","проживає в місті Сватове Луганської області"
"Сергієнко Леонід Григорович","народився 27 квiтня 1955 року в селі Миколаївка Покровського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, заступник голови Комітету Верховної Ради України з питань податкової та митної політики, безпартійний, проживає в місті Дніпропетровську, судимість відсутня, самовисування.","Самовисування","","27.09.2014","","113","M",64,"народний депутат України","проживає в місті Дніпропетровську"
"Сиротін Володимир Геннадійович","народився 9 липня 1973 року в місті Красний Луч Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","22.09.2014","","113","M",46,"тимчасово не працює","проживає в місті Києві"
"Снєгирьов Дмитро Васильович","народився 11 жовтня 1971 року в місті Луганську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної партії ""НАРОДНИЙ ФРОНТ"", проживає в місті Луганську, судимість відсутня, суб’єкт висування – Політична партія ""НАРОДНИЙ ФРОНТ"".","Політична партія ""НАРОДНИЙ ФРОНТ""","","23.09.2014","","113","M",48,"фізична особа – підприємець","проживає в місті Луганську"
"Біленький Олександр Юрійович","народився 3 червня 1974 року в селищі Решетилівка Полтавської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в селищі Решетилівка Полтавської області, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","114","M",45,"тимчасово не працює","проживає в селищі Решетилівка Полтавської області"
"Боченко Сергій Вікторович","народився 21 липня 1988 року в місті Миронівка Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, старший інспектор служби контролю дотримання режимів безпеки, ПАТ ""Укрпластик"", безпартійний, проживає в місті Миронівка Київської області, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","114","M",31,"старший інспектор служби контролю дотримання режимів безпеки","проживає в місті Миронівка Київської області"
"Вискребцов Євгеній Вікторович","народився 23 липня 1987 року в місті Ромни Сумської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","114","M",32,"тимчасово не працює","проживає в місті Києві"
"Волов Сергій Сергійович","народився 27 лютого 1991 року в місті Чернівцях, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","29.09.2014","","114","M",28,"тимчасово не працює","проживає в місті Києві"
"Волошина Ніна Олександрівна","народилася 23 листопада 1982 року в місті Дніпропетровську, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, начальник відділу охорони праці, ТОВ ""МЖК-1"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","28.09.2014","","114","F",37,"начальник відділу охорони праці","проживає в місті Києві"
"Воробей Андрій Миколайович","народився 6 липня 1990 року в селі Тхорин Овруцького району Житомирської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, головний спеціаліст юридичного відділу, ТОВ ""Укрбудконсалт"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","30.09.2014","","114","M",29,"головний спеціаліст юридичного відділу","проживає в місті Києві"
