"District","9.К-сть виборців, які взяли участь у голосуванні","Богомолець","Бойко","Гриненко","Гриценко","Добкін","Клименко","Коновалюк","Кузьмін","Куйбіда","Ляшко","Маломуж","Порошенко","Рабінович","Саранов","Симоненко","Тимошенко","Тігіпко","Тягнибок","Цушко","Шкіряк","Ярош"
11,1190,12,1,0,39,1,0,0,0,0,52,1,878,4,0,5,161,16,8,0,0,4
11,1602,21,1,7,72,9,0,5,0,1,68,1,1193,6,1,1,161,15,15,0,1,4
11,1296,18,0,5,56,7,0,2,1,1,43,2,969,10,1,7,135,13,8,0,0,6
11,1460,6,2,3,71,7,0,4,0,0,55,2,1120,13,0,2,138,12,11,0,0,7
11,1474,14,0,2,60,1,1,0,0,0,52,0,1101,20,0,3,165,12,14,1,0,9
11,1557,17,0,3,56,3,1,0,0,0,58,2,1203,11,0,8,155,12,13,1,0,4
11,1028,17,3,1,42,3,0,1,0,0,41,0,768,10,0,6,102,6,9,0,1,9
11,1519,13,1,7,62,4,0,4,1,1,62,1,1157,12,0,9,124,23,11,0,0,9
11,1589,15,1,3,92,3,0,2,2,0,65,1,1172,15,0,6,156,22,17,0,1,12
11,1323,9,1,6,39,4,0,0,0,0,40,0,1034,13,0,5,119,14,18,0,0,6
11,1649,19,1,3,43,3,0,1,2,0,60,0,1260,12,0,8,200,6,14,0,0,5
11,1484,19,1,6,49,2,0,3,2,0,45,1,1164,6,0,2,148,16,8,0,0,6
11,1192,12,1,5,42,3,0,3,0,0,59,1,905,7,0,9,111,5,12,0,0,8
11,1410,14,1,2,55,0,0,1,1,0,48,5,1083,11,0,4,153,11,2,0,0,5
11,1704,19,1,1,64,5,0,0,0,3,58,3,1318,12,0,4,180,15,13,0,0,6
11,1658,13,0,0,71,7,0,4,0,0,67,0,1256,11,0,9,166,15,12,0,0,20
11,1108,16,2,2,35,12,0,3,1,0,39,0,829,8,0,3,104,21,14,1,0,6
11,1708,12,0,6,75,2,0,4,1,1,65,4,1284,16,0,10,160,23,16,1,0,7
11,1611,10,0,7,70,8,0,3,3,0,57,0,1246,23,0,11,121,33,4,0,0,4
11,1178,30,0,4,36,10,0,0,1,1,41,1,898,10,0,11,95,18,11,0,0,7
11,1061,11,0,4,47,3,0,2,2,0,43,0,778,16,0,8,94,17,9,0,0,9
11,1503,13,0,0,70,5,1,0,0,1,38,0,1179,11,0,7,135,12,16,0,0,6
11,56,1,0,2,2,0,0,0,0,0,4,0,34,0,0,0,12,1,0,0,0,0
11,195,2,0,0,10,2,0,0,0,1,7,0,144,0,0,1,21,3,1,0,0,0
11,58,0,0,0,3,0,0,0,0,0,3,0,44,0,0,0,6,1,0,0,1,0
11,67,2,0,0,2,0,0,0,0,0,8,1,41,0,0,0,11,1,1,0,0,0
11,148,3,0,0,3,0,0,0,0,0,7,0,115,3,1,0,14,1,1,0,0,0
11,91,0,1,0,3,0,1,1,0,0,6,0,63,0,0,0,13,1,0,0,0,1
11,434,15,3,7,15,5,3,2,2,0,22,3,234,2,2,11,64,6,1,1,1,5
11,154,2,0,2,4,2,0,0,1,0,6,0,100,0,0,6,27,1,2,0,0,0
11,35,2,0,0,4,0,1,1,0,0,2,0,19,0,0,0,4,1,0,0,0,0
11,370,0,0,1,6,1,0,1,1,0,16,0,284,3,0,3,42,4,4,0,0,1
11,27,1,0,0,1,0,0,0,0,0,1,0,18,1,0,0,2,2,0,0,0,0
11,52,2,0,0,1,0,0,0,0,0,3,1,33,2,0,1,7,1,1,0,0,0
11,63,1,0,1,0,0,0,0,0,0,2,1,41,0,0,2,11,1,2,0,0,0
11,445,9,1,1,5,4,0,0,1,0,11,0,329,4,0,1,41,3,2,0,0,10
11,563,4,2,1,3,3,1,0,0,2,5,1,414,0,0,0,108,2,1,0,0,2
11,1244,16,0,2,82,3,0,2,2,0,38,1,928,9,0,3,104,31,16,0,0,3
12,53,1,0,0,0,0,0,0,0,0,0,0,44,0,0,0,8,0,0,0,0,0
12,526,9,1,3,34,3,0,0,0,2,21,1,376,6,0,1,54,4,2,0,0,4
12,1469,14,3,5,66,10,0,2,2,0,61,2,1089,11,0,8,160,6,10,2,0,9
12,922,5,0,1,44,2,1,2,0,0,39,1,663,13,0,2,125,8,5,0,0,3
12,742,3,0,0,32,2,0,0,1,0,24,0,534,5,0,4,106,7,16,0,0,1
12,846,5,0,2,24,2,0,1,1,0,35,0,679,4,0,2,76,7,6,0,1,0
12,1230,12,0,3,46,7,0,1,1,0,59,2,901,9,0,9,150,11,5,0,0,5
12,1549,10,2,8,58,2,1,1,2,1,56,1,1186,8,0,6,166,14,12,0,0,10
12,1042,8,0,2,47,4,0,1,0,0,34,1,806,10,0,5,89,13,2,0,0,10
12,1547,11,0,6,69,1,0,2,0,1,51,3,1200,7,0,0,146,12,9,0,0,9
12,128,0,0,2,3,0,0,0,0,0,6,0,90,0,0,0,22,1,2,0,0,0
12,1731,27,1,4,64,9,0,3,0,1,79,1,1246,10,0,8,215,22,19,1,0,7
12,646,10,1,0,23,3,0,0,1,0,22,1,480,9,0,1,60,7,13,0,0,9
12,1766,20,5,5,62,1,0,2,2,0,61,1,1319,5,0,4,231,21,17,0,0,6
12,554,0,2,1,16,1,0,0,0,0,25,1,319,2,0,9,169,1,6,0,0,0
12,1680,9,2,4,118,10,0,2,0,0,42,1,1213,9,0,0,226,8,17,0,0,3
12,1572,13,0,4,58,7,0,1,0,0,55,1,1227,4,0,3,153,20,8,1,0,8
12,1616,15,1,3,53,6,0,1,1,0,52,2,1277,12,0,5,142,9,10,0,1,4
12,952,11,0,12,52,2,1,0,0,1,39,1,710,2,0,2,97,3,6,0,0,3
12,503,4,0,7,12,3,0,0,0,0,36,0,337,5,1,2,72,9,9,0,0,0
12,601,2,0,2,22,0,0,1,2,0,36,1,410,2,0,0,108,9,0,0,0,2
12,377,1,0,0,9,3,0,0,0,0,13,0,302,2,0,0,43,1,1,0,0,0
12,343,4,0,4,7,0,0,0,0,0,11,1,230,4,0,3,69,5,3,0,1,0
12,357,4,0,1,12,0,0,0,0,0,14,0,255,0,0,0,59,4,2,0,0,1
12,127,2,1,0,5,2,0,0,0,1,3,0,91,0,0,0,16,4,1,0,0,0
12,285,5,1,2,9,1,0,0,0,2,6,1,203,5,0,4,44,2,0,0,0,0
12,344,1,0,0,16,1,1,0,0,0,16,0,240,1,0,2,61,1,1,0,1,0
12,160,0,0,0,6,0,0,0,0,0,2,0,103,4,0,0,32,2,7,0,0,1
12,619,3,0,1,18,2,0,0,0,0,21,1,459,4,0,2,88,8,1,0,1,2
12,451,2,0,1,13,1,0,0,0,0,18,1,336,2,0,0,61,3,9,0,0,3
12,345,0,1,0,7,2,0,0,0,0,15,0,267,1,0,1,44,2,5,0,0,0
12,547,2,1,1,11,2,1,0,0,0,15,1,400,2,0,2,98,2,5,0,0,1
12,220,2,0,0,2,2,0,0,0,0,11,1,158,3,0,1,34,4,1,0,0,0
12,1382,12,0,4,50,3,0,2,0,0,83,1,1040,11,0,4,139,6,10,0,0,8
12,1071,11,1,1,47,4,0,2,0,0,53,1,809,9,0,0,100,3,14,0,0,9
12,231,0,0,0,3,0,2,0,0,0,19,0,178,1,0,1,22,0,2,0,0,1
12,366,3,0,0,7,0,0,0,0,0,11,0,300,3,0,1,26,7,1,0,0,2
12,284,0,0,1,9,0,0,0,0,0,6,0,204,4,0,2,49,6,0,0,0,0
12,230,2,0,0,7,0,1,0,1,0,11,0,159,2,0,0,39,3,1,0,0,2
12,983,8,0,3,45,0,0,0,1,0,59,0,649,1,0,5,196,3,5,0,0,3
12,1073,7,0,6,29,9,0,1,0,1,33,2,835,3,0,2,124,10,3,0,0,4
12,1197,3,0,1,51,5,0,0,0,0,49,2,826,3,0,2,236,6,9,0,0,3
12,411,5,0,1,2,3,0,1,0,0,7,0,332,1,0,3,47,2,2,0,0,0
12,544,0,1,0,8,3,0,0,0,1,12,0,416,7,1,2,68,10,3,0,1,7
12,356,2,0,0,5,8,0,0,0,0,14,1,223,3,0,3,77,12,2,0,0,1
12,222,2,0,1,4,1,0,1,0,0,13,0,160,0,0,2,26,8,1,0,0,0
12,319,2,0,0,10,0,0,0,0,0,22,0,222,4,0,2,48,2,2,0,0,0
12,264,1,0,1,2,0,0,0,0,0,13,0,196,1,0,0,42,2,4,0,0,0
12,784,3,0,3,33,1,0,0,0,0,30,2,564,8,0,3,121,5,4,0,0,2
12,891,10,0,1,19,5,1,0,0,0,47,0,689,4,0,3,89,7,6,1,0,4
12,752,11,1,3,15,0,0,1,0,2,28,1,531,5,0,4,122,9,8,0,1,0
12,474,4,0,1,2,0,1,0,0,0,19,0,367,3,0,2,65,1,2,0,0,0
12,225,0,0,0,3,4,0,0,0,1,6,0,166,1,0,0,35,3,3,0,0,2
12,471,1,0,0,11,0,0,0,0,0,10,0,339,1,0,4,79,3,9,0,0,4
12,323,2,2,0,5,1,0,0,0,0,17,1,206,2,0,0,79,7,1,0,0,0
12,260,2,0,1,6,0,0,0,0,0,14,1,167,5,0,2,45,8,2,0,0,0
12,702,1,0,0,31,2,0,0,0,0,39,2,431,2,0,3,171,6,2,0,0,4
12,1301,4,0,3,8,2,0,0,0,0,31,1,1102,4,0,4,108,4,9,0,0,3
12,972,9,0,0,30,3,0,1,0,0,42,0,727,3,0,2,84,16,45,1,0,3
12,623,4,2,3,21,0,0,1,0,1,33,0,470,0,0,2,78,1,2,0,0,2
12,372,2,0,1,18,11,1,1,0,1,12,0,261,4,0,6,44,7,2,0,0,0
12,1538,14,1,2,74,0,0,0,0,0,58,1,1099,10,0,6,233,4,20,0,0,9
12,853,13,0,4,20,2,0,1,0,1,20,0,646,5,0,3,120,8,4,0,0,2
12,189,5,0,2,8,1,0,0,0,0,5,0,139,5,0,0,14,3,4,0,0,0
12,1412,9,0,6,53,0,0,0,0,0,38,2,1111,5,0,5,128,13,18,0,1,7
12,133,1,0,0,8,0,0,0,1,0,5,0,92,3,0,0,12,4,2,0,0,3
12,175,2,0,0,5,2,0,0,1,0,8,0,118,3,0,2,27,1,0,0,0,0
12,234,12,2,1,2,7,1,4,2,1,4,1,123,5,3,2,41,4,3,0,0,4
12,877,11,1,0,1,0,2,1,0,0,13,1,437,7,0,9,373,3,1,1,0,1
12,1327,18,2,6,67,8,0,1,1,0,48,3,963,30,0,15,91,36,15,1,0,9
12,1659,28,3,9,81,25,1,8,1,0,47,3,1184,29,0,34,99,75,16,1,0,6
12,1648,25,1,4,85,13,1,7,5,0,46,0,1184,27,0,20,121,57,18,0,0,11
12,1564,23,0,8,57,4,0,1,0,0,61,0,1188,20,0,11,122,24,17,0,0,10
12,1564,30,0,6,82,15,0,4,3,0,44,0,1150,16,0,5,114,52,19,2,1,8
12,1605,9,0,6,90,3,1,2,0,1,75,1,1225,20,1,12,110,21,17,0,0,6
12,1504,17,2,11,104,5,0,3,0,1,39,0,1074,12,0,14,150,37,12,1,0,13
12,1336,16,3,1,53,6,0,3,0,0,66,1,961,16,0,22,111,34,23,0,0,9
12,743,7,1,2,49,10,0,1,0,0,22,1,556,12,0,10,41,15,10,0,0,6
12,1420,16,1,1,63,4,0,6,0,0,50,1,1043,10,1,9,129,34,22,1,0,16
12,1760,26,1,1,163,19,1,7,3,1,52,2,1241,17,0,16,106,63,21,1,0,9
12,1777,26,0,5,94,8,0,5,2,0,48,0,1361,15,0,19,128,37,12,1,0,6
12,1473,16,0,4,63,1,0,0,2,0,58,1,1157,8,0,7,123,4,8,0,0,9
12,1173,8,1,9,55,2,1,1,0,1,30,0,915,10,0,5,94,16,9,0,0,6
12,1476,14,1,1,43,3,0,3,0,0,65,1,1165,5,0,1,146,7,12,0,0,2
12,1667,17,2,1,92,10,0,3,3,0,63,3,1217,12,1,4,163,28,19,0,0,13
12,1708,21,0,3,72,5,0,5,0,1,61,2,1299,11,0,6,161,20,22,0,1,10
12,1588,12,1,12,144,6,0,4,0,1,60,4,1146,19,0,14,77,55,12,0,0,10
12,948,11,1,5,32,4,0,5,1,0,24,0,752,8,0,5,72,10,6,0,0,2
12,1347,18,1,4,57,5,0,3,0,0,128,1,973,7,0,8,85,26,11,1,0,14
12,1143,11,1,6,41,5,0,0,1,3,77,0,833,13,0,6,89,22,13,0,0,8
12,1749,13,1,2,66,7,1,2,0,0,72,1,1368,11,0,6,137,18,19,0,0,15
12,1417,22,1,3,47,3,0,1,0,0,54,1,1076,13,0,6,133,30,10,0,0,9
12,1669,19,0,4,64,7,0,3,1,0,43,2,1295,16,0,8,121,59,10,0,0,3
12,1470,17,1,7,69,2,0,0,0,1,54,0,1107,11,0,5,145,19,10,0,0,6
12,1647,19,1,5,66,5,0,4,1,0,64,1,1248,4,0,11,164,18,18,0,0,10
12,1478,10,1,1,57,2,0,2,1,0,52,0,1186,11,0,2,124,2,15,0,0,2
12,1671,16,0,5,49,3,0,2,0,0,73,3,1297,5,0,3,174,8,10,1,0,13
12,1143,8,1,0,41,1,0,0,0,0,42,0,888,9,0,4,116,7,7,0,0,2
12,541,6,0,4,6,1,0,1,0,0,22,1,413,6,0,2,54,7,7,0,0,3
12,1539,14,2,2,43,15,0,3,1,1,44,0,1179,13,0,27,110,31,14,1,0,15
12,1063,10,1,6,99,5,0,1,0,0,45,0,764,20,0,5,67,19,7,0,0,4
12,1751,20,0,5,73,5,0,3,0,1,64,0,1350,14,0,12,127,27,15,0,0,18
12,1207,22,1,2,64,4,1,3,0,0,39,1,917,4,0,7,104,15,7,0,0,11
12,1567,17,0,5,112,8,0,0,0,0,57,0,1167,14,1,9,118,32,12,0,0,7
12,1635,15,0,7,170,11,1,0,0,0,49,0,1187,18,0,15,80,47,9,1,0,12
12,1422,12,0,5,50,1,0,1,1,0,62,0,1099,10,2,3,143,13,13,0,0,1
12,1475,10,0,4,47,2,1,0,0,0,61,0,1170,4,0,5,132,13,9,0,0,10
12,1257,5,2,2,41,0,0,2,0,0,44,1,1002,9,0,4,123,4,4,0,0,4
12,1250,14,0,7,45,5,0,5,0,0,51,1,948,5,1,7,132,15,3,0,0,3
12,1391,12,4,7,60,3,0,0,0,0,44,1,1077,10,0,8,139,5,8,3,0,4
12,1586,17,1,7,71,3,0,2,0,0,55,0,1241,10,0,5,123,21,15,0,0,4
12,197,9,0,1,12,0,0,0,0,0,7,0,141,1,0,3,15,3,4,0,0,0
12,68,2,0,0,0,0,0,0,0,0,7,0,48,0,0,0,10,1,0,0,0,0
12,23,1,0,0,2,0,0,0,0,0,0,0,15,0,0,0,3,1,1,0,0,0
12,1564,17,7,2,51,3,0,2,1,0,60,0,1240,9,0,4,119,15,14,0,0,10
13,349,0,0,1,7,0,3,1,0,0,19,0,222,1,0,1,84,1,6,0,0,1
13,296,1,0,4,8,2,0,0,0,0,19,1,163,3,0,0,90,2,2,0,0,1
13,724,2,0,0,14,0,0,3,1,0,28,0,531,5,0,5,112,9,4,0,0,2
13,38,0,0,0,0,1,0,0,0,0,5,0,17,0,0,0,8,6,0,0,0,0
13,152,0,0,0,11,0,0,0,0,0,8,0,90,3,0,2,33,4,0,0,0,0
13,427,6,0,0,15,0,0,0,0,0,21,0,298,3,0,3,72,5,0,0,0,3
13,1266,13,2,0,44,8,0,2,0,1,52,1,941,4,2,12,158,15,1,0,0,1
13,175,1,1,1,2,0,0,0,0,1,7,0,123,1,0,0,28,6,4,0,0,0
13,488,2,0,1,20,2,1,0,1,1,19,2,335,2,0,1,79,5,15,0,0,0
13,442,2,2,6,29,2,0,1,0,1,12,2,265,0,2,3,101,8,3,0,0,0
13,358,0,0,6,11,1,0,0,0,0,23,0,224,2,0,0,79,4,4,0,0,0
13,461,4,0,3,20,1,1,0,0,0,20,0,314,3,0,6,72,2,8,0,0,0
13,1030,9,0,1,16,0,0,0,0,0,70,1,746,8,0,1,153,7,5,0,0,3
13,1214,2,0,0,25,0,0,2,1,0,82,2,879,5,0,2,181,8,8,0,0,4
13,423,2,0,1,10,0,0,0,0,1,18,1,309,4,0,2,66,2,3,1,1,0
13,325,5,0,0,11,0,0,0,0,0,11,2,240,1,0,3,41,5,3,0,0,0
13,226,0,0,0,3,0,1,0,0,0,19,1,129,5,0,0,65,1,0,0,0,1
13,79,1,0,0,2,0,0,0,0,0,9,0,47,0,0,0,15,4,1,0,0,0
13,1429,8,1,4,56,0,0,1,0,1,55,1,1108,11,1,6,138,9,11,0,0,10
13,358,2,1,1,7,1,0,0,0,0,14,0,246,0,0,8,61,5,5,0,0,1
13,677,2,0,2,15,0,0,1,0,0,29,3,527,5,0,2,78,2,5,0,0,3
13,362,3,0,2,6,1,0,0,0,0,18,0,247,2,0,1,57,12,7,0,0,2
13,242,1,0,0,3,1,0,1,0,0,19,0,166,0,0,1,38,4,5,0,0,0
13,334,1,1,2,0,1,0,0,1,0,10,1,199,0,0,4,104,5,2,0,0,1
13,210,1,3,0,3,0,0,0,0,0,3,0,109,0,0,1,82,4,0,0,0,2
13,236,6,0,0,1,3,0,0,0,0,10,0,158,0,0,1,45,5,3,0,0,0
13,634,5,0,1,9,1,1,0,1,0,37,3,464,2,0,1,84,11,4,0,0,0
13,438,0,0,0,5,1,0,0,0,0,12,0,295,5,0,2,101,11,2,1,0,0
13,346,2,0,1,10,2,0,0,0,0,15,0,242,3,0,1,51,10,2,0,0,0
13,99,0,0,0,1,0,0,1,0,0,5,0,69,1,0,0,17,1,0,0,0,0
13,197,1,0,0,7,1,0,0,0,0,9,0,120,2,0,1,46,4,3,1,0,0
13,140,1,0,0,8,0,0,0,0,0,7,0,93,1,0,0,24,3,3,0,0,0
13,628,3,2,5,48,1,0,0,0,0,23,0,377,3,1,7,137,13,4,0,0,0
13,638,7,3,0,8,1,0,0,0,1,33,0,444,5,0,1,126,4,2,0,0,1
13,450,2,0,1,6,2,0,0,0,0,21,0,314,7,0,2,81,5,7,0,0,0
13,290,0,0,2,6,0,1,0,0,4,17,0,191,0,0,0,56,3,2,0,0,0
13,1259,10,0,1,52,0,0,0,0,0,68,1,937,7,1,5,158,4,7,0,0,3
13,1027,9,0,2,46,3,0,0,0,0,32,2,766,8,0,10,129,6,5,0,0,1
13,498,3,1,2,17,1,0,0,0,0,30,1,344,4,0,7,76,1,4,0,0,4
13,616,5,0,2,24,2,0,0,1,0,26,2,416,6,0,1,107,12,2,0,0,3
13,990,4,0,1,18,4,0,0,0,1,29,0,739,1,0,3,174,9,2,0,0,2
13,471,8,1,1,35,2,0,0,0,0,19,0,267,4,0,4,112,10,6,0,0,0
13,236,2,0,3,8,0,0,0,0,0,11,0,116,2,0,0,88,2,3,0,0,0
13,145,0,0,0,0,0,3,0,0,2,5,0,93,0,0,0,33,7,2,0,0,0
13,349,1,0,2,12,0,0,1,0,1,14,0,215,5,0,3,84,2,1,0,0,2
13,187,4,0,0,6,0,0,0,0,0,8,0,101,1,0,5,57,4,0,0,0,0
13,141,1,0,0,2,1,0,0,0,0,10,0,98,1,0,0,20,5,0,0,1,1
13,747,4,1,0,13,2,2,0,0,0,38,1,523,10,0,5,128,8,5,0,0,1
13,1411,3,5,7,53,1,1,0,1,0,73,1,1065,9,0,6,137,16,8,0,0,7
13,1269,8,0,6,49,2,0,3,0,0,52,1,914,7,0,17,159,22,18,0,0,3
13,1662,15,0,4,54,6,0,5,0,0,68,3,1312,5,0,10,124,31,12,0,0,6
13,1233,7,1,1,36,1,0,4,0,1,52,1,938,10,0,5,138,16,11,0,0,5
13,1489,23,0,3,41,3,1,0,0,0,63,0,1170,11,0,9,119,16,10,0,0,10
13,1184,10,1,0,39,0,0,1,1,0,50,0,921,4,0,2,130,5,13,0,0,1
13,1134,6,1,1,41,3,0,2,0,0,62,1,819,10,0,11,136,15,13,0,1,9
13,143,1,0,0,1,0,0,0,0,0,9,0,99,0,0,0,29,1,2,0,0,0
13,184,4,0,1,1,0,0,1,0,0,6,0,139,1,0,2,23,1,2,0,0,0
13,1723,15,0,1,59,1,2,0,0,0,86,0,1275,17,0,9,186,35,18,0,1,10
13,131,1,0,1,7,0,0,0,0,0,2,0,88,1,0,1,23,3,2,0,0,1
13,415,2,0,0,11,0,0,0,0,0,15,0,276,4,0,2,91,5,3,0,0,0
13,119,1,1,0,0,0,0,0,0,0,6,0,59,2,0,4,41,4,1,0,0,0
