"tvo","num_voters","num_stations","description","district"
"ТВО №201","131483","136","Центр: місто СмілаТВО включає: місто Сміла, Кам'янський, Смілянський, Чигиринський райони","Черкаська область"
"ТВО №202","158777","215","Центр: місто ТальнеТВО включає: місто Ватутіне, Жашківський, Звенигородський, Катеринопільський, Маньківський, Тальнівський райони","Черкаська область"
"ТВО №203","156273","171","Центр: місто УманьТВО включає: місто Умань, Монастирищенський, Уманський, Христинівський райони","Черкаська область"
"ТВО №204","184618","115","Центр: місто ЧернівціТВО включає: місто Чернівці","Чернівецька область"
"ТВО №205","194757","178","Центр: місто СторожинецьТВО включає:  Сторожинецький, Вижницький, Кіцманський, Путильський райони","Чернівецька область"
"ТВО №206","146002","113","Центр: місто НовоселицяТВО включає: Герцаївський, Глибоцький, Новоселицький райони","Чернівецька область"
"ТВО №207","173522","155","Центр: місто ХотинТВО включає: місто Новодністровськ, Хотинський, Заставнівський, Сокирянський, Кельменецький райони","Чернівецька область"
"ТВО №208","226122","127","Центр: місто Чернігів (Новозаводський район, Деснянський район)ТВО включає: Деснянський, Новозаводський райони в місті Чернігові","Чернігівська область"
"ТВО №209","112637","207","Центр: смт РіпкиТВО включає: Городнянський, Ріпкинський, Чернігівський, Щорський райони","Чернігівська область"
"ТВО №210","108652","176","Центр: смт КозелецьТВО включає: Бобровицький, Козелецький, Куликівський, Носівський райони","Чернігівська область"
"ТВО №211","149233","162","Центр: місто НіжинТВО включає: місто Ніжин, Бахмацький, Борзнянський, Ніжинський райони","Чернігівська область"
"ТВО №212","141758","207","Центр: місто ПрилукиТВО включає: місто Прилуки, Варвинський, Ічнянський, Прилуцький, Срібнянський, Талалаївський райони","Чернігівська область"
"ТВО №213","127878","225","Центр: смт СосницяТВО включає: Коропський, Корюківський, Менський, Новгород-Сіверський, Семенівський, Сосницький райони, місто Новгород-Сіверський","Чернігівська область"
"ТВО №214","169663","86","Центр: місто Київ, Голосіївський районТВО включає: Голосіївський район у місті Києві","м.Київ"
"ТВО №215","277445","136","Центр: місто Київ, Дарницький районТВО включає: Дарницький район  у місті Києві","м.Київ"
"ТВО №216","285357","135","Центр: місто Київ, Деснянський районТВО включає:  Деснянський район  у місті Києві","м.Київ"
"ТВО №217","265349","129","Центр: місто Київ, Дніпровський районТВО включає: Дніпровський район  у місті Києві","м.Київ"
"ТВО №218","227687","112","Центр: місто Київ, Оболонський районТВО включає: Оболонський район у місті Києві","м.Київ"
"ТВО №219","89769","50","Центр: місто Київ, Печерський районТВО включає: Печерський район у місті Києві","м.Київ"
"ТВО №220","145380","72","Центр: місто Київ, Подільський районТВО включає: Подільський район у місті Києві","м.Київ"
"ТВО №221","254999","126","Центр: місто Київ, Святошинський районТВО включає: Святошинський район у місті Києві","м.Київ"
"ТВО №222","245893","132","Центр: місто Київ, Солом'янський районТВО включає: Солом'янський район у місті Києві","м.Київ"
"ТВО №223","176219","108","Центр: місто Київ, Шевченківський районТВО включає: Шевченківський район у місті Києві","м.Київ"
"ТВО №224","137915","87","Центр: місто Севастополь, Гагарінський районТВО включає: Балаклавський, Гагарінський райони в місті Севастополі (з населеними пунктами Балаклавської районної в місті Севастополі ради)","м.Севастополь"
"ТВО №225","163891","106","Центр: місто Севастополь, Ленінський районТВО включає: Ленінський, Нахімовський райони в місті Севастополі (з населеними пунктами Нахімовської районної в місті Севастополі ради)","м.Севастополь"
