"okrug","9.К-сть виборців, які взяли участь у голосуванні","БалашовГеннадій","БезсмертнийРоман","БогомолецьОльга","БогословськаІнна","БойкоЮрій","БондарВіктор","ВащенкоОлександр","ВілкулОлександр","ГаберМикола","ГриценкоАнатолій","ДанилюкОлександр","Дерев’янкоЮрій","ЖуравльовВасиль","ЗеленськийВолодимир","КаплінСергій","КармазінЮрій","КиваІлля","КорнацькийАркадій","КошулинськийРуслан","КривенкоВіктор","КупрійВіталій","ЛитвиненкоЮлія","ЛяшкоОлег","МорозОлександр","НаливайченкоВалентин","НасіровРоман","НовакАндрій","НосенкоСергій","ПетровВолодимир","ПорошенкоПетро","РиговановРуслан","СкоцикВіталій","СмешкоІгор","СоловйовОлександр","ТарутаСергій","ТимошенкоЮлія","ТимошенкоЮрій","ШевченкоІгор","ШевченкоОлександр"
11,116533,284,236,265,97,6070,78,21,2393,20,8952,38,151,29,26398,64,60,39,19,1607,38,23,90,2575,101,337,18,36,24,139,33083,35,105,15762,38,75,14811,653,93,372
12,117283,198,207,255,108,5450,67,41,2545,29,8240,26,153,46,28535,68,73,37,15,1692,28,35,96,3666,116,293,21,40,21,145,31819,33,105,13789,51,80,16207,816,91,477
13,96329,108,103,144,66,3591,88,26,1535,40,5362,27,46,46,22164,46,173,16,18,1012,18,33,172,8848,104,253,14,33,30,135,20460,41,113,7991,55,125,20141,1197,111,631
14,103521,120,120,207,83,5102,104,20,2345,39,5971,39,113,51,24356,54,157,22,16,1128,28,31,129,8666,99,248,20,15,17,149,23232,45,85,8237,24,142,19150,1161,116,617
15,94057,65,66,150,75,4960,83,23,2642,34,5291,46,47,51,21896,55,228,30,16,1351,30,31,154,12093,103,219,15,22,19,127,18318,48,84,5114,27,245,17573,971,115,584
16,80320,98,79,150,60,5330,61,35,2552,29,4416,26,34,34,20876,49,261,33,12,617,21,21,145,9287,86,170,17,25,31,98,14512,39,79,4864,26,184,13640,780,107,553
17,100916,85,109,176,93,4684,77,29,2013,34,6330,16,58,46,24352,43,157,29,13,835,53,30,219,10052,77,222,15,21,26,132,18150,47,105,9373,24,98,20077,1170,135,579
18,90811,94,103,121,76,3530,58,35,2133,41,5269,30,50,38,18766,55,238,30,15,791,27,26,180,10186,106,236,12,26,17,138,19341,39,88,6739,57,105,19283,1169,104,541
19,92605,102,229,195,77,2868,40,26,667,26,9318,33,43,38,22823,36,97,33,27,2903,55,30,120,8593,62,326,6,29,19,73,14074,29,68,5717,15,81,20291,913,172,1341
20,110071,121,279,244,90,3001,67,32,771,42,8528,34,82,34,21132,40,90,29,41,3433,89,36,208,13396,78,442,12,42,23,108,22509,37,92,6427,30,118,23919,1205,254,1964
21,101853,134,146,196,108,5340,63,42,1676,30,8480,34,42,34,23954,66,87,44,19,2219,30,39,175,10526,84,329,15,24,23,101,17039,33,115,7161,31,74,19771,959,184,1313
22,108978,289,269,354,91,3872,50,22,1401,25,13579,38,135,19,24613,49,66,42,28,4166,55,20,83,4141,59,500,10,56,13,83,23091,22,90,12082,23,72,16432,586,133,1175
23,106656,116,250,212,107,3839,73,44,1215,41,7010,34,62,49,20014,47,103,36,20,2130,72,61,202,14891,75,361,12,27,13,153,22034,40,75,4656,39,96,22808,1171,407,2849
24,102862,324,148,141,100,13391,102,43,10104,16,3778,21,45,46,47309,72,40,39,23,466,36,24,67,1642,44,163,18,11,14,47,9867,8,48,5465,18,68,7284,329,45,143
25,95909,281,147,149,90,12264,79,31,8147,20,3812,15,45,42,43307,67,34,21,8,481,35,23,56,1284,46,141,15,23,18,52,10527,10,54,5262,22,65,7527,324,38,163
26,91415,262,135,133,97,12051,85,17,8114,13,4011,9,55,40,38806,47,41,23,4,496,31,10,58,1137,46,129,17,23,8,58,10788,10,47,5478,19,60,7519,266,43,170
27,91693,293,180,152,79,11407,83,17,7408,12,4230,11,40,23,38175,51,25,23,13,554,54,32,60,894,22,144,15,29,9,70,12488,5,48,5789,19,68,7814,229,40,152
28,93487,223,126,102,82,11992,92,23,8508,21,3388,13,46,44,43108,59,28,33,10,516,40,17,58,1402,31,156,8,15,8,41,9359,13,38,4948,12,64,7136,352,45,190
29,93689,225,93,111,85,11704,94,28,7373,18,3171,15,46,49,43539,63,39,27,5,498,73,61,60,2430,31,130,12,20,14,46,8738,14,51,4797,21,53,8204,372,35,153
30,100175,153,86,108,110,14181,76,17,9292,22,3213,13,16,55,46352,77,43,28,5,746,85,131,60,1798,34,103,5,10,15,27,6513,10,32,5273,21,127,9553,406,38,143
31,114523,155,71,79,92,7947,59,68,21544,29,3219,16,18,44,56442,62,27,27,12,620,12,20,44,1743,29,130,5,14,8,18,7536,11,37,5186,10,45,7416,382,28,137
32,115196,174,80,87,84,8657,58,63,19778,22,3250,14,21,62,59460,67,28,25,2,611,16,20,39,1743,31,125,10,10,7,43,7412,6,54,5582,13,53,6076,227,26,104
33,95114,143,75,76,72,8165,49,58,16616,18,2938,14,14,46,46398,54,25,20,3,488,17,15,38,1384,25,97,5,13,6,32,6531,6,22,4618,12,45,5629,224,22,106
34,91455,87,88,100,80,12626,106,36,8026,20,2777,21,31,57,39329,52,78,38,5,488,21,29,96,4637,47,129,6,12,14,50,6267,19,43,4123,17,106,9973,471,51,184
35,96808,125,77,105,91,12371,76,39,7101,14,3309,12,28,63,41497,51,35,29,10,456,21,25,60,3888,49,84,16,14,8,46,8546,12,54,5152,17,86,11269,509,64,275
36,103340,119,67,86,106,16465,94,41,14880,15,2717,17,23,54,41662,54,46,22,10,290,23,11,69,3220,27,69,10,15,11,33,7281,22,32,3918,16,84,10029,463,42,163
37,90295,89,67,85,76,9297,63,40,12221,27,2269,16,20,73,42368,46,51,26,8,399,12,17,70,4254,36,85,8,9,6,50,5039,13,46,3143,20,63,8586,455,34,120
38,92669,143,77,94,94,14076,96,39,7269,23,2694,20,34,70,42520,63,64,20,13,460,28,16,62,4661,48,122,9,24,13,55,6951,27,42,3861,12,70,7142,362,35,176
39,92815,67,58,105,95,15169,94,36,6767,19,2700,6,30,55,38541,54,73,25,9,277,16,12,79,6227,48,104,11,10,9,57,6943,14,33,3134,8,65,10131,538,44,170
40,85953,94,60,114,87,11986,79,25,6958,32,2888,10,23,56,38137,66,70,23,11,368,23,48,72,4064,38,92,9,11,11,59,6391,17,37,3060,13,91,9154,514,55,176
45,25090,22,16,21,38,8790,48,12,2221,7,259,5,10,16,4378,14,5,20,6,167,3,9,19,266,28,9,0,5,6,24,6700,5,12,386,15,22,999,58,16,34
46,91152,93,96,93,141,35611,160,44,7865,30,1022,11,33,60,23218,64,54,42,9,314,19,13,69,2305,63,73,14,13,22,66,12519,26,34,1791,29,171,3201,212,61,136
47,76094,83,54,83,156,34260,159,25,5491,16,1094,15,66,38,19148,50,36,28,6,240,14,11,44,1933,61,35,11,10,6,40,6977,15,25,2429,9,71,2180,108,36,83
48,90912,114,95,102,153,33849,108,37,7896,9,1676,9,50,33,24701,50,25,28,11,389,16,20,56,1352,59,59,13,15,7,50,11856,21,34,3517,31,123,2981,126,38,107
49,85181,77,79,58,118,34642,146,39,10407,21,1008,13,52,34,18236,50,41,21,6,235,14,10,65,2061,44,46,14,17,13,66,11241,29,61,1582,49,79,2913,142,42,66
50,91393,72,75,117,162,34404,165,33,11969,18,1230,9,21,51,25513,58,74,34,10,293,27,10,39,2341,46,79,10,12,9,47,6741,26,37,2067,183,148,3759,195,28,106
51,895,1,0,0,1,280,0,0,28,0,3,0,1,2,245,1,1,2,0,2,0,1,0,20,0,0,0,0,0,4,249,0,0,8,3,2,22,2,2,0
52,38391,28,22,33,51,15888,67,9,2664,10,233,6,15,19,4672,19,22,11,2,119,6,7,16,440,17,18,8,4,3,22,10995,11,9,453,3,29,1506,65,11,21
57,94275,83,61,77,128,28879,100,52,19047,13,1275,17,19,134,27061,52,26,39,5,208,20,8,48,3868,57,48,14,13,13,51,5269,14,26,2466,17,303,3230,161,28,73
58,93206,113,80,75,114,27620,93,50,18241,23,1577,5,14,147,26654,50,14,32,4,213,8,10,41,3027,47,47,7,14,7,21,6153,12,28,3204,10,334,3715,157,20,59
59,87728,88,79,84,147,32129,192,68,9796,34,1292,19,33,59,18486,61,88,47,9,285,33,14,81,2193,84,47,14,30,12,101,14474,32,28,1731,42,114,3773,247,50,115
60,74225,48,44,59,98,26555,107,31,6142,22,802,14,24,64,17631,40,21,40,9,201,24,6,54,2696,64,54,14,13,7,44,14110,24,57,1353,11,119,2426,156,31,117
62,110338,204,184,316,113,8967,44,16,1957,20,8308,30,204,37,35214,71,100,31,17,1262,39,27,82,3885,86,277,16,29,10,67,16837,13,110,14449,36,93,14468,541,79,548
63,103459,107,189,181,92,6191,74,28,1527,37,5314,33,408,38,28122,54,165,27,16,1074,12,20,160,9937,92,219,9,19,14,104,16724,20,96,9457,26,138,19757,1031,108,508
64,99152,143,130,203,108,9712,82,43,2159,32,3592,22,196,50,26896,57,179,38,13,686,30,27,239,12652,118,197,16,30,18,120,13627,38,84,5887,29,152,18814,830,115,590
65,93771,114,113,187,99,6249,72,33,1702,33,4788,20,73,59,24509,70,133,19,18,954,62,33,178,11687,92,221,8,20,23,130,15717,26,79,7074,37,105,16376,830,119,684
66,104634,157,185,253,78,6165,54,33,1543,35,6588,40,151,68,27904,65,86,37,18,1187,57,21,159,10761,79,228,18,27,9,141,19512,39,89,6327,35,118,19512,957,137,618
67,107481,147,125,267,115,7320,73,41,1757,30,6840,24,242,48,29604,44,145,27,21,1298,84,15,162,11211,90,254,18,38,8,108,16276,33,81,8970,46,105,18898,997,119,574
68,89446,211,202,266,133,5403,187,38,1852,34,6953,44,109,56,32084,67,57,43,16,935,36,32,129,2883,69,325,23,97,19,75,13470,28,62,6731,41,125,12955,686,146,806
69,74476,143,120,160,110,6143,571,43,1574,37,3744,32,53,77,30911,57,48,26,13,512,20,35,156,3995,58,160,16,33,17,98,7961,41,66,3523,32,109,10466,724,176,634
70,89462,120,150,173,99,6355,2071,48,1747,36,4295,43,70,72,28566,79,94,44,22,744,27,31,240,7667,60,229,16,33,22,106,10172,39,77,3803,69,121,17932,1077,248,988
71,68482,93,84,121,77,6072,87,29,1222,18,2971,31,32,77,28454,58,29,14,20,764,21,23,98,4548,51,174,12,19,15,75,6723,29,39,3183,20,59,10223,603,225,798
72,62867,75,63,96,82,5446,75,31,1150,20,2286,34,41,57,23879,52,53,24,22,811,28,17,111,5681,36,154,9,18,9,89,7726,33,38,1752,22,62,8925,484,322,1896
73,58596,100,92,145,115,3763,513,60,1424,36,2501,31,42,92,26129,60,46,30,19,578,18,32,106,3032,46,116,14,35,12,61,4557,17,35,2055,32,76,9129,584,190,935
74,88436,185,104,134,102,13362,74,26,7650,13,3387,14,33,42,36665,50,25,30,12,419,21,19,50,1960,57,188,14,18,16,40,9322,10,39,5345,25,82,7151,298,42,194
75,103335,167,132,141,116,12900,69,51,10084,18,4019,18,47,42,43486,72,40,33,11,444,27,26,73,2619,47,196,13,22,12,43,10922,20,42,6005,31,81,9275,386,61,224
76,106242,203,140,172,111,13881,57,38,11126,27,4341,24,70,38,42770,41,36,44,12,514,42,11,67,2528,56,216,12,27,17,53,12333,18,58,6601,36,93,8512,363,44,234
77,90022,177,110,105,107,14225,78,36,8497,23,2899,14,44,51,38632,46,27,36,6,343,17,18,43,2141,40,157,13,12,10,39,8747,9,37,4752,27,59,6845,326,42,181
78,93800,115,70,105,110,21191,113,29,7757,24,2500,19,21,54,35933,50,47,25,6,389,12,19,85,4589,44,107,17,15,7,43,7230,21,39,3743,23,122,7637,342,65,182
79,104278,126,78,127,145,22856,119,55,10820,25,2435,19,48,78,40325,67,85,37,10,308,16,16,96,4641,51,111,14,18,8,46,7575,36,52,3802,27,85,7966,460,54,203
80,96550,105,73,90,111,27790,119,40,9620,14,1907,6,29,46,36480,52,22,38,8,236,10,13,63,2236,51,59,4,11,7,52,7590,20,27,3416,13,89,4851,223,38,101
81,94709,103,71,89,131,22804,144,49,9575,29,2065,15,30,55,33446,97,58,27,14,374,14,14,108,5290,51,81,5,19,11,49,6462,31,69,2759,23,72,8779,492,46,173
82,95154,115,97,123,112,15025,89,42,6972,26,2413,23,113,60,39147,66,93,104,21,363,26,23,96,6569,72,125,12,22,15,38,6329,21,47,3597,31,104,10962,577,58,243
83,105978,135,200,198,43,2504,22,12,611,27,17664,25,299,18,17914,24,24,11,39,9462,72,12,44,1252,40,383,6,35,13,76,28395,30,42,5883,12,41,14942,494,175,3651
84,105330,106,109,130,37,475,12,13,246,34,14794,34,419,28,14492,22,34,16,54,6990,271,18,125,3718,28,295,4,20,11,131,24475,50,55,3079,17,56,28739,1422,287,3165
85,88598,87,70,105,30,600,18,16,268,45,14538,16,215,27,13182,14,39,13,36,4242,224,14,105,3167,19,181,10,31,11,86,19868,32,22,3230,8,39,19932,1023,523,5442
86,88182,59,97,112,40,627,21,22,237,55,14264,41,876,25,14286,24,58,14,59,6600,354,25,109,4938,37,283,6,24,15,110,18185,45,39,3994,15,59,17771,999,332,2278
87,87701,80,89,100,28,568,12,17,171,36,12781,35,1760,30,15369,18,53,12,66,7736,186,10,117,3724,36,210,3,24,9,91,14835,31,36,2867,6,66,20422,1032,330,3566
88,92089,141,100,153,57,1192,13,30,328,39,15794,32,459,15,14111,26,59,33,35,5268,220,15,110,4972,36,280,7,76,26,79,18559,51,38,3637,12,61,21280,944,255,2397
89,82983,82,69,115,40,750,14,20,212,21,8873,20,524,22,15241,33,84,17,59,4353,397,17,165,4565,23,248,5,18,9,96,14339,36,35,2476,13,59,23424,1144,437,3869
90,100841,240,166,263,83,5996,47,24,1465,18,7107,31,50,44,30241,77,97,27,12,1670,109,17,78,3497,62,226,13,48,15,73,15428,9,90,15632,26,71,15730,498,67,436
91,96098,225,208,231,72,4464,61,20,1201,27,7167,15,61,36,29769,63,92,26,15,1615,24,25,88,4481,68,262,10,32,7,77,17969,21,99,7726,23,85,17294,810,84,442
92,96099,102,135,144,65,4365,58,19,722,31,6938,37,75,45,24721,73,218,31,23,1829,40,25,141,9187,139,223,21,19,11,73,13553,28,143,7808,26,82,22047,1129,82,561
93,90923,155,127,187,79,5105,45,14,861,19,6067,18,34,41,26486,46,198,18,20,1608,54,32,116,6842,115,229,12,17,10,81,14213,37,93,7225,23,74,18232,816,80,449
94,103748,273,166,236,83,4957,50,13,1364,26,7622,24,89,42,32688,55,71,28,15,1449,43,30,95,4065,87,315,13,43,22,103,21764,22,86,8399,30,85,16814,691,73,514
95,135060,609,320,399,116,6304,74,21,2235,15,10323,45,116,27,44145,70,78,36,31,2387,49,42,81,2601,93,447,26,59,31,104,31707,21,125,11382,51,148,18063,603,93,517
96,124068,371,283,317,93,7560,76,22,1905,37,8716,36,79,54,41438,96,122,38,29,2068,39,42,129,5246,101,318,24,45,17,132,23297,42,117,8906,45,132,18996,958,111,627
97,118542,337,230,302,112,6421,49,22,1752,38,8439,33,76,45,38697,60,98,39,17,1444,48,26,125,5089,79,346,26,43,23,98,21853,27,135,10277,38,88,19358,776,86,492
98,117900,341,194,270,101,5976,77,23,1479,50,8616,34,73,41,35350,103,131,33,41,2140,67,38,149,7411,89,334,18,43,28,125,22810,41,164,9229,25,97,19343,858,90,531
99,103001,209,146,263,85,8277,48,22,2404,17,5156,20,180,44,37956,88,44,36,14,1328,16,19,71,3386,69,422,10,28,24,54,15106,10,90,9362,40,120,15496,522,68,461
100,90570,76,85,133,82,6152,49,21,1348,25,3516,16,41,47,32171,76,121,31,22,914,16,30,138,9404,102,221,14,20,11,80,10434,19,72,4471,69,202,17859,856,160,551
