"okrug","9.К-сть виборців, які взяли участь у голосуванні","БалашовГеннадій","БезсмертнийРоман","БогомолецьОльга","БогословськаІнна","БойкоЮрій","БондарВіктор","ВащенкоОлександр","ВілкулОлександр","ГаберМикола","ГриценкоАнатолій","ДанилюкОлександр","Дерев’янкоЮрій","ЖуравльовВасиль","ЗеленськийВолодимир","КаплінСергій","КармазінЮрій","КиваІлля","КорнацькийАркадій","КошулинськийРуслан","КривенкоВіктор","КупрійВіталій","ЛитвиненкоЮлія","ЛяшкоОлег","МорозОлександр","НаливайченкоВалентин","НасіровРоман","НовакАндрій","НосенкоСергій","ПетровВолодимир","ПорошенкоПетро","РиговановРуслан","СкоцикВіталій","СмешкоІгор","СоловйовОлександр","ТарутаСергій","ТимошенкоЮлія","ТимошенкоЮрій","ШевченкоІгор","ШевченкоОлександр"
136,108927,220,123,196,158,21021,107,45,8398,18,3562,27,73,60,50231,77,58,44,28,360,21,15,61,1755,83,121,13,23,17,62,8604,18,61,3971,13,87,7032,343,70,222
137,75299,70,49,105,90,11368,91,23,2585,22,2492,19,28,56,27283,44,95,30,12,240,8,20,123,6519,75,104,8,9,8,69,9309,18,93,1999,10,115,10188,591,67,277
138,82041,78,59,121,125,13375,92,37,2181,47,2523,17,34,56,31692,52,76,25,13,341,15,24,138,7386,111,98,12,21,8,87,8282,30,128,1592,21,212,10894,677,76,259
139,99323,142,83,152,135,20344,119,25,5310,42,2911,15,54,72,43108,73,74,22,9,326,19,16,110,3839,66,95,13,16,5,50,8259,28,51,2533,16,107,8637,495,70,235
140,111243,171,91,173,150,21464,215,36,7176,17,2800,18,47,69,51328,73,72,28,8,395,18,13,75,2971,59,114,20,16,7,68,8685,19,71,3749,31,101,8551,442,65,241
141,83244,139,67,110,124,17991,93,27,5346,26,1790,18,31,62,37171,51,74,24,10,227,13,10,99,4041,66,69,8,31,15,44,5855,26,92,2183,9,134,5374,303,74,182
142,83479,124,39,94,141,29271,173,46,3744,24,1142,8,23,79,28300,46,33,19,9,60,12,10,114,4009,147,67,13,17,4,84,7378,28,57,821,12,95,5430,375,34,105
143,77502,125,51,92,135,27920,114,31,4352,24,1309,12,40,50,26779,49,25,18,10,160,17,11,63,2000,52,55,5,13,8,47,5247,16,31,1661,20,87,5155,275,38,184
144,99215,262,178,192,92,9668,57,14,2628,19,6730,20,144,37,37698,533,75,79,9,1174,38,19,60,2468,66,231,15,37,11,42,11045,9,94,10651,25,86,12795,396,51,350
145,100059,194,137,179,85,8651,53,21,2250,34,5847,27,125,38,38235,425,98,57,13,1077,38,26,96,4462,80,208,14,28,14,54,11338,21,92,8715,30,98,14955,641,60,380
146,89868,218,114,157,96,11491,52,23,2379,16,4160,22,114,39,34086,357,33,35,10,774,24,22,82,2669,78,204,14,18,14,40,11908,23,48,7501,24,88,11046,433,72,273
147,88808,86,107,117,93,7663,69,40,1356,32,4892,19,73,45,31649,322,149,35,11,1268,72,25,117,8863,109,209,12,27,13,46,7318,23,88,6057,36,85,15518,689,77,516
148,93339,96,143,140,77,7304,68,24,1477,36,4947,16,79,35,29582,218,185,38,11,961,38,27,140,11256,121,196,14,32,11,48,9664,24,729,6413,35,82,16704,757,81,502
149,87426,90,72,109,81,7782,96,28,1556,29,3236,14,67,45,30761,639,145,28,11,822,17,19,139,8895,68,173,11,33,12,69,8690,37,71,4259,24,78,17112,793,77,420
150,92086,121,99,139,83,11314,65,28,2614,18,3985,16,92,49,34690,619,82,38,13,736,24,17,93,6185,90,209,14,19,6,60,9699,14,80,6350,22,75,12237,577,78,364
151,85107,142,120,148,88,5948,52,27,1187,34,5035,13,55,39,25463,399,199,28,28,1023,36,20,130,10754,93,198,5,26,41,48,8418,26,135,6452,37,84,16358,744,91,589
152,109447,289,329,352,77,5045,54,18,1343,30,11368,27,167,30,28683,61,113,22,26,3186,84,24,97,4209,65,731,16,55,19,107,26108,32,364,10739,20,75,12832,469,126,873
153,112678,152,150,285,109,5110,51,35,1069,53,8399,41,100,38,26687,68,95,26,25,3420,56,29,172,11187,81,489,15,54,24,150,26397,53,1336,6722,25,104,16280,879,191,1057
154,114004,178,153,242,102,4428,56,25,976,58,10487,44,83,42,23855,53,94,23,31,3584,31,38,188,11719,62,764,10,49,20,145,26634,40,126,5670,48,95,19917,1022,224,1417
155,112034,141,134,180,106,5555,70,40,1124,37,6269,39,125,61,25559,75,165,45,33,2180,53,35,292,14881,121,448,13,41,29,184,24292,54,109,3991,33,91,21095,1232,266,1450
156,103878,135,141,190,73,4229,71,34,858,49,6020,50,56,33,27802,50,107,38,37,3100,289,34,207,12590,79,534,15,47,38,157,19825,57,84,4512,36,72,18130,1055,280,1395
157,113568,196,201,188,87,8766,88,20,2903,13,7711,23,94,32,40094,149,82,30,15,909,36,25,89,3616,51,328,10,27,16,50,15616,15,80,11598,23,104,17805,584,67,441
158,105962,103,155,149,83,8458,67,24,1989,29,5785,46,176,59,36458,279,131,30,7,629,24,20,118,7849,73,304,16,26,14,60,12684,27,53,8437,28,96,18914,844,82,519
159,80182,82,123,114,111,16825,107,20,2332,27,3094,25,49,41,23174,86,114,37,11,282,85,20,107,7667,85,124,15,28,21,50,6299,22,53,4444,27,101,12497,627,58,351
160,82151,99,108,146,102,12208,75,17,2658,18,4733,19,56,37,28344,194,74,33,11,630,18,26,65,4984,76,214,13,26,10,24,6729,18,64,8595,19,76,9946,388,64,333
