"place","pop_2012","pop_2013","pop_2014","district"
"смт Неполоківці",2452,2493,2483,"Чернівецька область"
"Новоселицький район",80335,79718,79062,"Чернівецька область"
"м. Новоселиця",7841,7774,7714,"Чернівецька область"
"Путильський район",25792,25940,26102,"Чернівецька область"
"смт Путила",3343,3373,3374,"Чернівецька область"
"Сокирянський район",44569,44405,44099,"Чернівецька область"
"м. Сокиряни",9517,9462,9388,"Чернівецька область"
"Сторожинецький район",97949,98451,98842,"Чернівецька область"
"м. Сторожинець",14505,14473,14407,"Чернівецька область"
"смт Красноїльськ",9879,9950,10021,"Чернівецька область"
"Хотинський район",64505,64009,63458,"Чернівецька область"
"м. Хотин",9879,9771,9591,"Чернівецька область"
"Чернігівська область",1088509,1077802,1066826,"Чернігівська область"
"м. Чернігів",296723,296089,295670,"Чернігівська область"
"м. Ніжин",73597,73282,72869,"Чернігівська область"
"м. Прилуки",58852,58475,58202,"Чернігівська область"
"Бахмацький район",47392,46846,46228,"Чернігівська область"
"м. Бахмач",18780,18683,18604,"Чернігівська область"
"м. Батурин",2705,2716,2652,"Чернігівська область"
"смт Дмитрівка",2427,2393,2368,"Чернігівська область"
"Бобровицький район",34942,34525,34143,"Чернігівська область"
"м. Бобровиця",11280,11238,11279,"Чернігівська область"
"Борзнянський район",34507,33813,33136,"Чернігівська область"
"м. Борзна",10591,10535,10396,"Чернігівська область"
"Варвинський район",17122,16895,16749,"Чернігівська область"
"смт Варва",8419,8333,8302,"Чернігівська область"
"Городнянський район",30234,29815,29269,"Чернігівська область"
"м. Городня",12616,12558,12431,"Чернігівська область"
"Ічнянський район",33944,33377,32778,"Чернігівська область"
"м. Ічня",11706,11587,11454,"Чернігівська область"
"смт Дружба",997,1007,1013,"Чернігівська область"
"смт Парафіївка",2551,2522,2455,"Чернігівська область"
"Козелецький район",49571,48863,47956,"Чернігівська область"
"м. Остер",6289,6339,6295,"Чернігівська область"
"смт Козелець",8220,8189,8153,"Чернігівська область"
"смт Десна",7562,7570,7550,"Чернігівська область"
"Коропський район",25374,24919,24404,"Чернігівська область"
"смт Короп",5503,5486,5433,"Чернігівська область"
"смт Понорниця",2338,2309,2269,"Чернігівська область"
"Корюківський район",28458,28074,27754,"Чернігівська область"
"м. Корюківка",13268,13161,13114,"Чернігівська область"
"смт Холми",2841,2788,2760,"Чернігівська область"
"Куликівський район",18480,18134,17777,"Чернігівська область"
"смт Куликівка",5545,5534,5484,"Чернігівська область"
"Менський район",38742,38229,37712,"Чернігівська область"
"м. Мена",12346,12264,12181,"Чернігівська область"
"смт Березна",4856,4833,4807,"Чернігівська область"
"смт Макошине",2377,2363,2349,"Чернігівська область"
"Ніжинський район",29595,29108,28582,"Чернігівська область"
"смт Лосинівка",4158,4127,4082,"Чернігівська область"
"Новгород-Сіверський район",28837,28322,27903,"Чернігівська область"
"м. Новгород-Сіверський",13911,13791,13753,"Чернігівська область"
"Носівський район",31144,30705,30243,"Чернігівська область"
"м. Носівка",14120,14077,14007,"Чернігівська область"
"Прилуцький район",37683,37151,36554,"Чернігівська область"
"смт Ладан",6437,6366,6299,"Чернігівська область"
"смт Линовиця",2773,2743,2746,"Чернігівська область"
"смт Мала Дівиця",2157,2138,2095,"Чернігівська область"
"Ріпкинський район",29852,29319,28656,"Чернігівська область"
"смт Ріпки",7426,7397,7349,"Чернігівська область"
"смт Добрянка",2918,2894,2853,"Чернігівська область"
"смт Замглай",1848,1830,1804,"Чернігівська область"
"смт Любеч",2200,2175,2146,"Чернігівська область"
"смт Радуль",576,560,550,"Чернігівська область"
"Семенівський район",18974,18764,18518,"Чернігівська область"
"м. Семенівка",8507,8476,8486,"Чернігівська область"
"Сосницький район",20265,19869,19501,"Чернігівська область"
"смт Сосниця",7418,7355,7302,"Чернігівська область"
"Срібнянський район",12054,11918,11703,"Чернігівська область"
"смт Срібне",3291,3251,3232,"Чернігівська область"
"смт Дігтярі",1239,1253,1238,"Чернігівська область"
"Талалаївський район",13981,13814,13592,"Чернігівська область"
"смт Талалаївка",5077,5071,5052,"Чернігівська область"
"Чернігівський район",52978,52639,52356,"Чернігівська область"
"смт Гончарівське",3331,3388,3451,"Чернігівська область"
"смт Михайло-Коцюбинське",2951,2934,2930,"Чернігівська область"
"смт Олишівка",2029,2021,1986,"Чернігівська область"
"смт Седнів",1156,1141,1132,"Чернігівська область"
"Щорський район",25208,24857,24571,"Чернігівська область"
"м. Щорс",11506,11471,11455,"Чернігівська область"
