"District","9.К-сть виборців, які взяли участь у голосуванні","Богомолець","Бойко","Гриненко","Гриценко","Добкін","Клименко","Коновалюк","Кузьмін","Куйбіда","Ляшко","Маломуж","Порошенко","Рабінович","Саранов","Симоненко","Тимошенко","Тігіпко","Тягнибок","Цушко","Шкіряк","Ярош"
85,114558,1509,49,338,3697,57,37,22,13,101,9646,127,74599,170,6,147,20364,503,1826,13,15,601
86,145804,2536,35,588,7570,111,38,46,24,169,12251,103,91701,443,6,205,25013,618,2540,14,10,1002
87,139349,1723,36,562,5933,81,26,28,16,152,12197,148,97834,306,9,190,15470,586,2568,7,5,584
88,91145,984,45,350,4028,75,48,32,15,77,10024,89,58103,243,9,156,12543,360,2817,10,6,397
89,88612,1447,51,274,4289,126,16,52,27,29,7794,67,57426,244,5,223,13608,512,1231,14,8,555
90,87578,1220,41,287,3663,84,28,34,9,72,10181,65,50861,155,6,153,17510,345,1677,8,3,572
91,139674,2594,301,359,7279,713,27,400,93,59,15937,164,80747,1706,24,1095,21083,3141,1816,40,21,975
92,68083,1163,192,198,3215,234,16,118,35,29,6365,85,44085,670,21,386,8129,1376,719,27,19,369
93,82888,1179,306,314,4195,185,47,77,29,44,10779,110,45208,630,18,336,16065,961,1382,28,17,294
94,82163,1339,482,305,4337,270,24,110,40,68,9068,106,46754,823,24,449,14349,1250,1206,25,22,402
95,105205,1719,300,233,5097,523,27,194,64,50,8379,97,69803,1195,19,546,12289,2341,792,19,15,751
96,155050,2823,220,334,8385,652,41,346,113,77,12107,165,101330,2202,43,801,17059,3742,1684,41,24,1600
97,95216,1492,536,234,4566,374,32,192,51,47,8396,132,60919,995,15,608,11895,2203,973,29,18,661
98,138142,2508,312,306,6424,778,35,304,94,74,11931,150,88163,1721,43,973,16830,4111,1061,57,14,1035
99,129625,2408,455,413,7542,594,55,195,74,66,14190,157,77255,1414,37,878,17869,2431,1573,30,35,822
100,122421,2399,151,373,6760,1128,36,513,105,51,11746,171,70307,2571,40,1491,15811,4821,1644,40,19,741
101,81500,1692,125,485,4174,1141,65,219,44,62,11457,125,37561,1526,27,1116,16271,2968,1158,30,42,302
102,81463,1252,132,417,4311,799,52,163,66,52,12181,111,40879,1286,21,934,14232,2221,1152,36,35,294
103,93752,1697,216,537,5649,1512,66,378,72,69,9147,129,48887,1636,34,1771,14429,4483,1475,42,32,389
104,88619,1944,202,604,6418,1622,87,411,106,71,9496,159,40762,2494,28,1720,14832,4669,1077,36,30,566
114,88829,3442,338,352,6739,1494,101,246,168,131,7584,127,50230,1227,28,1561,6480,4370,1175,41,30,1548
115,36227,825,723,181,1511,3072,106,385,188,66,2422,95,12478,2283,42,1772,2652,5435,272,24,50,167
117,116383,2267,72,413,8552,313,18,174,67,121,6644,75,82685,966,14,530,8066,2233,1129,17,13,1281
118,91920,1674,25,292,6820,187,5,103,43,66,5582,58,65256,527,9,298,7045,1512,781,9,6,1006
119,83445,1714,67,266,6485,284,13,129,68,83,5341,57,57859,793,12,492,5373,1884,832,13,3,1147
120,157629,2728,72,572,11803,253,21,127,52,129,9759,96,112715,932,17,467,11491,2007,1526,18,7,1782
121,135977,2416,53,474,7319,168,27,48,28,82,10764,111,86393,427,11,336,22900,950,1800,14,13,891
122,104492,1260,39,518,6015,43,22,41,14,48,7459,92,73262,141,13,135,12844,399,979,14,8,506
123,136375,1890,73,597,7933,98,38,29,20,138,10811,120,89522,191,8,210,19789,801,2621,14,9,628
124,157820,1556,41,586,7318,65,35,30,13,126,10868,127,115996,231,9,232,16233,493,2042,11,16,873
125,132045,1684,29,354,6307,64,15,40,12,42,7955,98,99829,251,11,141,12037,438,1124,11,8,851
126,140874,1700,73,655,7590,82,31,34,21,74,10851,115,94726,189,11,193,20333,556,1975,7,7,686
127,135222,1953,63,506,8092,142,22,64,25,82,9683,94,91068,364,14,266,18516,909,1449,13,8,1035
128,151834,1884,66,437,6379,129,25,72,27,91,9012,135,110350,322,8,246,18254,709,1804,7,11,1042
129,101988,3037,307,281,4283,4605,72,1241,237,63,3698,157,45638,6578,69,4201,6453,16910,893,63,44,849
130,83051,2503,260,215,3282,4318,75,1217,170,58,2806,144,36561,5384,48,3656,5206,13944,639,55,28,547
131,83776,1956,204,376,3402,3812,110,470,212,129,5441,153,36865,4057,62,3184,10610,9815,723,50,48,320
132,62114,1464,132,228,2050,2488,94,400,168,56,3097,88,28110,3766,38,2574,6967,8005,527,43,29,261
133,72961,1765,219,415,3365,2703,78,355,135,40,4516,154,33622,4256,52,2156,8851,7817,648,42,47,382
134,68632,1252,159,280,3212,2474,56,284,88,47,5112,99,36431,1908,30,1828,7942,5498,504,58,20,267
135,85372,2389,276,147,2705,3208,59,715,226,50,2154,144,36563,4948,50,3781,4918,18798,744,429,19,770
136,83061,2371,329,184,2546,2938,67,785,225,50,2472,147,34218,5320,46,3007,7045,16664,718,388,29,730
137,81952,2537,247,163,2554,2335,46,529,208,53,3126,132,38078,4426,49,2676,4816,15380,778,391,36,1085
138,96323,2831,305,226,2869,3500,63,876,189,50,2857,165,39903,6179,69,3919,6506,20649,750,446,43,843
139,62542,1156,152,228,2012,1321,68,225,89,52,3343,129,28568,3762,42,1959,8921,8163,522,97,23,210
140,65326,1125,179,179,1423,1710,84,230,178,100,4875,118,31042,2541,42,1848,10109,7232,453,190,64,189
141,79388,2030,241,268,2649,2663,104,498,161,73,3402,144,34121,4531,61,2469,9912,12277,742,226,37,425
142,91074,2630,316,274,2969,3139,70,778,192,72,3135,157,39746,6603,71,3518,7330,15447,809,250,48,674
143,71064,2123,278,284,2152,3256,90,426,275,103,2424,179,28084,4792,67,2807,7038,12850,776,333,48,303
144,60071,884,215,204,980,5019,76,253,197,112,659,112,18278,3816,71,3487,4265,17026,794,1120,37,135
