"","deputat","partia","perc_for","votes_for","tvo","oblast","year","tvo_pres","pres_candidate","pres_perc_for","pres_votes_for"
"46","П’яних Микола Васильович","Політична партія ""Зелені""",1.08,851,3,"Автономна Республіка Крим",2012,3,NA,0,0
"47","Болтян Олександр Олексійович","політична партія Всеукраїнське об’єднання ""Свобода""",1.03,815,3,"Автономна Республіка Крим",2012,3,"Тягнибок",0.222693008819037,226
"48","Бушковський Яків Гаррієвич","Політична партія ""Держава""",0.97,766,3,"Автономна Республіка Крим",2012,3,NA,0,0
"49","Федоров Едуард Анатолійович","Народна Партія",0.94,742,3,"Автономна Республіка Крим",2012,3,"Литвин",1.29969946297482,1319
"50","Рижак Олександр Миколайович","самовисування",0.66,523,3,"Автономна Республіка Крим",2012,3,NA,0,0
"51","Гаврилюк Олена Анатоліївна","Партія ""Об’єднані ліві і селяни""",0.61,480,3,"Автономна Республіка Крим",2012,3,NA,0,0
"52","Міщенко Олександр Валентинович","Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""",0.51,407,3,"Автономна Республіка Крим",2012,3,NA,0,0
"53","Петрик Сергій Михайлович","Партія Зелених України",0.49,390,3,"Автономна Республіка Крим",2012,3,NA,0,0
"54","Кудінова Юлія Сергіївна","Партія ""Союз""",0.47,374,3,"Автономна Республіка Крим",2012,3,NA,0,0
"55","Мирочников Яков Михайлович","Молодіжна партія України",0.45,357,3,"Автономна Республіка Крим",2012,3,NA,0,0
"56","Чимпоєш Андрій Михайлович","Політична партія ""НОВА ПОЛІТИКА""",0.44,348,3,"Автономна Республіка Крим",2012,3,NA,0,0
"57","Тарасенко Олександр Георгійович","Партія ""Віче""",0.42,337,3,"Автономна Республіка Крим",2012,3,NA,0,0
"58","Дузь Вікторія Вікторівна","Політична партія ""Народна ініціатива""",0.35,279,3,"Автономна Республіка Крим",2012,3,NA,0,0
"59","Кісієва Людмила Олександрівна","самовисування",0.31,245,3,"Автономна Республіка Крим",2012,3,NA,0,0
"60","Пилипенко Віталій Федорович","Українська партія ""Зелена планета""",0.3,239,3,"Автономна Республіка Крим",2012,3,NA,0,0
"61","Денисенко Олександр Петрович","самовисування",0.26,204,3,"Автономна Республіка Крим",2012,3,NA,0,0
"62","Парасків Олег Дмитрович","Партія регіонів",34,27990,4,"Автономна Республіка Крим",2012,4,"Янукович",63.767830615861,71258
"63","Котляревський Микола Миколайович","самовисування",27.76,22856,4,"Автономна Республіка Крим",2012,4,NA,0,0
"64","Білошицький Кирило Леонідович","Комуністична партія України",7.07,5827,4,"Автономна Республіка Крим",2012,4,"Симоненко",3.7889499400426,4234
"65","Раханський Анатолій Варфоломійович","самовисування",5.67,4668,4,"Автономна Республіка Крим",2012,4,NA,0,0
"66","Шкабєрін Володимир Миколайович","самовисування",4.62,3809,4,"Автономна Республіка Крим",2012,4,NA,0,0
"67","Прадун Валентин Пантелійович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",3.97,3275,4,"Автономна Республіка Крим",2012,4,NA,0,0
"68","Гафич Ігор Васильович","політична партія Всеукраїнське об’єднання ""Батьківщина""",3.64,3003,4,"Автономна Республіка Крим",2012,4,"Тимошенко",11.3212106026166,12651
"69","Лутьєв Володимир Григорович","самовисування",3.31,2726,4,"Автономна Республіка Крим",2012,4,NA,0,0
"70","Шевцов Василь Дмитрович","Партія Наталії Королевської ""Україна – Вперед!""",1.25,1029,4,"Автономна Республіка Крим",2012,4,NA,0,0
"71","Акопова Світлана Миколаївна","Народна Екологічна партія",1.09,904,4,"Автономна Республіка Крим",2012,4,NA,0,0
"72","Виноградов Володимир Петрович","Українська партія ""Зелена планета""",0.94,781,4,"Автономна Республіка Крим",2012,4,NA,0,0
"73","Колесник Віктор Олександрович","Народна Партія",0.93,768,4,"Автономна Республіка Крим",2012,4,"Литвин",1.16693214969663,1304
"74","Кочармін Олексій Олексійович","Радикальна Партія Олега Ляшка",0.92,763,4,"Автономна Республіка Крим",2012,4,NA,0,0
"75","Шпаченко Оксана Онілівна","Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""",0.84,695,4,"Автономна Республіка Крим",2012,4,NA,0,0
"76","Яковлєв Олександр Володимирович","Політична партія України ""РУСЬ ЄДИНА""",0.83,688,4,"Автономна Республіка Крим",2012,4,NA,0,0
"77","Польченко Андрій Григорійович","Політична партія ""Зелені""",0.51,424,4,"Автономна Республіка Крим",2012,4,NA,0,0
"78","Юрченко Валентина Семенівна","Партія ""Віче""",0.45,374,4,"Автономна Республіка Крим",2012,4,NA,0,0
"79","Крачун Сергій Володимирович","самовисування",0.43,355,4,"Автономна Республіка Крим",2012,4,NA,0,0
"80","Гриб Анатолій Миколайович","Політична партія ""НОВА ПОЛІТИКА""",0.3,255,4,"Автономна Республіка Крим",2012,4,NA,0,0
"81","Дмитрієв Павло Олександрович","Політична партія ""Народна ініціатива""",0.3,253,4,"Автономна Республіка Крим",2012,4,NA,0,0
"82","Пудов Петро Петрович","Українська морська партія",0.3,250,4,"Автономна Республіка Крим",2012,4,NA,0,0
"83","Павлів Ігор Володимирович","Політична партія ""Права воля України""",0.29,243,4,"Автономна Республіка Крим",2012,4,NA,0,0
"84","Матящук Володимир Петрович","Політична партія ""Держава""",0.24,200,4,"Автономна Республіка Крим",2012,4,NA,0,0
"85","Нірський Олександр Михайлович","Партія ""Об’єднані ліві і селяни""",0.21,174,4,"Автономна Республіка Крим",2012,4,NA,0,0
"86","Лютікова Валентина Іванівна","Партія регіонів",41.81,27551,5,"Автономна Республіка Крим",2012,5,"Янукович",69.0235378097507,74455
"87","Желтенко Іван Миколайович","Комуністична партія України",19.74,13011,5,"Автономна Республіка Крим",2012,5,"Симоненко",3.84355097386645,4146
"88","Сагайдак Ілля Вадимович","політична партія Всеукраїнське об’єднання ""Батьківщина""",14.52,9566,5,"Автономна Республіка Крим",2012,5,"Тимошенко",7.85397102040438,8472
"89","Стебловський Микола Михайлович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",6.1,4023,5,"Автономна Республіка Крим",2012,5,NA,0,0
"90","Назаров Юнус Турдалієвич","самовисування",4.18,2755,5,"Автономна Республіка Крим",2012,5,NA,0,0
"91","Халік Мирослав Олександрович","самовисування",1.88,1241,5,"Автономна Республіка Крим",2012,5,NA,0,0
"92","Луцик Олександр Петрович","Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""",1.58,1045,5,"Автономна Республіка Крим",2012,5,NA,0,0
"93","Горожанкіна Валерія Валеріївна","Політична партія ""Зелені""",1.5,994,5,"Автономна Республіка Крим",2012,5,NA,0,0
"94","Максименко Євген Володимирович","самовисування",1.4,928,5,"Автономна Республіка Крим",2012,5,NA,0,0
"95","Савченко Ігор Анатолійович","Партія Зелених України",1.16,767,5,"Автономна Республіка Крим",2012,5,NA,0,0
"96","Кулганик Олександр Анатолійович","Українська партія ""Зелена планета""",1.14,754,5,"Автономна Республіка Крим",2012,5,NA,0,0
