"","deputat","partia","perc_for","votes_for","tvo","oblast","year","tvo_pres","pres_candidate","pres_perc_for","pres_votes_for"
"691","Стасюк Вячеслав Іванович","самовисування",1.15,1119,65,"Житомирська область",2012,66,NA,0,0
"692","Пелешок Алла Анатоліївна","Політична партія ""НОВА ПОЛІТИКА""",0.86,836,65,"Житомирська область",2012,66,NA,0,0
"693","Журавський Віталій Станіславович","Партія регіонів",25.07,24964,66,"Житомирська область",2012,67,"Янукович",21.2048534063548,22457
"694","Добряк Євген Дмитрович","політична партія Всеукраїнське об’єднання ""Батьківщина""",21.92,21823,66,"Житомирська область",2012,67,"Тимошенко",35.4874651810585,37583
"695","Рудченко Микола Миколайович","Народна Партія",21.15,21062,66,"Житомирська область",2012,67,"Литвин",7.2753883197205,7705
"696","Білозір Оксана Володимирівна","самовисування",12.13,12078,66,"Житомирська область",2012,67,NA,0,0
"697","Рябенко Петро Константинович","самовисування",6.01,5991,66,"Житомирська область",2012,67,NA,0,0
"698","Гречаний Сергій Анатолійович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",4.51,4495,66,"Житомирська область",2012,67,NA,0,0
"699","Іванова Світлана Олексіївна","Комуністична партія України",3.52,3510,66,"Житомирська область",2012,67,"Симоненко",3.6900996175818,3908
"700","Баранівський Олександр Петрович","самовисування",2.93,2921,66,"Житомирська область",2012,67,NA,0,0
"701","Тильчик Галина Климівна","Соціалістична партія України",1.07,1072,66,"Житомирська область",2012,67,"Мороз",0.618478825362353,655
"702","Михайлюта Олександр Олександрович","самовисування",0.75,752,66,"Житомирська область",2012,67,NA,0,0
"703","Венчагов Валентин Володимирович","самовисування",0.55,557,66,"Житомирська область",2012,67,NA,0,0
"704","Мішин Віталій Миколайович","самовисування",0.31,317,66,"Житомирська область",2012,67,NA,0,0
"705","Развадовський Віктор Йосипович","самовисування",47.79,46675,67,"Житомирська область",2012,68,NA,0,0
"706","Кізін Сидор Васильович","політична партія Всеукраїнське об’єднання ""Свобода""",22.03,21519,67,"Житомирська область",2012,68,"Тягнибок",1.30770912415287,1316
"707","Кропивницький Володимир Миколайович","Соціалістична партія України",14.8,14459,67,"Житомирська область",2012,68,"Мороз",0.644911262595147,649
"708","Довбиш Юрій Григорович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",4.53,4428,67,"Житомирська область",2012,68,NA,0,0
"709","Самчик Максим Юрійович","Партія регіонів",3.22,3152,67,"Житомирська область",2012,68,"Янукович",20.7842279945148,20916
"710","Солоп Михайло Павлович","Комуністична партія України",2.59,2536,67,"Житомирська область",2012,68,"Симоненко",2.50313015481845,2519
"711","Боровська Наталя Дмитрівна","самовисування",1.96,1919,67,"Житомирська область",2012,68,NA,0,0
"712","Козел Василь Васильович","політична партія Єдиний Центр",1.84,1800,67,"Житомирська область",2012,68,NA,0,0
"713","Грабар Іван Григорович","Партія Наталії Королевської ""Україна – Вперед!""",1.2,1176,67,"Житомирська область",2012,68,NA,0,0
"714","Ковач Василь Ілліч","Партія регіонів",31.14,30054,68,"Закарпатська область",2012,69,"Янукович",21.365540785186,20653
"715","Ратушняк Сергій Миколайович","самовисування",19.51,18827,68,"Закарпатська область",2012,69,NA,0,0
"716","Чучка Павло Павлович","самовисування",16.8,16213,68,"Закарпатська область",2012,69,NA,0,0
"717","Сербайло Андрій Андрійович","політична партія Всеукраїнське об’єднання ""Батьківщина""",12.07,11653,68,"Закарпатська область",2012,69,"Тимошенко",30.1856928567734,29179
"718","Брензович Василь Іванович","""КМКС"" Партія угорців України",7.73,7461,68,"Закарпатська область",2012,69,NA,0,0
"719","Буланов Ростислав Михайлович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",6.62,6390,68,"Закарпатська область",2012,69,NA,0,0
"720","Жолтані Микола Іванович","Партія Наталії Королевської ""Україна – Вперед!""",1.9,1842,68,"Закарпатська область",2012,69,NA,0,0
"721","Казьмірова Вікторія Василівна","Комуністична партія України",1.68,1625,68,"Закарпатська область",2012,69,"Симоненко",1.2165726995293,1176
"722","Биркович Олександр Іванович","самовисування",0.82,796,68,"Закарпатська область",2012,69,NA,0,0
"723","Завійський Богдан Богданович","самовисування",0.59,574,68,"Закарпатська область",2012,69,NA,0,0
"724","Решко Стефан Стефанович","Політична партія ""Закон і порядок""",0.51,497,68,"Закарпатська область",2012,69,NA,0,0
"725","Юрченко Валерій Володимирович","Українська партія ""Зелена планета""",0.39,378,68,"Закарпатська область",2012,69,NA,0,0
"726","Стратюк Олександр Миколайович","самовисування",0.18,181,68,"Закарпатська область",2012,69,NA,0,0
"727","Балога Віктор Іванович","політична партія Єдиний Центр",49.42,34970,69,"Закарпатська область",2012,70,NA,0,0
"728","Шутко Вячеслав Ласлович","Партія регіонів",14.2,10053,69,"Закарпатська область",2012,70,"Янукович",29.0346597178829,21839
"729","Переста Олександр Михайлович","політична партія Всеукраїнське об’єднання ""Батьківщина""",10.91,7723,69,"Закарпатська область",2012,70,"Тимошенко",24.7178164510682,18592
"730","Гулачі Гейза Людвигович","""КМКС"" Партія угорців України",10.59,7498,69,"Закарпатська область",2012,70,NA,0,0
"731","Ланьо Олександр Олександрович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",5.89,4169,69,"Закарпатська область",2012,70,NA,0,0
"732","Ленд’єл Золтан Золтанович","самовисування",4.7,3328,69,"Закарпатська область",2012,70,NA,0,0
"733","Шевченко Віктор Федорович","Комуністична партія України",2.48,1758,69,"Закарпатська область",2012,70,"Симоненко",1.365382825691,1027
"734","Ільтьо Сергій Васильович","Соціалістична партія України",1.19,846,69,"Закарпатська область",2012,70,"Мороз",1.15798290280123,871
"735","Федака Павло Павлович","Українська партія",0.57,405,69,"Закарпатська область",2012,70,NA,0,0
"736","Ланьо Михайло Іванович","Партія регіонів",60.2,59507,70,"Закарпатська область",2012,71,"Янукович",27.2005013329934,25609
"737","Кеменяш Олександр Михайлович","політична партія Всеукраїнське об’єднання ""Батьківщина""",36.07,35655,70,"Закарпатська область",2012,71,"Тимошенко",29.616883875559,27884
"738","Алексій Володимир Миколайович","Комуністична партія України",3.72,3684,70,"Закарпатська область",2012,71,"Симоненко",1.27563755324008,1201
"739","Балога Павло Іванович","політична партія Єдиний Центр",35.13,22209,71,"Закарпатська область",2012,72,NA,0,0
"740","Деркач Степан Тіберійович","Партія регіонів",34.79,21992,71,"Закарпатська область",2012,72,"Янукович",30.5542317010207,30773
"741","Лазоришинець Василь Васильович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",21.06,13317,71,"Закарпатська область",2012,72,NA,0,0
"742","Джанда Михайло Михайлович","Українська Народна Партія",4.31,2726,71,"Закарпатська область",2012,72,"Костенко",0.22836490726399,230
"743","Шімон Микола Іванович","самовисування",1.98,1253,71,"Закарпатська область",2012,72,NA,0,0
"744","Марущинець Василь Іванович","самовисування",1.8,1139,71,"Закарпатська область",2012,72,NA,0,0
"745","Тимчик Євгеній Миколайович","Комуністична партія України",0.9,574,71,"Закарпатська область",2012,72,"Симоненко",0.805234520830851,811
"746","Петьовка Василь Васильович","політична партія Єдиний Центр",54.67,33838,72,"Закарпатська область",2012,73,NA,0,0
"747","Шелевер Михайло Іванович","Партія регіонів",23.09,14296,72,"Закарпатська область",2012,73,"Янукович",32.7344360648119,30991
"748","Куцин Олег Іванович","політична партія Всеукраїнське об’єднання ""Свобода""",8.95,5542,72,"Закарпатська область",2012,73,"Тягнибок",0.973868221475801,922
"749","Дан Василь Іванович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",4.97,3080,72,"Закарпатська область",2012,73,NA,0,0
"750","Айб Володимир Іванович","самовисування",2.88,1788,72,"Закарпатська область",2012,73,NA,0,0
"751","Габор Іван Іванович","Українська Народна Партія",1.18,735,72,"Закарпатська область",2012,73,"Костенко",0.316876861651562,300
"752","Бережник Михайло Михайлович","Комуністична партія України",1.17,730,72,"Закарпатська область",2012,73,"Симоненко",0.951686841160192,901
"753","Добринський Ігор Вікторович","самовисування",1.01,627,72,"Закарпатська область",2012,73,NA,0,0
"754","Шелемба Віталій Михайлович","самовисування",0.96,595,72,"Закарпатська область",2012,73,NA,0,0
"755","Олексій Василь Іванович","Соціалістична партія України",0.82,508,72,"Закарпатська область",2012,73,"Мороз",1.22208842976952,1157
"756","Маринець Роман Андрійович","самовисування",0.24,153,72,"Закарпатська область",2012,73,NA,0,0
"757","Бушко Іван Іванович","Партія регіонів",41.22,31517,73,"Закарпатська область",2012,74,"Янукович",38.4189623652525,30472
"758","Балога Іван Іванович","політична партія Єдиний Центр",36.1,27602,73,"Закарпатська область",2012,74,NA,0,0
"759","Ковач Микола Миколайович","""КМКС"" Партія угорців України",10.41,7963,73,"Закарпатська область",2012,74,NA,0,0
"760","Петрушка Іштван Шімонович","політична партія Всеукраїнське об’єднання ""Батьківщина""",4.88,3732,73,"Закарпатська область",2012,74,"Тимошенко",20.8447330265397,16533
"761","Ленд’єл Олександра Олександрівна","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",4.61,3526,73,"Закарпатська область",2012,74,NA,0,0
"762","Кінч Габор Йожефович","самовисування",0.87,670,73,"Закарпатська область",2012,74,NA,0,0
"763","Пуканич Едуард Володимирович","самовисування",0.78,598,73,"Закарпатська область",2012,74,NA,0,0
"764","Разгулов Валерій Михайлович","Комуністична партія України",0.61,469,73,"Закарпатська область",2012,74,"Симоненко",0.945596671499716,750
"765","Сочка Микола Іванович","Народна Партія",0.49,375,73,"Закарпатська область",2012,74,"Литвин",2.22782575805333,1767
"766","Сухий Ярослав Михайлович","Партія регіонів",24.92,18252,74,"Запорізька область",2012,75,"Янукович",42.196285341221,47505
"767","Сабашук Петро Павлович","самовисування",22.76,16667,74,"Запорізька область",2012,75,NA,0,0
"768","Бабурін Олексій Васильович","Комуністична партія України",20.62,15101,74,"Запорізька область",2012,75,"Симоненко",5.19625869374051,5850
"769","Бережний Андрій Вікторович","політична партія Всеукраїнське об’єднання ""Батьківщина""",12.75,9339,74,"Запорізька область",2012,75,"Тимошенко",14.4473756672973,16265
"770","Мітасов Микола Іванович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",6.98,5111,74,"Запорізька область",2012,75,NA,0,0
"771","Сухай Юрій Борисович","самовисування",3.18,2334,74,"Запорізька область",2012,75,NA,0,0
"772","Острянський Віктор Іванович","самовисування",3.06,2242,74,"Запорізька область",2012,75,NA,0,0
"773","Зубков Петро Петрович","самовисування",2.28,1676,74,"Запорізька область",2012,75,NA,0,0
"774","Тіунов Сергій Миколайович","самовисування",1.43,1050,74,"Запорізька область",2012,75,NA,0,0
"775","Мацко Костянтин Євгенович","Партія Наталії Королевської ""Україна – Вперед!""",1.2,884,74,"Запорізька область",2012,75,NA,0,0
"776","Дунський Леонід Миколайович","самовисування",0.76,559,74,"Запорізька область",2012,75,NA,0,0
"777","Кальцев Сергій Федорович","Партія регіонів",38.4,34308,75,"Запорізька область",2012,76,"Янукович",41.7770258958702,47414
"778","Старух Олександр Васильович","політична партія Всеукраїнське об’єднання ""Батьківщина""",15.73,14056,75,"Запорізька область",2012,76,"Тимошенко",15.3084331192232,17374
"779","Василенко Богдан Юрійович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",15,13401,75,"Запорізька область",2012,76,NA,0,0
"780","Холодков Микола Петрович","Комуністична партія України",7.91,7073,75,"Запорізька область",2012,76,"Симоненко",4.72892601305807,5367
"781","Рекалов Геннадій Олександрович","самовисування",7.27,6502,75,"Запорізька область",2012,76,NA,0,0
"782","Дяченко Олександр Васильович","Соціалістична партія України",2.84,2540,75,"Запорізька область",2012,76,"Мороз",0.134810076392377,153
"783","Максимов Володимир Степанович","самовисування",2.09,1872,75,"Запорізька область",2012,76,NA,0,0
"784","Артьоменко Вікторія Вячеславівна","Партія Наталії Королевської ""Україна – Вперед!""",1.78,1594,75,"Запорізька область",2012,76,NA,0,0
"785","Савчин Богдан Васильович","самовисування",1.75,1572,75,"Запорізька область",2012,76,NA,0,0
"786","Шевченко Євгеній Володимирович","самовисування",1.46,1312,75,"Запорізька область",2012,76,NA,0,0
"787","Хотлубей Василь Григорович","Партія ""Об’єднані ліві і селяни""",1.29,1157,75,"Запорізька область",2012,76,NA,0,0
"788","Анчишкін Артур Леонідович","самовисування",1.22,1097,75,"Запорізька область",2012,76,NA,0,0
"789","Берестецька Віолета Едуардівна","політична партія ""Наша Україна""",0.95,850,75,"Запорізька область",2012,76,"Ющенко",1.11284396394491,1263
"790","Швець Володимир Станіславович","самовисування",0.63,563,75,"Запорізька область",2012,76,NA,0,0
"791","Шуманов Дмитро Леонідович","ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНА МАЙБУТНЬОГО""",0.62,557,75,"Запорізька область",2012,76,NA,0,0
"792","Федченко Віктор Іванович","самовисування",0.49,441,75,"Запорізька область",2012,76,NA,0,0
"793","Петрашин Леонід Григорович","самовисування",0.49,439,75,"Запорізька область",2012,76,NA,0,0
"794","Карташов Євген Григорович","Партія регіонів",31.59,28851,76,"Запорізька область",2012,77,"Янукович",40.6687966271965,49389
"795","Пшигоцький Сергій Володимирович","Комуністична партія України",21.21,19373,76,"Запорізька область",2012,77,"Симоненко",5.17036939444344,6279
"796","Варецький Василь Іванович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",15.31,13983,76,"Запорізька область",2012,77,NA,0,0
"797","Варданян Армен Фрунзікович","політична партія Всеукраїнське об’єднання ""Батьківщина""",14.11,12894,76,"Запорізька область",2012,77,"Тимошенко",14.9799904481151,18192
"798","Лєх Ірина Іванівна","самовисування",5.7,5211,76,"Запорізька область",2012,77,NA,0,0
"799","Зубко Ігор Владиславович","самовисування",3.28,2996,76,"Запорізька область",2012,77,NA,0,0
"800","Тимченко Артем Олегович","самовисування",2.4,2192,76,"Запорізька область",2012,77,NA,0,0
"801","Кравець Костянтин Євгенійович","Партія Наталії Королевської ""Україна – Вперед!""",2.29,2100,76,"Запорізька область",2012,77,NA,0,0
"802","Ткаченко Олег Валентинович","політична партія Конгрес Українських Націоналістів",2.23,2037,76,"Запорізька область",2012,77,NA,0,0
"803","Харламов Дмитро Вікторович","Політична партія ""Народно-трудовий союз України""",1.85,1690,76,"Запорізька область",2012,77,NA,0,0
"804","Богуслаєв Вячеслав Олександрович","Партія регіонів",50.11,38092,77,"Запорізька область",2012,78,"Янукович",45.8845723044273,38917
"805","Бабурін Олексій Олексійович","Комуністична партія України",17.78,13515,77,"Запорізька область",2012,78,"Симоненко",4.51924777456818,3833
"806","Охріменко Андрій Вячеславович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",13.82,10510,77,"Запорізька область",2012,78,NA,0,0
"807","Книш Тімур Станіславович","політична партія Всеукраїнське об’єднання ""Свобода""",12.67,9636,77,"Запорізька область",2012,78,"Тягнибок",0.545894004598243,463
"808","Мудраченко Олександр Сергійович","Партія Наталії Королевської ""Україна – Вперед!""",3.34,2541,77,"Запорізька область",2012,78,NA,0,0
"809","Кващук Ігор Святославович","політична партія ""Наша Україна""",2.25,1712,77,"Запорізька область",2012,78,"Ющенко",1.00689736485292,854
"810","Пономарьов Олександр Сергійович","самовисування",49.96,46712,78,"Запорізька область",2012,79,NA,0,0
"811","Баранов Валерій Олексійович","Народна Партія",37.86,35396,78,"Запорізька область",2012,79,"Литвин",1.47282701714245,1635
"812","Боровков Олександр Анатолійович","Комуністична партія України",7.91,7397,78,"Запорізька область",2012,79,"Симоненко",5.21930259163506,5794
"813","Кушнірюк Сергій Георгійович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",4.25,3979,78,"Запорізька область",2012,79,NA,0,0
"814","Бандуров Володимир Володимирович","Партія регіонів",55.85,52859,79,"Запорізька область",2012,80,"Янукович",55.4640573532261,68700
"815","Величко Володимир Анатолійович","Комуністична партія України",19.78,18722,79,"Запорізька область",2012,80,"Симоненко",5.02648065620358,6226
"816","Шевченко Анатолій Вікторович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",15.67,14830,79,"Запорізька область",2012,80,NA,0,0
"817","Морщавка Іван Євгенович","самовисування",6.87,6502,79,"Запорізька область",2012,80,NA,0,0
"818","Водяников Валерій Володимирович","самовисування",1.82,1723,79,"Запорізька область",2012,80,NA,0,0
"819","Балицький Євген Віталійович","Партія регіонів",54.46,42499,80,"Запорізька область",2012,81,"Янукович",63.8877794641035,71983
"820","Коротун Володимир Вікторович","самовисування",17.28,13486,80,"Запорізька область",2012,81,NA,0,0
"821","Іванкевич Олег Костянтинович","Комуністична партія України",11.73,9160,80,"Запорізька область",2012,81,"Симоненко",4.14481099839355,4670
"822","Самбур Марина Леонідівна","політична партія Всеукраїнське об’єднання ""Батьківщина""",7.35,5739,80,"Запорізька область",2012,81,"Тимошенко",6.7958924656744,7657
"823","Волков Олександр Валерійович","самовисування",3.14,2450,80,"Запорізька область",2012,81,NA,0,0
"824","Гудзь Віктор Васильович","політична партія Конгрес Українських Націоналістів",2.77,2165,80,"Запорізька область",2012,81,NA,0,0
"825","Коржилов Микола Миколайович","самовисування",2.14,1672,80,"Запорізька область",2012,81,NA,0,0
"826","Пушня Андрій Григорович","самовисування",0.64,501,80,"Запорізька область",2012,81,NA,0,0
"827","Нещадим Микола Іванович","Політична партія ""Громадянська позиція""",0.45,352,80,"Запорізька область",2012,81,NA,0,0
"828","Пшонка Артем Вікторович","Партія регіонів",65.44,62575,81,"Запорізька область",2012,82,"Янукович",59.5291221051012,69633
"829","Морозов Анатолій Петрович","Комуністична партія України",16.35,15633,81,"Запорізька область",2012,82,"Симоненко",5.70473528079129,6673
"830","Матвієнко Валерія Валеріївна","політична партія Всеукраїнське об’єднання ""Батьківщина""",12.37,11834,81,"Запорізька область",2012,82,"Тимошенко",9.83560308789208,11505
"831","Мазур Тарас Борисович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",4.6,4404,81,"Запорізька область",2012,82,NA,0,0
"832","Кирилюк Олег Павлович","самовисування",1.21,1163,81,"Запорізька область",2012,82,NA,0,0
"833","Дудка Олександр Іванович","Партія регіонів",39.87,36864,82,"Запорізька область",2012,83,"Янукович",50.3686757589089,57244
"834","Кривохатько Вадим Вікторович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",27.23,25173,82,"Запорізька область",2012,83,NA,0,0
"835","Куценко Владислав Ігорович","політична партія Всеукраїнське об’єднання ""Батьківщина""",13.11,12119,82,"Запорізька область",2012,83,"Тимошенко",15.0611526616806,17117
"836","Мараховська Вікторія Юріївна","Комуністична партія України",11.3,10450,82,"Запорізька область",2012,83,"Симоненко",5.48086229652442,6229
"837","Драніков Олександр Едуардович","самовисування",5.15,4766,82,"Запорізька область",2012,83,NA,0,0
"838","Кузьменко Олег Анатолійович","самовисування",3.31,3068,82,"Запорізька область",2012,83,NA,0,0
"839","Сич Олександр Максимович","політична партія Всеукраїнське об’єднання ""Свобода""",55.81,56247,83,"Івано-Франківська область",2012,84,"Тягнибок",7.47689676719177,9094
"840","Шевченко Олександр Леонідович","самовисування",24.64,24833,83,"Івано-Франківська область",2012,84,NA,0,0
"841","Чорноус Володимир Ярославович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",8.88,8951,83,"Івано-Франківська область",2012,84,NA,0,0
"842","Сич Олександр Володимирович","самовисування",3.95,3982,83,"Івано-Франківська область",2012,84,NA,0,0
"843","Когут Олександр Євгенович","Партія регіонів",2.37,2396,83,"Івано-Франківська область",2012,84,"Янукович",7.13158154372348,8674
"844","Міглачов Ігор Васильович","Комуністична партія України",2.1,2119,83,"Івано-Франківська область",2012,84,"Симоненко",1.37057256552767,1667
"845","Боднар Тарас Григорович","самовисування",0.9,916,83,"Івано-Франківська область",2012,84,NA,0,0
"846","Гуменюк Василь Васильович","самовисування",0.62,627,83,"Івано-Франківська область",2012,84,NA,0,0
"847","Тітов Володимир Дмитрович","самовисування",0.36,368,83,"Івано-Франківська область",2012,84,NA,0,0
"848","Валентієв Валентин Володимирович","Народно-демократична партія",0.32,326,83,"Івано-Франківська область",2012,84,"Супрун",0.404512118919986,492
"849","Купчак Володимир Романович","політична партія Всеукраїнське об’єднання ""Батьківщина""",47.41,50587,84,"Івано-Франківська область",2012,85,"Тимошенко",42.6620019036349,49752
"850","Круць Микола Федорович","самовисування",19.75,21070,84,"Івано-Франківська область",2012,85,NA,0,0
"851","Гергелюк Володимир Іванович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",8.86,9456,84,"Івано-Франківська область",2012,85,NA,0,0
"852","Симак Дмитро Михайлович","самовисування",5.55,5930,84,"Івано-Франківська область",2012,85,NA,0,0
"853","Зелінський Микола Романович","самовисування",4.88,5216,84,"Івано-Франківська область",2012,85,NA,0,0
"854","Поліш Володимир Віталійович","самовисування",4.66,4980,84,"Івано-Франківська область",2012,85,NA,0,0
"855","Волощук Ігор Іванович","Партія регіонів",2.12,2270,84,"Івано-Франківська область",2012,85,"Янукович",4.20428918100824,4903
"856","Мельник Василь Іванович","самовисування",1.4,1500,84,"Івано-Франківська область",2012,85,NA,0,0
"857","Галига Петро Степанович","самовисування",1.21,1296,84,"Івано-Франківська область",2012,85,NA,0,0
"858","Олексюк Олег Миколайович","самовисування",0.93,999,84,"Івано-Франківська область",2012,85,NA,0,0
"859","Виноградник Тарас Теофілович","Політична партія ""Зелені""",0.92,989,84,"Івано-Франківська область",2012,85,NA,0,0
"860","Круховська Галина Василівна","Комуністична партія України",0.87,929,84,"Івано-Франківська область",2012,85,"Симоненко",0.484483660466991,565
"861","Шевчук Євген Вільямович","Політична партія ""НОВА ПОЛІТИКА""",0.44,472,84,"Івано-Франківська область",2012,85,NA,0,0
"862","Людера Володимир Ярославович","самовисування",0.36,389,84,"Івано-Франківська область",2012,85,NA,0,0
"863","Фученко Василь Павлович","самовисування",0.29,311,84,"Івано-Франківська область",2012,85,NA,0,0
"864","Пилянська Марта Ігорівна","самовисування",0.26,288,84,"Івано-Франківська область",2012,85,NA,0,0
"865","Сікора Ольга Мирославівна","політична партія Всеукраїнське об’єднання ""Батьківщина""",54.61,50199,85,"Івано-Франківська область",2012,86,"Тимошенко",43.5059507774347,62984
"866","Нижник Олег Богданович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",17.68,16251,85,"Івано-Франківська область",2012,86,NA,0,0
"867","Келестин Валерій Васильович","Партія регіонів",14.84,13643,85,"Івано-Франківська область",2012,86,"Янукович",4.53129425092042,6560
"868","Питлик Василь Михайлович","політична партія ""Наша Україна""",6.52,5993,85,"Івано-Франківська область",2012,86,"Ющенко",24.5691471358214,35569
"869","Турчин Василь Васильович","самовисування",3.81,3504,85,"Івано-Франківська область",2012,86,NA,0,0
"870","Стула Володимир Михайлович","Комуністична партія України",1.63,1503,85,"Івано-Франківська область",2012,86,"Симоненко",0.47454255341194,687
"871","Федорів Тарас Федорович","Народно-демократична партія",0.89,822,85,"Івано-Франківська область",2012,86,"Супрун",0.343991545268044,498
"872","Дирів Анатолій Борисович","політична партія Всеукраїнське об’єднання ""Батьківщина""",29.02,25370,86,"Івано-Франківська область",2012,87,"Тимошенко",36.4786732632688,49843
"873","Парфан Тарас Дмитрович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",14.89,13022,86,"Івано-Франківська область",2012,87,NA,0,0
"874","Грабовецький Володимир Миколайович","самовисування",14.42,12608,86,"Івано-Франківська область",2012,87,NA,0,0
"875","Кредісов Вячеслав Анатолійович","Українська партія",9.93,8683,86,"Івано-Франківська область",2012,87,NA,0,0
"876","Брус Василь Хомич","самовисування",8.85,7742,86,"Івано-Франківська область",2012,87,NA,0,0
"877","Шкутяк Петро Зіновійович","політична партія ""Наша Україна""",5.92,5180,86,"Івано-Франківська область",2012,87,"Ющенко",31.568547088615,43134
"878","Ільницький Михайло Степанович","самовисування",3.99,3493,86,"Івано-Франківська область",2012,87,NA,0,0
"879","Гурко Володимир Анатолійович","Українська партія ""Зелена планета""",3.23,2831,86,"Івано-Франківська область",2012,87,NA,0,0
"880","Лаврів Михайло Миколайович","Політична партія ""Європейська партія України""",2.75,2411,86,"Івано-Франківська область",2012,87,NA,0,0
"881","Самілів Галина Василівна","самовисування",1.18,1035,86,"Івано-Франківська область",2012,87,NA,0,0
"882","Барчук Віктор Тимофійович","Комуністична партія України",0.82,724,86,"Івано-Франківська область",2012,87,"Симоненко",0.304458561433297,416
"883","Лукань Ігор Михайлович","Партія регіонів",0.74,647,86,"Івано-Франківська область",2012,87,"Янукович",4.22582628297081,5774
"884","Гулій Юрій Михайлович","самовисування",0.65,571,86,"Івано-Франківська область",2012,87,NA,0,0
"885","Андрусів Богдана Романівна","самовисування",0.56,497,86,"Івано-Франківська область",2012,87,NA,0,0
"886","Юринець Вадим Орестович","самовисування",0.52,456,86,"Івано-Франківська область",2012,87,NA,0,0
"887","Ліпчанський Володимир Йосифович","самовисування",0.44,392,86,"Івано-Франківська область",2012,87,NA,0,0
"888","Типусяк Андрій Миколайович","самовисування",0.42,368,86,"Івано-Франківська область",2012,87,NA,0,0
"889","Ликтей Володимир Іларійович","самовисування",0.37,330,86,"Івано-Франківська область",2012,87,NA,0,0
"890","Климбус Микола Ярославович","самовисування",0.28,252,86,"Івано-Франківська область",2012,87,NA,0,0
"891","Луцик Василь Григорович","самовисування",0.28,248,86,"Івано-Франківська область",2012,87,NA,0,0
"892","Когуч Людмила Богданівна","самовисування",0.24,212,86,"Івано-Франківська область",2012,87,NA,0,0
"893","Семенова Марина Сергіївна","самовисування",0.21,191,86,"Івано-Франківська область",2012,87,NA,0,0
"894","Тодарчук Тетяна Володимирівна","самовисування",0.17,154,86,"Івано-Франківська область",2012,87,NA,0,0
"895","Дерев’янко Юрій Богданович","самовисування",41.53,34200,87,"Івано-Франківська область",2012,88,NA,0,0
"896","Піцуряк Манолій Васильович","політична партія Всеукраїнське об’єднання ""Свобода""",38.54,31739,87,"Івано-Франківська область",2012,88,"Тягнибок",4.56331674650049,3925
"897","Онутчак Василь Васильович","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",10.92,8994,87,"Івано-Франківська область",2012,88,NA,0,0
"898","Калічко Володимир Іванович","Партія регіонів",3.04,2511,87,"Івано-Франківська область",2012,88,"Янукович",4.91326791610473,4226
"899","Мочерняк Роман Михайлович","Партія Наталії Королевської ""Україна – Вперед!""",1.03,849,87,"Івано-Франківська область",2012,88,NA,0,0
"900","Гіль Світлана Богданівна","політична партія ""Наша Україна""",0.64,535,87,"Івано-Франківська область",2012,88,"Ющенко",30.5062084360322,26239
"901","Слободян Іван Володимирович","самовисування",0.58,479,87,"Івано-Франківська область",2012,88,NA,0,0
"902","Гоголь Василь Васильович","Народно-демократична партія",0.52,436,87,"Івано-Франківська область",2012,88,"Супрун",0.896386550713854,771
"903","Богославець Руслана Юріївна","самовисування",0.44,366,87,"Івано-Франківська область",2012,88,NA,0,0
"904","Жавранков Віталій Вячеславович","Комуністична партія України",0.43,359,87,"Івано-Франківська область",2012,88,"Симоненко",0.299958145375064,258
"905","Хопта Володимир Іванович","самовисування",0.41,340,87,"Івано-Франківська область",2012,88,NA,0,0
"906","Пришляк Тетяна Іванівна","самовисування",0.4,334,87,"Івано-Франківська область",2012,88,NA,0,0
"907","Гриньків Тетяна Михайлівна","самовисування",0.4,333,87,"Івано-Франківська область",2012,88,NA,0,0
"908","Черноволенко Олександр Миколайович","самовисування",0.3,253,87,"Івано-Франківська область",2012,88,NA,0,0
