"Прізвище, ім'я та по батькові кандидата в депутати","Основні відомості","Висування","Передвиборна програма","Декларація","Дата реєстрації кандидатом","Дата та підстава скасування реєстрації кандидата","tvo"
"ПоповРоман Валентинович","народився 29 травня 1977 року в місті Стаханов Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Стаханов Луганської області, судимість відсутня, самовисування.","Самовисування","","","16.08.2012","","51"
"П’ятькоРоман Анатолійович","народився 3 вересня 1977 року в місті Миргород Полтавської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Миргород Полтавської області, судимість відсутня, самовисування.","Самовисування","","","14.08.2012","","51"
"ЧерненкоВіталій Григорович","народився 11 лютого 1945 року в селі Дмитрівка Никифорівського району Тамбовської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, консультант, Міжнародний фонд допомоги хворим з наслідками травм та захворювань, безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – Соціалістична партія України.","Соціалістична партія України","","","17.08.2012","","51"
"ШилоВіталій Олександрович","народився 10 сiчня 1965 року в місті Харкові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, президент, ТОВ ""Харківський завод будівельних та оздоблювальних матеріалів ""Тим-Колор"", безпартійний, проживає в місті Харкові, судимість відсутня, самовисування.","Самовисування","","","14.08.2012","","51"
"ДругашовДмитро Олександрович","народився 6 серпня 1970 року в місті Дебальцеве Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, приватний підприємець, член Народної Партії, проживає в місті Дебальцеве Донецької області, судимість відсутня, суб’єкт висування – Народна Партія.","Народна Партія","","","03.08.2012","","52"
"ЖмуркоАндрій Анатолійович","народився 3 серпня 1977 року в місті Горлівка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник начальника з організаційних питань, комунальне підприємство ""Трамвайно-тролейбусне управління Горлівської міської ради"", член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", проживає в місті Горлівка Донецької області, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","","52"
"ПоддубнийВолодимир Анатолійович","народився 17 вересня 1972 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, засновник та директор, ТОВ ""АВ-Консалтинг"", безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","03.08.2012","","52"
"ПодколзінТимур Сергійович","народився 7 серпня 1984 року в місті Прилуки Чернігівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, помічник-консультант народного депутата України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","13.08.2012","","52"
"ПоповВасиль Миколайович","народився 27 лютого 1977 року в селищі Ізварине міста Краснодон Луганської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта базова вища, приватний підприємець, безпартійний, проживає в селі Красний Луч  Слов’яносербського району Луганської області, судимість відсутня, самовисування.","Самовисування","","","14.08.2012","","52"
"ПроценкоВолодимир Васильович","народився 10 квiтня 1957 року в місті Дебальцеве Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Дебальцевський міський голова, член Комуністичної партії України, проживає в місті Дебальцеве Донецької області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","","03.08.2012","","52"
"РибакВолодимир Іванович","народився 30 листопада 1971 року в місті Горлівка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член політичної партії Всеукраїнське об'єднання ""Батьківщина"", проживає в місті Горлівка Донецької області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об'єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","","08.08.2012","","52"
"РижковАнатолій Іванович","народився 16 лютого 1950 року в місті Алма-Ата, Казахстан, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, спільне підприємство ""Рида"", член Соціалістичної партії України, проживає в місті Дзержинськ Донецької області, судимість відсутня, суб’єкт висування – Соціалістична партія України.","Соціалістична партія України","","","17.08.2012","","52"
"ШкиряВіктор Михайлович","народився 11 травня 1975 року в селі Олександрівка Гребінківського району Полтавської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, слюсар з обслуговування та ремонту газового обладнання та устаткування, ВО ""Дзержинськтепломережа"", безпартійний, проживає в місті Дзержинськ Донецької області, судимість відсутня, самовисування.","Самовисування","","","16.08.2012","18.08.2012звернення із заявою про відмову балотуватися","52"
"ШкиряОксана Володимирівна","народилася 13 серпня 1974 року в селищі Щербинівка міста Дзержинськ Донецької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, тимчасово не працює, безпартійнa, проживає в місті Дзержинськ Донецької області, судимість відсутня, самовисування.","Самовисування","","","16.08.2012","18.08.2012звернення із заявою про відмову балотуватися","52"
"ШкіряІгор Миколайович","народився 20 серпня 1965 року в селищі Новгородське міста Дзержинськ Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член Партії регіонів, проживає в місті Донецьку, судимість відсутня, суб’єкт висування – Партія регіонів.","Партія регіонів","","","07.08.2012","","52"
"ВолошинГеннадій Якович","народився 3 травня 1959 року в місті Макіївка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", проживає в місті Донецьку, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","","53"
"ЛитвиновЛеонід Федорович","народився 7 липня 1944 року в селищі Терновате Кривоозерського району Миколаївської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член Партії регіонів, проживає в місті Єнакієве Донецької області, судимість відсутня, суб’єкт висування – Партія регіонів.","Партія регіонів","","","07.08.2012","","53"
"СлавгородськийІгор Васильович","народився 3 червня 1963 року в місті Горлівка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, дільничний гірничий нормувальник, ДВАТ ""Шахтопрохідницьке управління №10"", член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Горлівка Донецької області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".","політична партія Всеукраїнське об’єднання ""Свобода""","","","10.08.2012","","53"
"СтужукМикола Олександрович","народився 3 сiчня 1947 року в місті Малий Дівлін Лугинського району Житомирської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора, шахта СП ""Ольховатка"", член Комуністичної партії України, проживає в місті Єнакієве Донецької області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","","03.08.2012","","53"
"ВолинецьЄвгеній Валерійович","народився 5 березня 1978 року в місті Шахтарськ Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта базова вища, народний депутат України, Верховна Рада України, член Комуністичної партії України, проживає в смт Стіжківське міста Шахтарськ Донецької області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","","03.08.2012","","54"
"ДоренськийОлександр Миколайович","народився 17 серпня 1973 року в місті Донецьку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Донецьку, судимість відсутня, самовисування.","Самовисування","","","13.08.2012","17.09.2012звернення із заявою про відмову балотуватися","54"
"ЗдорКостянтин Семенович","народився 11 грудня 1952 року в місті Шахтарськ Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, інформаційно-юридична фірма ""Легіон"", член Української Народної Партії, проживає в місті Донецьку, судимість відсутня, суб’єкт висування – Українська Народна Партія.","Українська Народна Партія","","","13.08.2012","","54"
"КотовПавло Володимирович","народився 1 листопада 1968 року в селі Московське Новоусманського району Воронезької області, Росія, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, консультант із суспільно-політичних питань, Громадська організація ""ФРОНТ ЗМІН"", безпартійний, проживає в селі Калинове Амвросіївського району Донецької області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","","08.08.2012","16.10.2012звернення партії про скасування реєстрації","54"
"КушніровОлександр Леонідович","народився 9 жовтня 1971 року в місті Торез Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, приватний підприємець, член партії ""Руський блок"", проживає в місті Шахтарськ Донецької області, судимість відсутня, суб’єкт висування – Партія ""Руський блок"".","Партія ""Руський блок""","","","17.08.2012","","54"
"Лук’яновВладислав Валентинович","народився 21 лютого 1964 року в місті Костянтинівка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член Партії регіонів, проживає в місті Донецьку, судимість відсутня, суб’єкт висування – Партія регіонів.","Партія регіонів","","","07.08.2012","","54"
"ПівеньМикола Іванович","народився 29 травня 1949 року в місті Торез Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, сільськогосподарське ТОВ імені 118-ти, безпартійний, проживає в смт Нижня Кринка Совєтського району міста Макіївка Донецької області, судимість відсутня, суб’єкт висування – Соціалістична партія України.","Соціалістична партія України","","","17.08.2012","","54"
"ПодорожкоЄвген Сергійович","народився 22 травня 1986 року в місті Харцизьк Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник, ТОВ ""Донецький завод ПТО"", член Політичної партії ""НОВА ПОЛІТИКА"", проживає в місті Харцизьк Донецької області, судимість відсутня, суб’єкт висування – Політична партія ""НОВА ПОЛІТИКА"".","Політична партія ""НОВА ПОЛІТИКА""","","","14.08.2012","","54"
"РоманченкоОлексій Віталійович","народився 18 серпня 1982 року в місті Макіївка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, охоронець, ДП ""Макіїввугілля"", член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", проживає в місті Харцизьк Донецької області, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","","54"
"БєліковЮрій Миколайович","народився 29 вересня 1967 року в місті Макіївка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""ЦСБУ-ОХОРОНА"", безпартійний, проживає в смт Коцюбинське міста Ірпінь Київської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","","08.08.2012","","55"
"КисельовЮрій Анатолійович","народився 29 липня 1976 року в місті Макіївка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, тимчасово не працює, безпартійний, проживає в місті Донецьку, судимість відсутня, самовисування.","Самовисування","","","03.08.2012","","55"
"ЛожечкінВадим Сергійович","народився 12 липня 1984 року в місті Макіївка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, менеджер, ТОВ ""АСИ-ОЙЛ"", член Комуністичної партії України, проживає в місті Макіївка Донецької області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","","03.08.2012","","55"
"НагорнийТимофій Олександрович","народився 31 липня 1969 року в місті Макіївка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Макіївка Донецької області, судимість відсутня, самовисування.","Самовисування","","","16.08.2012","","55"
"НовиковСтаніслав Олегович","народився 24 сiчня 1989 року в місті Горлівка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, студент, член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", проживає в місті Горлівка Донецької області, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","","55"
"ОмельченкоВалерій Павлович","народився 4 жовтня 1980 року в місті Донецьку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора, ТОВ ""Науково-виробниче об’єднання ""Енергометан"", член Партії регіонів, проживає в місті Донецьку, судимість відсутня, суб’єкт висування – Партія регіонів.","Партія регіонів","","","07.08.2012","","55"
"БакулінаНаталія Василівна","народилася 25 вересня 1986 року в місті Макіївка Донецької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, керівник секретаріату, Макіївська міська організація Народної Партії, член Народної Партії, проживає в місті Макіївка Донецької області, судимість відсутня, суб’єкт висування – Народна Партія.","Народна Партія","","","03.08.2012","","56"
"БортВіталій Петрович","народився 1 вересня 1972 року в місті Донецьку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член Партії регіонів, проживає в місті Макіївка Донецької області, судимість відсутня, суб’єкт висування – Партія регіонів.","Партія регіонів","","","07.08.2012","","56"
"МолоковДенис Геннадійович","народився 27 листопада 1985 року в місті Макіївка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший секретар Центрально-Міського районного комітету Компартії України міста Макіївки, член Комуністичної партії України, проживає в місті Донецьку, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","","03.08.2012","","56"
"НаумовОлександр Олександрович","народився 12 березня 1972 року в місті Макіївка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, кореспондент, телеканал СТБ, безпартійний, проживає в місті Макіївка Донецької області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","","08.08.2012","","56"
"НоваковськийІван Сергійович","народився 9 лютого 1984 року в місті Краснодарі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник начальника основного виробництва, ВАТ ЦЗФ ""Пролетарська"", член політичної партії ""Народна партія вкладників та соціального захисту"", проживає в місті Макіївка Донецької області, судимість відсутня, самовисування.","Самовисування","","","13.08.2012","","56"
"ПолівановОлег Олександрович","народився 7 березня 1984 року в місті Макіївка Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""Дана"", безпартійний, проживає в місті Макіївка Донецької області, судимість відсутня, суб’єкт висування – Партія Наталії Королевської – ""Україна – Вперед!"".","Партія Наталії Королевської ""Україна – Вперед!""","","","11.08.2012","","56"
"ТкачукЛариса Віталіївна","народилася 4 вересня 1964 року в місті Кадіївка Луганської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор з розвитку, ТОВ ""Український медичний експертний центр"", член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", проживає в місті Макіївка Донецької області, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","","56"
"АсєєвІгор Анатолійович","народився 12 грудня 1971 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","","57"
"ЗабавінДмитро В’ячеславович","народився 6 лютого 1991 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, юрисконсульт, Приазовська колегія адвокатів, безпартійний, проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – Партія Наталії Королевської – ""Україна – Вперед!"".","Партія Наталії Королевської ""Україна – Вперед!""","","","11.08.2012","","57"
"МатвієнковСергій Анатолійович","народився 16 листопада 1957 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник генерального директора – головний інженер, ПАТ ""ММК імені Ілліча"", безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – Партія регіонів.","Партія регіонів","","","07.08.2012","","57"
"МорозАнатолій Михайлович","народився 9 листопада 1948 року в селі Старомихайлівка Мар’їнського району Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, дитячий лікар, міська психіатрична лікарня № 7 міста Маріуполя, безпартійний, проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – політична партія ""Наша Україна"".","політична партія ""Наша Україна""","","","15.08.2012","","57"
"ПуговкінДмитро Юрійович","народився 4 сiчня 1985 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, кореспондент, газета ""Приазовская правда"", член Комуністичної партії України, проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","","03.08.2012","","57"
"РоманюкОлександр Володимирович","народився 2 лютого 1970 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, консультант із суспільно-політичних питань, Громадська організація ""ФРОНТ ЗМІН"", безпартійний, проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","","08.08.2012","","57"
"ЩербаковСергій Андрійович","народився 30 квiтня 1957 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, фонд імені А.І.Куїнджі, член Народної Партії, проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – Народна Партія.","Народна Партія","","","03.08.2012","","57"
"ЯременкоМикола Дмитрович","народився 22 серпня 1960 року в селі Дептівка Конотопського району Сумської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник ремонтно-будівельного управління, Маріупольський морський торгівельний порт, член Соціалістичної партії України, проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – Соціалістична партія України.","Соціалістична партія України","","","17.08.2012","","57"
"АсєєвОлег Анатолійович","народився 12 грудня 1971 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""СОГДІАНА-ЕКСПЕРТ"", член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","","58"
"БілийОлексій Петрович","народився 1 травня 1961 року в селі Кам’янка Апостоловського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член Партії регіонів, проживає в місті Києві, судимість відсутня, суб’єкт висування – Партія регіонів.","Партія регіонів","","","07.08.2012","","58"
"ГудзюкСергій Степанович","народився 17 лютого 1969 року в місті Луцьку Волинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора, ТОВ ""Уніком"", безпартійний, проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – Соціалістична партія України.","Соціалістична партія України","","","17.08.2012","","58"
"ДейнєсВіталій Геннадійович","народився 24 сiчня 1975 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший секретар Маріупольського міського комітету Компартії України, член Комуністичної партії України, проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","","03.08.2012","","58"
"КонишевГеннадій Аркадійович","народився 13 березня 1957 року в місті Уяр Уярського району Красноярського краю, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, президент, Приазовська асоціація адвокатів України, член Народної Партії, проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – Народна Партія.","Народна Партія","","","03.08.2012","","58"
"КрасновськийСергій Борисович","народився 30 травня 1967 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник, юридичне агентство, безпартійний, проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – Партія Наталії Королевської – ""Україна – Вперед!"".","Партія Наталії Королевської ""Україна – Вперед!""","","","11.08.2012","","58"
"РешетнякІгор Миколайович","народився 14 квiтня 1963 року в місті Маріуполь Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, консультант із суспільно-політичних питань, Громадська організація ""ФРОНТ ЗМІН"", безпартійний, проживає в місті Маріуполь Донецької області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""","","","08.08.2012","","58"
