"Прізвище, ім'я та по батькові кандидата в депутати","Основні відомості","Висування","Передвиборна програма","Декларація","Дата реєстрації кандидатом","Дата та підстава скасування реєстрації кандидата","tvo"
"СоломахінОлег Андрійович","народився 24 червня 1960 року в місті Херсоні, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, помічник-консультант народного депутата України, член Комуністичної партії України, проживає в місті Сімферополі, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","","03.08.2012","","1"
"ТолкачовВолодимир Володимирович","народився 15 листопада 1964 року в місті Сімферополі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник генерального директора, ТОВ ""Сатурн Дістрибьюшн"", безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Партія Наталії Королевської – ""Україна – Вперед!"".","Партія Наталії Королевської ""Україна – Вперед!""","","","11.08.2012","","1"
"ФесенкоСергій Вікторович","народився 6 лютого 1980 року в місті Сімферополі Автономної Республіки Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, приватний підприємець, безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Українська морська партія.","Українська морська партія","","","11.08.2012","","1"
"ЧолакВіктор Петрович","народився 27 серпня 1991 року в селі Дмитрівка Болградського району Одеської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","Самовисування","","","14.08.2012","","1"
"АксьоноваНадія Вікторівна","народилася 12 серпня 1977 року в місті Сімферополі, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійнa, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Українська партія ""Зелена планета"".","Українська партія ""Зелена планета""","","","14.08.2012","","2"
"АндрєєваЯна Сергіївна","народилася 10 грудня 1980 року в смт Овідіополь Одеської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор, Кримське міжрегіональне управління роздрібного бізнесу ВАТ ""Ерсте Банк"", безпартійнa, проживає в смт Овідіополь Одеської області, судимість відсутня, суб’єкт висування – Партія Зелених України.","Партія Зелених України","","","13.08.2012","","2"
"БаталінОлександр Сергійович","народився 29 липня 1946 року в місті Єманжелинськ Челябинської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова правління, ПАТ ""Завод ""Фіолент"", член Партії регіонів, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Партія регіонів.","Партія регіонів","","","07.08.2012","04.10.2012звернення із заявою про відмову балотуватися","2"
"БеловДмитро Юрійович","народився 27 лютого 1981 року в місті Сімферополі Автономної Республіки Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник відділу продажів, Кримське управління акціонерного товариства ""Ерсте Банк"", безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Українська морська партія.","Українська морська партія","","","11.08.2012","","2"
"ГордієнкоСергій Володимирович","народився 8 червня 1969 року в місті Сімферополі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор Кримського регіонального корпоративного центру, ВАТ ""Ерсте Банк"", безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія ""Зелені"".","Політична партія ""Зелені""","","","08.08.2012","","2"
"ГоренкінВалерій Анатолійович","народився 11 березня 1974 року в місті Бельци, Молдова, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший проректор, Кримський університет мистецтв, культури і туризму, безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Партія ""Віче"".","Партія ""Віче""","","","07.08.2012","","2"
"ДжеляловНариман Енверович","народився 27 квiтня 1980 року в місті Навої Бухарської області Узбецької РСР, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, вчитель історії і правознавства, ДП НВК ""Сімферопольська міжнародна школа"", безпартійний, проживає в селі Первомайське Сімферопольського району Автономної Республіки Крим, судимість відсутня, самовисування.","Самовисування","","","14.08.2012","15.10.2012звернення із заявою про відмову балотуватися","2"
"ЗолотарьовПавло Олександрович","народився 16 жовтня 1981 року в місті Запоріжжі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Партії ""Об’єднані ліві і селяни"", проживає в смт Степногірськ Василівського району Запорізької області, судимість відсутня, суб’єкт висування – Партія ""Об’єднані ліві і селяни"".","Партія ""Об’єднані ліві і селяни""","","","13.08.2012","","2"
"КалюбінЮрій Олексійович","народився 22 лютого 1986 року в місті Сімферополь Кримської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник генерального директора, ПП ""АІС"", член Політичної партії ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"", проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"".","Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""","","","09.08.2012","","2"
"КіскінСтепан Степанович","народився 8 квiтня 1962 року в селищі Первомайське Первомайського району Автономної Республіки Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Комуністичної партії України, проживає в місті Сімферополі, судимість відсутня, суб’єкт висування – Комуністична партія України.","Комуністична партія України","","","03.08.2012","","2"
"КуценкоСергій Володимирович","народився 31 липня 1984 року в селищі Білий Колодязь Вовчанського району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – Молодіжна партія України.","Молодіжна партія України","","","06.08.2012","","2"
"ЛосьАнатолій Миколайович","народився 19 травня 1940 року в станиці Тверська Апшеронського району Краснодарського краю, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Політична партія України ""РУСЬ ЄДИНА"".","Політична партія України ""РУСЬ ЄДИНА""","","","10.08.2012","","2"
"МиримськийЛев Юлійович","народився 2 квiтня 1960 року в місті Сімферополі Автономної Республіки Крим, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова Партії ""Союз"", член Партії ""Союз"", проживає в місті Сімферополі Автономної Республіки Крим, судимість відсутня, суб’єкт висування – Партія ""Союз"".","Партія ""Союз""","","","10.08.2012","","2"
