"id","deputat","tvo","winner","factions_text","party_name","anketa_data","proposed","prediction_150","year","convocation","previous","ever","anketa_url","fraction"
18120,"Мацола Роман Миколайович",190,1,NA,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","народився 11 серпня 1974 року в селі Грушеве Тячівського району Закарпатської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Олмар"", член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"", проживає в місті Львові, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","самовисування",0.594764649868011,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/18120","Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
15826,"Бондар Віктор Васильович",191,1,NA,"Безпартійний","народився 5 листопада 1975 року в місті Ленінград, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в селі Дашківці Віньковецького району Хмельницької області, судимість відсутня, самовисування.","самовисування",0.584212064743042,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/15826","Співголова депутатської групи ""Партія ""Відродження"""
15827,"Герега Олександр Володимирович",192,1,NA,"Безпартійний","народився 27 червня 1967 року в місті Городок Хмельницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Городок Хмельницької області, судимість відсутня, самовисування.","самовисування",0.74315083026886,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/15827",NA
15828,"Мельниченко Володимир Володимирович",193,1,NA,"Безпартійний","народився 1 лютого 1965 року в місті Кам'янець-Подільський Хмельницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Кам’янець-Подільський Хмельницької області, судимість відсутня, самовисування.","самовисування",0.654771745204926,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/15828","Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
15829,"Бобов Геннадій Борисович",196,1,NA,"Безпартійний","народився 15 листопада 1965 року в місті Васильків Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в селі Селище Корсунь-Шевченківського району Черкаської області, судимість відсутня, самовисування.","самовисування",0.77345883846283,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/15829","Член депутатської групи ""Партія ""Відродження"""
8238,"Голуб Владислав Володимирович",197,1,NA,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""","народився 22 квiтня 1983 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови, громадська організація ""Форум розвитку Черкащини"", член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"", проживає в місті Києві, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".","самовисування",0.712386310100555,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/8238",NA
16430,"Рудик Сергій Ярославович",198,1,NA,"Політична партія Всеукраїнське об'єднання ""Свобода""","народився 11 жовтня 1970 року в місті Чернівцях, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Державне агентство земельних ресурсів України, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Києві, судимість відсутня, самовисування.","самовисування",0.660936057567596,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/16430","Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
15830,"Ничипоренко Валентин Миколайович",199,1,NA,"Безпартійний","народився 25 лютого 1961 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Жашків Черкаської області, судимість відсутня, самовисування.","самовисування",0.633417725563049,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/15830",NA
17976,"Заліщук Світлана Петрівна",199,0,NA,"Безпартійний","народилася 24 жовтня 1982 року, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, виконавчий директор, громадська організація ""Центр ЮЕЙ"", безпартійнa, проживає в місті Києві, судимість відсутня, включена до виборчого списку під № 18.","самовисування",0.361724227666855,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/17976",NA
4339,"Яценко Антон Володимирович",200,1,NA,"Безпартійний","народився 13 липня 1977 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, голова підкомітету Комітету Верховної Ради України з питань фінансів і банківської діяльності, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.","самовисування",0.723279476165771,2019,8,TRUE,TRUE,"http://itd.rada.gov.ua/mps/info/page/4339","Член депутатської групи ""Партія ""Відродження"""
