deputat,tvo,winner,likelihood,proposed,fraction,age,gender,spread,proposed_full
Дехтярчук Олександр Володимирович,154,NA,0.496771402875411,самовисування,партії блок петра порошенка,48,M,0.107395412636813,самовисування
Луценко Ігор Вікторович,154,NA,0.389375990238597,ВОБ,політичної партії всеукраїнське обєднання батьківщина у верховній раді україни,41,M,0,політична партія всеукраїнське обєднання батьківщина
Аліксійчук Олександр Васильович,154,NA,0.0925943417757681,СН,NA,38,M,-0.296781648462829,політична партія слуга народу
Яніцький Василь Петрович,155,NA,0.51870776584938,самовисування,партії блок петра порошенка,46,M,0.123101374070531,самовисування
Войціцька Вікторія Михайлівна,155,NA,0.395606391778849,Голос,політичної партії обєднання самопоміч,45,F,0,політична партія голос
Рашовський Володимир Володимирович,155,NA,0.0674798274024748,СН,NA,45,M,-0.328126564376374,політична партія слуга народу
Литвиненко Сергій Анатолійович,156,NA,0.597114948360626,СН,NA,51,M,0.444041544790139,політична партія слуга народу
Данильчук Олександр Юрійович,156,NA,0.153073403570487,самовисування,NA,60,M,0,самовисування
Пехотін Андрій Васильович,156,NA,0.108656479469025,Голос,NA,32,M,-0.0444169241014623,політична партія голос
Медуниця Олег Вячеславович,157,NA,0.49643170061723,самовисування,політичної партії народний фронт,48,M,0.126123336497947,самовисування
Рябуха Тетяна Василівна,157,NA,0.370308364119283,СН,NA,35,F,0,політична партія слуга народу
Чмирь Юрій Павлович,157,NA,0.0582737101739592,самовисування,NA,47,M,-0.312034653945323,самовисування
Сугоняко Олександр Леонідович,158,NA,0.46857939450278,самовисування,партії блок петра порошенка,61,M,0.0107142092016681,самовисування
Васильєв Ігор Сергійович,158,NA,0.457865185301112,СН,NA,35,M,0,політична партія слуга народу
Оскер Олексій Генріхович,158,NA,0.0388034676103224,самовисування,NA,34,M,-0.41906171769079,самовисування
Деркач Андрій Леонідович,159,NA,0.634664894962945,самовисування,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",52,M,0.349017487063902,самовисування
Шевченко Дмитро Станіславович СН,159,NA,0.285647407899043,СН,NA,42,M,0,політична партія слуга народу
Козлов Роман Євгенович,159,NA,0.0348497536793226,Other,NA,37,M,-0.25079765421972,політична партія удар український демократичний альянс за реформи віталія кличка
Молоток Ігор Федорович,160,NA,0.554816910958264,самовисування,воля народу,52,M,0.145223010085507,самовисування
Сахнюк Тетяна Володимирівна,160,NA,0.409593900872758,СН,NA,23,F,0,політична партія слуга народу
Бондаренко Ярослав Володимирович,160,NA,0.0142282579432202,самовисування,NA,41,M,-0.395365642929537,самовисування
Гузенко Максим Васильович,161,NA,0.484639442779782,СН,NA,38,M,0.254824427453568,політична партія слуга народу
Свирид Анатолій Олексійович,161,NA,0.229815015326214,самовисування,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",41,M,0,самовисування
Пашко Олександр Сергійович,161,NA,0.158769774781351,самовисування,NA,34,M,-0.071045240544863,самовисування
Задорожній Микола Миколайович,162,NA,0.817376417940024,СН,NA,35,M,0.744427555883787,політична партія слуга народу
Лозовий Іван Іванович,162,NA,0.0729488620562378,самовисування,NA,58,M,0,самовисування
Рибалко Андрій Петрович,162,NA,0.0664481923968232,самовисування,NA,31,M,-0.00650066965941461,самовисування
Барна Степан Степанович,163,NA,0.430482501228971,ЄС,NA,40,M,0.158605081890508,політична партія європейська солідарність
Пастух Тарас Тимофійович,163,NA,0.271877419338463,Other,політичної партії обєднання самопоміч,41,M,0,політична партія обєднання самопоміч
Побер Ігор Миколайович,163,NA,0.133524553614867,Other,партії блок петра порошенка,51,M,-0.138352865723596,політична партія удар український демократичний альянс за реформи віталія кличка
Головко Михайло Йосифович,164,NA,0.548291860176806,Свобода,NA,36,M,0.247932699545475,політична партія всеукраїнське обєднання свобода
Василів Ігор Володимирович,164,NA,0.300359160631331,СН,NA,40,M,0,політична партія слуга народу
Чоботарь Валерій Георгійович,164,NA,0.0668776723476849,ЄС,NA,43,M,-0.233481488283646,політична партія європейська солідарність
Юрик Тарас Зіновійович,165,NA,0.654297162381903,ЄС,партії блок петра порошенка,39,M,0.453360870383299,політична партія європейська солідарність
Репела Петро Йосипович,165,NA,0.200936291998603,ВОБ,NA,49,M,0,політична партія всеукраїнське обєднання батьківщина
Кісілевич Володимир Володимирович,165,NA,0.105621354767368,СН,NA,25,M,-0.0953149372312351,політична партія слуга народу
Люшняк Микола Володимирович,166,NA,0.690555203265574,самовисування,партії блок петра порошенка,45,M,0.570531056431243,самовисування
Сопель Ігор Михайлович,166,NA,0.120024146834331,СН,NA,45,M,0,політична партія слуга народу
Бліхар Володимир Васильович,166,NA,0.102667706575747,ВОБ,NA,40,M,-0.0173564402585841,політична партія всеукраїнське обєднання батьківщина
Барна Олег Степанович,167,NA,0.708904422511172,ЄС,партії блок петра порошенка,52,M,0.589769354785194,політична партія європейська солідарність
Сиротюк Олег Мирославович,167,NA,0.119135067725978,Свобода,NA,41,M,0,політична партія всеукраїнське обєднання свобода
Гевко Володимир Леонідович,167,NA,0.0981532585362861,СН,NA,44,M,-0.020981809189692,політична партія слуга народу
Писаренко Валерій Володимирович,168,NA,0.597583788173868,самовисування,партія відродження,39,M,0.238667569285182,самовисування
Мезенцева Марія Сергіївна,168,NA,0.358916218888686,СН,NA,30,F,0,політична партія слуга народу
Семиноженко Володимир Петрович,168,NA,0.0294680253495276,самовисування,NA,69,M,-0.329448193539159,самовисування
Грановський Олександр Михайлович,169,NA,0.368786508922455,самовисування,партії блок петра порошенка,40,M,0.0372632815041382,самовисування
Кірш Олександр Вікторович,169,NA,0.331523227418316,самовисування,політичної партії народний фронт,58,M,0,самовисування
Куницький Олександр Олегович,169,NA,0.282824108764602,СН,NA,36,M,-0.0486991186537148,політична партія слуга народу
Одарченко Андрій Миколайович,170,NA,0.48958422932122,СН,NA,41,M,0.00455379625411184,політична партія слуга народу
Святаш Дмитро Володимирович,170,NA,0.485030433067108,ОПЗЖ,партія відродження,48,M,0,політична партія опозиційна платформа за життя
