deputat,tvo,winner,likelihood,proposed,fraction,age,gender,spread,proposed_full
Сташук Віталій Филимонович,212,NA,0.638707978631671,самовисування,політичної партії народний фронт,47,M,0.421839676963685,самовисування
Перебийніс Максим Вікторович,212,NA,0.216868301667986,СН,NA,45,M,0,політична партія слуга народу
Задерейко Андрій Іванович,212,NA,0.0724696544752581,ЄС,NA,42,M,-0.144398647192728,політична партія європейська солідарність
Береза Борислав Юхимович,213,NA,0.458885236100643,самовисування,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",45,M,0.0530918195768466,самовисування
Дубнов Артем Васильович,213,NA,0.405793416523796,СН,NA,31,M,0,політична партія слуга народу
Старостенко Ганна Вікторівна,213,NA,0.0531927469143996,ЄС,NA,41,F,-0.352600669609397,політична партія європейська солідарність
Швець Сергій Федорович,214,NA,0.355659349449651,СН,NA,43,M,0.0609621585347683,політична партія слуга народу
Чумак Віктор Васильович,214,NA,0.294697190914882,Other,NA,61,M,0,політична партія громадянський рух хвиля
Фарфанюк Мирослав Андрійович,214,NA,0.15254523675108,самовисування,NA,48,M,-0.142151954163802,самовисування
Яременко Богдан Васильович,215,NA,0.576845443594987,СН,NA,48,M,0.301919732408786,політична партія слуга народу
Іллєнко Андрій Юрійович,215,NA,0.274925711186202,Свобода,NA,32,M,0,політична партія всеукраїнське обєднання свобода
Кузьменко Андрій Павлович,215,NA,0.0842492627314731,Голос,NA,46,M,-0.190676448454729,політична партія голос
Супруненко Олександр Іванович,216,NA,0.512311675061747,самовисування,воля народу,48,M,0.155828280954993,самовисування
Забуранна Леся Валентинівна,216,NA,0.356483394106755,СН,NA,38,F,0,політична партія слуга народу
Тесленко Павло Петрович,216,NA,0.0567384097376524,самовисування,NA,46,M,-0.299744984369102,самовисування
Безугла Маряна Володимирівна,217,NA,0.534952867888431,СН,NA,31,F,0.321328243249821,політична партія слуга народу
Костенко Людмила Василівна,217,NA,0.213624624638611,ЄС,NA,40,F,0,політична партія європейська солідарність
Сорока Іван Миколайович,217,NA,0.11002057973023,ВОБ,NA,52,M,-0.103604044908381,політична партія всеукраїнське обєднання батьківщина
Гурін Дмитро Олександрович,218,NA,0.625397916490992,СН,NA,37,M,0.434367613395655,політична партія слуга народу
Плахтій Леся Вікторівна,218,NA,0.191030303095336,ОПЗЖ,NA,40,F,0,політична партія опозиційна платформа за життя
Коновал Тарас Павлович,218,NA,0.12402944774036,самовисування,NA,39,M,-0.0670008553549756,самовисування
Третьяков Олександр Юрійович,219,NA,0.667917319443613,самовисування,партії блок петра порошенка,49,M,0.479538604463951,самовисування
Тищенко Микола Миколайович,219,NA,0.188378714979662,СН,NA,47,M,0,політична партія слуга народу
Грабар Микола Федорович,219,NA,0.0979154364840831,самовисування,NA,57,M,-0.090463278495579,самовисування
Лещенко Сергій Анатолійович,220,NA,0.736823710876108,самовисування,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",39,M,0.598081678342452,самовисування
Бондар Ганна Вячеславівна,220,NA,0.138742032533655,СН,NA,44,F,0,політична партія слуга народу
Окопний Олексій Юрійович,220,NA,0.0868578466406407,ЄС,NA,35,M,-0.0518841858930148,політична партія європейська солідарність
Ємець Леонід Олександрович,221,NA,0.531769911291735,Голос,політичної партії народний фронт,40,M,0.323605834111026,політична партія голос
Пуртова Анна Анатоліївна,221,NA,0.208164077180709,СН,NA,37,F,0,політична партія слуга народу
Терентьєв Михайло Олександрович,221,NA,0.18022744399625,ЄС,NA,34,M,-0.027936633184459,політична партія європейська солідарність
Андрієвський Дмитро Йосипович,222,NA,0.577760785430015,самовисування,партії блок петра порошенка,52,M,0.20012734586278,самовисування
Грищук Роман Павлович,222,NA,0.377633439567235,СН,NA,30,M,0,політична партія слуга народу
Луцький Максим Георгійович,222,NA,0.0231748559787153,ОПЗЖ,NA,43,M,-0.35445858358852,політична партія опозиційна платформа за життя
Пташник Вікторія Юріївна,223,NA,0.467450416884677,Голос,NA,36,F,0.201732893835394,політична партія голос
Левченко Юрій Володимирович,223,NA,0.265717523049283,Свобода,NA,35,M,0,політична партія всеукраїнське обєднання свобода
Буймістер Людмила Анатоліївна,223,NA,0.175227539919806,СН,NA,34,F,-0.0904899831294771,політична партія слуга народу
